iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,5.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,5.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,4.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,10.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,15.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,13.36
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,12.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,10.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,5.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,4.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,3.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,3.41
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,3.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,3.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,3.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,3.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,3.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.81
