iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,7.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,11.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,8.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,7.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,5.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,5.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,4.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,4.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,4.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,4.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,3.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,4.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,4.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,4.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,3.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,4.17
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2012,17.99
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2011,11.45
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2010,16.24
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2009,19.17
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2008,17.32
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2007,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2006,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2005,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2004,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.98
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.42
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.92
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1995,3.51
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1994,4.24
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1993,4.6
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1992,6.46
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1990,0.74
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2012,9.04
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2011,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2010,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2009,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2008,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.39
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2006,8.51
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2005,10.16
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.86
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.28
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.43
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2001,7.75
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2000,6.12
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1999,5.03
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1998,5.35
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1997,5.21
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1996,3.86
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1995,3.94
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1994,4.29
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2012,13.19
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2011,7.73
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.35
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2009,14.96
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2008,11.0
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2007,9.4
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.81
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.91
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.57
