iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,65012.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,72025.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,151251.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,85046.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,97407.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,104218.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,91686.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,107873.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,112268.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,127417.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,137639.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,150483.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,165624.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,193654.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,207084.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,202884.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,196989.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,194198.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,193924.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,176818.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,177640.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,182993.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,179534.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,183747.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,179470.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,180639.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,190139.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,198603.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,197502.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,204093.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,194262.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,186554.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,185342.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,181126.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,205249.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,199209.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,196587.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,189799.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,181560.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,167607.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,172281.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,165943.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,150409.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,142944.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,138153.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,125349.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,123986.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,126198.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,125169.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,130491.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,77816.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,48933.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,42688.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,72496.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,75326.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,78796.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,88469.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,89295.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,95774.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,102842.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,114407.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,116872.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,131448.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,142509.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,158964.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,168528.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,299685.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,311479.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,333583.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,365330.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,380700.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,385915.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,394835.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,413488.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,426056.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,424625.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,570907.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,568190.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,566141.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,435066.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,403848.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,218145.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,181324.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,174345.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,168484.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,148238.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,137202.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,136864.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,130872.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,120717.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,128208.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,119662.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,105447.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1979,83902.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1978,83025.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1977,54844.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1976,37832.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,33660.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,23970.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1973,8148.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1972,2601.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1971,2.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,1406.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,1794.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1968,907.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1967,1298.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,70790.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,81008.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,87796.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,86786.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,83036.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,103828.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,107666.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,121684.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,132230.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,152108.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,164316.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,173975.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,178856.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,262911.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,180969.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,176221.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,157039.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,147734.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,150972.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,156333.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,156798.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,159769.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,172642.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,182895.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,161390.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,161967.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,166273.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,171543.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,153583.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,161148.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,155740.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,146898.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1987,123118.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1986,107567.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1985,131406.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1984,117620.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1983,104686.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1982,104547.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1981,91032.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1980,87994.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1979,86869.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1978,88872.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1977,86175.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1976,91166.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1975,91270.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1974,92265.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1973,120068.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1972,125319.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1971,120454.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1970,128241.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1969,119230.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1968,110898.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1967,81491.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,66.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,42.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,56.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,47.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,95.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,106.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,72.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,117.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,168.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,183.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,711.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,523.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,654.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,611.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,233.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,331.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,443.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,300.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,305.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,368.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,471.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,429.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,398.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1996,417.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1995,470.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1994,711.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1993,508.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1992,721.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1991,1123.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1990,2080.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1989,1306.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1986,2.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1985,12.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1984,10.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1983,10.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1982,9.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1981,3.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1980,2.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1979,3.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1977,3.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1976,3.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1975,4.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1974,27.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1973,139.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1972,431.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1971,873.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,34631.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,45984.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,41835.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,29370.0
