iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,120450.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,106456.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,111662.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,107964.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,107513.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,55344.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2019,2535377.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2018,1988375.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2017,1364386.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2015,1120806.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2014,1199807.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2012,2130551.0
USA-TX,USA-TX,Million Cubic Feet,MMcf,2019,7762285.0
USA-TX,USA-TX,Million Cubic Feet,MMcf,2018,6638851.0
USA-TX,USA-TX,Million Cubic Feet,MMcf,2017,5632295.0
USA-TX,USA-TX,Million Cubic Feet,MMcf,2015,4683831.0
USA-TX,USA-TX,Million Cubic Feet,MMcf,2014,4408980.0
USA-TX,USA-TX,Million Cubic Feet,MMcf,2012,3662933.0
