iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,279748.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,317223.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,325407.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,292350.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,293942.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,269820.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,257269.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,270103.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,264810.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,281728.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,278310.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,294531.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,291392.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,309597.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,299717.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,287298.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,269362.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,242655.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,224286.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,234661.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,253806.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,285820.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,289532.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,285430.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,267519.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,310266.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,304681.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,290815.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,271051.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,255611.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,242875.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,234036.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,229033.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,282740.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,282714.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,295800.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,268600.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,296757.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,295221.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,282589.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,283192.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,255362.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,221579.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,205707.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,248829.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,286678.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,286963.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,308111.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,275044.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,301493.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,308524.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,294151.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,271920.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,249275.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,250381.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,239442.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,233815.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,269206.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,246130.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,295235.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,273298.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,298815.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,304055.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,289760.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,279437.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,261160.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,204070.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,221334.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,223007.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,261374.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,284701.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,299987.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,254488.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,291928.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,301640.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,282350.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,271472.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,259855.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,190335.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,195169.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,252462.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,262449.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,277210.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,298987.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,270272.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,306344.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,307970.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,280048.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,261350.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,247528.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,231276.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,241910.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,234298.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,261025.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,282015.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,293657.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,269062.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,305219.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,304448.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,288120.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,289581.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,229966.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,124711.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201207,205735.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201206,251530.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201205,281220.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201204,273796.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201203,308116.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201202,289432.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201201,318136.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201112,309351.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201111,302617.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201110,273553.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201109,261782.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201108,210589.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201107,187004.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201106,248460.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201105,269313.0
