iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,338329.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,329361.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,341315.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,344385.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,332749.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,343625.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,345310.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,338182.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,351259.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,356225.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,374226.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,397077.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,398442.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,433485.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,444724.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,487282.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,471899.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,489757.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,463301.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,471440.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,458995.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,462967.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,466648.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,468311.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,480828.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,469550.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,555402.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,430350.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,443597.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,437822.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,402907.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,393729.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,378638.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,359837.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,304841.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,321346.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,289129.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,276691.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,264364.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,242564.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,230588.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,220754.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,203088.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,187889.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,166072.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,160270.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,128935.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,131007.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,125596.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,121618.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,111576.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,50864.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,17343.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,14438.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,130065.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,139477.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,150038.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,164815.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,168246.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,181060.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,196326.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,215710.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,195581.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,222932.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,236029.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,257884.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,270407.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,286220.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,296528.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,316021.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,346145.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,356061.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,356810.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,363467.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,381701.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,392394.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,388596.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,530841.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,519661.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,515272.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,388024.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,355099.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,170847.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,135276.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,128411.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,129524.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,117241.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,107184.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,107342.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,101821.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,90801.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,75003.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,79244.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,65294.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1979,85815.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1978,85599.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1977,57227.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1976,41427.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,37814.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,27865.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1973,11271.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1972,3644.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1971,355.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,627.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,180.0
