iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,2913744.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,2905187.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,2898778.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,2888903.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,2826291.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,2816681.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,2869956.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,2801763.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,2795732.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,2812701.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,2908828.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,3007418.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,3039347.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,2753901.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,3149237.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,3166098.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,3082204.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,3006824.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,2948652.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,3062853.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,2892017.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,2904028.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,2904370.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,2885686.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,2891618.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,2517259.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,2325506.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,2168019.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,1930290.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,1639689.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,1561498.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,1545391.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,1319430.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,1061351.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,1015911.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,905571.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,882884.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,813421.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,694865.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,658351.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,507710.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,385254.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,170258.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,96485.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,82556.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,89504.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,87302.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,75719.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,72674.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,71470.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,66240.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,57702.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,39989.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,531.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,736.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,783.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,475.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,311.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,301.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,478.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,1307.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,4062.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,10050.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,12758.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,13988.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,13793.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,14002.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,17724.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,22601.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,30949.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,33961.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,31179.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,29996.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,30689.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,28540.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,28256.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,23444.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,17850.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,18238.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,14769.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,12557.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,11042.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,8304.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,3805.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,3134.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1979,3383.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1978,2718.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1977,2860.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1976,1085.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,452.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,241.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1968,99.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1967,35.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,4051.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,414.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,520.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,511.0
