iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,269502.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,258525.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,241291.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,217594.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,200354.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,208683.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,226444.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,256272.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,260177.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,255645.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,240289.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,278968.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,273279.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,260972.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,241707.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,228110.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,216143.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,205671.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,202452.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,253368.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,253364.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,264443.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,240468.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,265210.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,263441.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,252389.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,253191.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,227025.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,196647.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,180937.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,220748.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,255716.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,256174.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,276212.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,246362.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,269936.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,276254.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,263095.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,242658.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,223828.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,224897.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,213869.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,208062.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,241482.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,217988.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,264637.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,244487.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,267645.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,272709.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,259665.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,249799.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,233157.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,178438.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,194232.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,196465.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,231772.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,254454.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,268957.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,226577.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,260066.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,269618.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,252438.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,240888.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,230790.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,163831.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,168548.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,224939.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,233229.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,247729.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,268503.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,241343.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,274825.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,276400.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,250922.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,232353.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,221149.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,207038.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,218027.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,208272.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,232549.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,251393.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,261039.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,238573.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,272240.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,271018.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,256951.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,258645.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,202416.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,103008.0
