iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,2736765.0
USA,USA,Million Cubic Feet,MMcf,2019,2547631.0
USA,USA,Million Cubic Feet,MMcf,2018,2234593.0
USA,USA,Million Cubic Feet,MMcf,2017,1897242.0
USA,USA,Million Cubic Feet,MMcf,2016,1807934.0
USA,USA,Million Cubic Feet,MMcf,2015,1706584.0
USA,USA,Million Cubic Feet,MMcf,2014,1608148.0
USA,USA,Million Cubic Feet,MMcf,2013,1356709.0
USA,USA,Million Cubic Feet,MMcf,2012,1250012.0
USA,USA,Million Cubic Feet,MMcf,2011,1134473.0
USA,USA,Million Cubic Feet,MMcf,2010,1066366.0
USA,USA,Million Cubic Feet,MMcf,2009,1024082.0
USA,USA,Million Cubic Feet,MMcf,2008,953451.0
USA,USA,Million Cubic Feet,MMcf,2007,930320.0
USA,USA,Million Cubic Feet,MMcf,2006,906069.0
USA,USA,Million Cubic Feet,MMcf,2005,876497.0
USA,USA,Million Cubic Feet,MMcf,2004,926600.0
USA,USA,Million Cubic Feet,MMcf,2003,875816.0
USA,USA,Million Cubic Feet,MMcf,2002,956992.0
USA,USA,Million Cubic Feet,MMcf,2001,953984.0
USA,USA,Million Cubic Feet,MMcf,2000,1015542.0
USA,USA,Million Cubic Feet,MMcf,1999,972616.0
USA,USA,Million Cubic Feet,MMcf,1998,937798.0
USA,USA,Million Cubic Feet,MMcf,1997,963759.0
USA,USA,Million Cubic Feet,MMcf,1996,958178.0
USA,USA,Million Cubic Feet,MMcf,1995,907795.0
USA,USA,Million Cubic Feet,MMcf,1994,888500.0
USA,USA,Million Cubic Feet,MMcf,1993,886455.0
USA,USA,Million Cubic Feet,MMcf,1992,871905.0
USA,USA,Million Cubic Feet,MMcf,1991,834637.0
USA,USA,Million Cubic Feet,MMcf,1990,784118.0
USA,USA,Million Cubic Feet,MMcf,1989,784502.0
USA,USA,Million Cubic Feet,MMcf,1988,815844.0
USA,USA,Million Cubic Feet,MMcf,1987,812320.0
USA,USA,Million Cubic Feet,MMcf,1986,799645.0
USA,USA,Million Cubic Feet,MMcf,1985,816370.0
USA,USA,Million Cubic Feet,MMcf,1984,837863.0
USA,USA,Million Cubic Feet,MMcf,1983,789632.0
USA,USA,Million Cubic Feet,MMcf,1982,761944.0
USA,USA,Million Cubic Feet,MMcf,1981,774562.0
USA,USA,Million Cubic Feet,MMcf,1980,776605.0
USA,USA,Million Cubic Feet,MMcf,1979,807845.0
USA,USA,Million Cubic Feet,MMcf,1978,852130.0
USA,USA,Million Cubic Feet,MMcf,1977,862563.0
USA,USA,Million Cubic Feet,MMcf,1976,854086.0
USA,USA,Million Cubic Feet,MMcf,1975,872282.0
USA,USA,Million Cubic Feet,MMcf,1974,887490.0
USA,USA,Million Cubic Feet,MMcf,1973,916551.0
USA,USA,Million Cubic Feet,MMcf,1972,907993.0
USA,USA,Million Cubic Feet,MMcf,1971,883127.0
USA,USA,Million Cubic Feet,MMcf,1970,906413.0
USA,USA,Million Cubic Feet,MMcf,1969,866560.0
USA,USA,Million Cubic Feet,MMcf,1968,827877.0
USA,USA,Million Cubic Feet,MMcf,1967,784534.0
USA,USA,Million Cubic Feet,MMcf,1966,739308.0
USA,USA,Million Cubic Feet,MMcf,1965,753473.0
USA,USA,Million Cubic Feet,MMcf,1964,722565.0
USA,USA,Million Cubic Feet,MMcf,1963,670251.0
USA,USA,Million Cubic Feet,MMcf,1962,623616.0
USA,USA,Million Cubic Feet,MMcf,1961,592446.0
USA,USA,Million Cubic Feet,MMcf,1960,542890.0
USA,USA,Million Cubic Feet,MMcf,1959,498457.0
USA,USA,Million Cubic Feet,MMcf,1958,458040.0
USA,USA,Million Cubic Feet,MMcf,1957,433636.0
USA,USA,Million Cubic Feet,MMcf,1956,418013.0
USA,USA,Million Cubic Feet,MMcf,1955,376686.0
USA,USA,Million Cubic Feet,MMcf,1954,354348.0
USA,USA,Million Cubic Feet,MMcf,1953,340068.0
USA,USA,Million Cubic Feet,MMcf,1952,319158.0
USA,USA,Million Cubic Feet,MMcf,1951,292400.0
USA,USA,Million Cubic Feet,MMcf,1950,259862.0
USA,USA,Million Cubic Feet,MMcf,1949,224332.0
USA,USA,Million Cubic Feet,MMcf,1948,209508.0
USA,USA,Million Cubic Feet,MMcf,1947,188734.0
USA,USA,Million Cubic Feet,MMcf,1946,165274.0
USA,USA,Million Cubic Feet,MMcf,1945,159936.0
USA,USA,Million Cubic Feet,MMcf,1944,142868.0
USA,USA,Million Cubic Feet,MMcf,1943,121788.0
USA,USA,Million Cubic Feet,MMcf,1942,119000.0
USA,USA,Million Cubic Feet,MMcf,1941,115464.0
USA,USA,Million Cubic Feet,MMcf,1940,79526.0
USA,USA,Million Cubic Feet,MMcf,1939,73746.0
USA,USA,Million Cubic Feet,MMcf,1938,73338.0
USA,USA,Million Cubic Feet,MMcf,1937,70210.0
USA,USA,Million Cubic Feet,MMcf,1936,61064.0
USA,USA,Million Cubic Feet,MMcf,1935,55488.0
USA,USA,Million Cubic Feet,MMcf,1934,52190.0
USA,USA,Million Cubic Feet,MMcf,1933,48280.0
USA,USA,Million Cubic Feet,MMcf,1932,51816.0
USA,USA,Million Cubic Feet,MMcf,1931,62288.0
USA,USA,Million Cubic Feet,MMcf,1930,75140.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,19857.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,19821.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,19303.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,17516.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,17468.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,18434.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,20679.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,21470.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,21554.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,20835.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,22925.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,24337.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,26332.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,24638.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,27956.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,33044.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,33316.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,34706.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,36149.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,39324.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,38412.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,40120.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,41535.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,38453.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,35052.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,30945.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,32257.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,32004.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,28440.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,21476.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,19932.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,23240.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,19590.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,4206.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,6703.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,2849.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,440.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,468.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,529.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,483.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,701.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,954.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,1321.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,1229.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,1244.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,1097.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,986.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,749.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,99.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,264.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,188.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,3168.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,4047.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,3220.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,4274.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,5813.0
