iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,170881
USA,USA,Million Cubic Feet,MMcf,202101,232067
USA,USA,Million Cubic Feet,MMcf,202012,225483
USA,USA,Million Cubic Feet,MMcf,202011,230811
USA,USA,Million Cubic Feet,MMcf,202010,238396
USA,USA,Million Cubic Feet,MMcf,202009,230222
USA,USA,Million Cubic Feet,MMcf,202008,239502
USA,USA,Million Cubic Feet,MMcf,202007,240702
USA,USA,Million Cubic Feet,MMcf,202006,225697
USA,USA,Million Cubic Feet,MMcf,202005,211938
USA,USA,Million Cubic Feet,MMcf,202004,213528
USA,USA,Million Cubic Feet,MMcf,202003,234882
USA,USA,Million Cubic Feet,MMcf,202002,211954
USA,USA,Million Cubic Feet,MMcf,202001,233649
USA,USA,Million Cubic Feet,MMcf,201912,225525
USA,USA,Million Cubic Feet,MMcf,201911,217651
USA,USA,Million Cubic Feet,MMcf,201910,223260
USA,USA,Million Cubic Feet,MMcf,201909,213047
USA,USA,Million Cubic Feet,MMcf,201908,220429
USA,USA,Million Cubic Feet,MMcf,201907,215152
USA,USA,Million Cubic Feet,MMcf,201906,207113
USA,USA,Million Cubic Feet,MMcf,201905,213178
USA,USA,Million Cubic Feet,MMcf,201904,204683
USA,USA,Million Cubic Feet,MMcf,201903,210660
USA,USA,Million Cubic Feet,MMcf,201902,188986
USA,USA,Million Cubic Feet,MMcf,201901,207947
USA,USA,Million Cubic Feet,MMcf,201812,201460
USA,USA,Million Cubic Feet,MMcf,201811,195921
USA,USA,Million Cubic Feet,MMcf,201810,198978
USA,USA,Million Cubic Feet,MMcf,201809,190148
USA,USA,Million Cubic Feet,MMcf,201808,193315
USA,USA,Million Cubic Feet,MMcf,201807,189493
USA,USA,Million Cubic Feet,MMcf,201806,179799
USA,USA,Million Cubic Feet,MMcf,201805,184857
USA,USA,Million Cubic Feet,MMcf,201804,176861
USA,USA,Million Cubic Feet,MMcf,201803,183067
USA,USA,Million Cubic Feet,MMcf,201802,163444
USA,USA,Million Cubic Feet,MMcf,201801,177251
USA,USA,Million Cubic Feet,MMcf,201712,170757
USA,USA,Million Cubic Feet,MMcf,201711,166233
USA,USA,Million Cubic Feet,MMcf,201710,166590
USA,USA,Million Cubic Feet,MMcf,201709,158401
USA,USA,Million Cubic Feet,MMcf,201708,160868
USA,USA,Million Cubic Feet,MMcf,201707,160958
USA,USA,Million Cubic Feet,MMcf,201706,154176
USA,USA,Million Cubic Feet,MMcf,201705,157786
USA,USA,Million Cubic Feet,MMcf,201704,152698
USA,USA,Million Cubic Feet,MMcf,201703,157595
USA,USA,Million Cubic Feet,MMcf,201702,139196
USA,USA,Million Cubic Feet,MMcf,201701,151984
USA,USA,Million Cubic Feet,MMcf,201612,150081
USA,USA,Million Cubic Feet,MMcf,201611,146894
USA,USA,Million Cubic Feet,MMcf,201610,150534
USA,USA,Million Cubic Feet,MMcf,201609,146252
USA,USA,Million Cubic Feet,MMcf,201608,152134
USA,USA,Million Cubic Feet,MMcf,201607,153350
USA,USA,Million Cubic Feet,MMcf,201606,147199
USA,USA,Million Cubic Feet,MMcf,201605,153577
USA,USA,Million Cubic Feet,MMcf,201604,150335
USA,USA,Million Cubic Feet,MMcf,201603,155455
USA,USA,Million Cubic Feet,MMcf,201602,147087
USA,USA,Million Cubic Feet,MMcf,201601,155035
USA,USA,Million Cubic Feet,MMcf,201512,144425
USA,USA,Million Cubic Feet,MMcf,201511,139758
USA,USA,Million Cubic Feet,MMcf,201510,145025
USA,USA,Million Cubic Feet,MMcf,201509,141377
USA,USA,Million Cubic Feet,MMcf,201508,145173
USA,USA,Million Cubic Feet,MMcf,201507,145008
USA,USA,Million Cubic Feet,MMcf,201506,139887
USA,USA,Million Cubic Feet,MMcf,201505,144887
USA,USA,Million Cubic Feet,MMcf,201504,142261
USA,USA,Million Cubic Feet,MMcf,201503,144911
USA,USA,Million Cubic Feet,MMcf,201502,130312
USA,USA,Million Cubic Feet,MMcf,201501,143561
USA,USA,Million Cubic Feet,MMcf,201412,140956
USA,USA,Million Cubic Feet,MMcf,201411,135360
USA,USA,Million Cubic Feet,MMcf,201410,140772
USA,USA,Million Cubic Feet,MMcf,201409,134893
USA,USA,Million Cubic Feet,MMcf,201408,139439
USA,USA,Million Cubic Feet,MMcf,201407,138684
USA,USA,Million Cubic Feet,MMcf,201406,131416
USA,USA,Million Cubic Feet,MMcf,201405,135099
USA,USA,Million Cubic Feet,MMcf,201404,131451
USA,USA,Million Cubic Feet,MMcf,201403,132589
USA,USA,Million Cubic Feet,MMcf,201402,118898
USA,USA,Million Cubic Feet,MMcf,201401,128592
USA,USA,Million Cubic Feet,MMcf,201312,115591
USA,USA,Million Cubic Feet,MMcf,201311,113771
USA,USA,Million Cubic Feet,MMcf,201310,116372
USA,USA,Million Cubic Feet,MMcf,201309,112278
USA,USA,Million Cubic Feet,MMcf,201308,116323
USA,USA,Million Cubic Feet,MMcf,201307,116574
USA,USA,Million Cubic Feet,MMcf,201306,110629
USA,USA,Million Cubic Feet,MMcf,201305,114485
USA,USA,Million Cubic Feet,MMcf,201304,111172
USA,USA,Million Cubic Feet,MMcf,201303,113413
USA,USA,Million Cubic Feet,MMcf,201302,102714
USA,USA,Million Cubic Feet,MMcf,201301,113389
USA,USA,Million Cubic Feet,MMcf,201212,106427
USA,USA,Million Cubic Feet,MMcf,201211,103915
USA,USA,Million Cubic Feet,MMcf,201210,107225
USA,USA,Million Cubic Feet,MMcf,201209,103542
USA,USA,Million Cubic Feet,MMcf,201208,106383
USA,USA,Million Cubic Feet,MMcf,201207,106909
USA,USA,Million Cubic Feet,MMcf,201206,100854
USA,USA,Million Cubic Feet,MMcf,201205,104881
USA,USA,Million Cubic Feet,MMcf,201204,101082
