iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,24745932.0
USA,USA,Million Cubic Feet,MMcf,2018,22145329.0
USA,USA,Million Cubic Feet,MMcf,2017,20388771.0
USA,USA,Million Cubic Feet,MMcf,2016,20366695.0
USA,USA,Million Cubic Feet,MMcf,2015,20651875.0
USA,USA,Million Cubic Feet,MMcf,2014,19754802.0
USA,USA,Million Cubic Feet,MMcf,2013,17884427.0
USA,USA,Million Cubic Feet,MMcf,2012,17538026.0
USA,USA,Million Cubic Feet,MMcf,2011,16566883.0
USA,USA,Million Cubic Feet,MMcf,2010,16267757.0
USA,USA,Million Cubic Feet,MMcf,2009,15904517.0
USA,USA,Million Cubic Feet,MMcf,2008,15316804.0
USA,USA,Million Cubic Feet,MMcf,2007,15663381.0
USA,USA,Million Cubic Feet,MMcf,2006,14682188.0
USA,USA,Million Cubic Feet,MMcf,2005,14915680.0
USA,USA,Million Cubic Feet,MMcf,2004,15190200.0
USA,USA,Million Cubic Feet,MMcf,2003,14697316.0
USA,USA,Million Cubic Feet,MMcf,2002,15920911.0
USA,USA,Million Cubic Feet,MMcf,2001,16511427.0
USA,USA,Million Cubic Feet,MMcf,2000,16998687.0
USA,USA,Million Cubic Feet,MMcf,1999,16662873.0
USA,USA,Million Cubic Feet,MMcf,1998,16557779.0
USA,USA,Million Cubic Feet,MMcf,1997,16836795.0
USA,USA,Million Cubic Feet,MMcf,1996,17470017.0
USA,USA,Million Cubic Feet,MMcf,1995,16930662.0
USA,USA,Million Cubic Feet,MMcf,1994,16459516.0
USA,USA,Million Cubic Feet,MMcf,1993,16396894.0
USA,USA,Million Cubic Feet,MMcf,1992,16045855.0
USA,USA,Million Cubic Feet,MMcf,1991,16229684.0
USA,USA,Million Cubic Feet,MMcf,1990,14610303.0
USA,USA,Million Cubic Feet,MMcf,1989,12810246.0
USA,USA,Million Cubic Feet,MMcf,1988,12794932.0
USA,USA,Million Cubic Feet,MMcf,1987,12874263.0
USA,USA,Million Cubic Feet,MMcf,1986,12949592.0
USA,USA,Million Cubic Feet,MMcf,1985,13434644.0
USA,USA,Million Cubic Feet,MMcf,1984,13946385.0
USA,USA,Million Cubic Feet,MMcf,1983,13173129.0
USA,USA,Million Cubic Feet,MMcf,1982,14163667.0
USA,USA,Million Cubic Feet,MMcf,1981,14816393.0
USA,USA,Million Cubic Feet,MMcf,1978,17012234.0
USA,USA,Million Cubic Feet,MMcf,1977,17569835.0
USA,USA,Million Cubic Feet,MMcf,1976,17717951.0
USA,USA,Million Cubic Feet,MMcf,1975,17748426.0
USA,USA,Million Cubic Feet,MMcf,1974,18684480.0
USA,USA,Million Cubic Feet,MMcf,1973,19679291.0
USA,USA,Million Cubic Feet,MMcf,1972,19947740.0
USA,USA,Million Cubic Feet,MMcf,1971,19252807.0
USA,USA,Million Cubic Feet,MMcf,1970,18509309.0
USA,USA,Million Cubic Feet,MMcf,1969,17655108.0
USA,USA,Million Cubic Feet,MMcf,1968,16316674.0
USA,USA,Million Cubic Feet,MMcf,1967,15641633.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,2821740.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,2824487.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,2789980.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,2789157.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,2729167.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,2735783.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,2811384.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,2788997.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,2721396.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,2731803.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,2830034.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,2901760.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,2965956.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,2665742.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,3089229.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,2680859.0
