iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Thousand Barrels,Mbbl,2019,17321.0
USA-AK,USA-AK,Thousand Barrels,Mbbl,2018,17187.0
USA-AK,USA-AK,Thousand Barrels,Mbbl,2017,16727.0
USA-AK,USA-AK,Thousand Barrels,Mbbl,2016,15048.0
USA-AK,USA-AK,Thousand Barrels,Mbbl,2015,14987.0
USA-AK,USA-AK,Thousand Barrels,Mbbl,2014,15724.0
USA-AK,USA-AK,Thousand Barrels,Mbbl,2013,17670.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2019,21.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2018,26.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2017,32.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2016,34.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2015,87.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2014,170.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2013,165.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2012,133.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2019,1809.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2018,1809.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2017,1989.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2016,2307.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2015,2700.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2014,2620.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2013,2781.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2012,2614.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2015,
USA-AL,USA-AL,Thousand Barrels,Mbbl,2019,824.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2018,1306.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2017,577.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2016,997.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2015,1627.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2014,2519.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2013,2767.0
USA-AL,USA-AL,Thousand Barrels,Mbbl,2012,2695.0
USA-CA,USA-CA,Thousand Barrels,Mbbl,2019,6434.0
