iso3166,geography,units,unitsshort,period,value
USA,USA,Cost,Cost,2006,124074399.0
USA,USA,Cost,Cost,2005,138750746.0
USA,USA,Cost,Cost,2004,106521974.0
USA,USA,Cost,Cost,2003,97555375.0
USA,USA,Cost,Cost,2002,58596868.0
USA,USA,Cost,Cost,2001,82202805.0
USA,USA,Cost,Cost,2000,74338958.0
USA,USA,Cost,Cost,1999,43324690.0
USA,USA,Cost,Cost,1998,39085318.0
USA,USA,Cost,Cost,1997,46131323.0
USA,USA,Cost,Cost,1996,42951353.0
USA,USA,Cost,Cost,1995,30285862.0
USA,USA,Cost,Cost,1994,36535940.0
USA,USA,Cost,Cost,1993,38810612.0
USA,USA,Cost,Cost,1992,32570827.0
USA,USA,Cost,Cost,1991,30327779.0
USA,USA,Cost,Cost,1990,31754803.0
USA,USA,Cost,Cost,1989,30524691.0
USA-AK,USA-AK,Cost,Cost,2014,0.0
USA-AK,USA-AK,Cost,Cost,2013,0.0
USA-AK,USA-AK,Cost,Cost,2012,0.0
USA-AK,USA-AK,Cost,Cost,2011,0.0
USA-AK,USA-AK,Cost,Cost,2010,1185249.0
USA-AK,USA-AK,Cost,Cost,2009,1163554.0
USA-AK,USA-AK,Cost,Cost,2008,2944546.0
USA-AK,USA-AK,Cost,Cost,2007,2439193.0
USA-AK,USA-AK,Cost,Cost,2006,2576028.0
USA-AK,USA-AK,Cost,Cost,2005,2313492.0
USA-AK,USA-AK,Cost,Cost,2004,1611562.0
USA-AK,USA-AK,Cost,Cost,2003,1179378.0
USA-AK,USA-AK,Cost,Cost,2002,0.0
USA-AK,USA-AK,Cost,Cost,2001,0.0
USA-AK,USA-AK,Cost,Cost,2000,0.0
USA-AK,USA-AK,Cost,Cost,1999,0.0
USA-AK,USA-AK,Cost,Cost,1998,614291.0
USA-AK,USA-AK,Cost,Cost,1997,850200.0
USA-AK,USA-AK,Cost,Cost,1996,772435.0
USA-AK,USA-AK,Cost,Cost,1995,770620.0
USA-AK,USA-AK,Cost,Cost,1994,707821.0
USA-AK,USA-AK,Cost,Cost,1993,611260.0
USA-AK,USA-AK,Cost,Cost,1992,625471.0
USA-AK,USA-AK,Cost,Cost,1991,647976.0
USA-AK,USA-AK,Cost,Cost,1990,554376.0
USA-AK,USA-AK,Cost,Cost,1989,536342.0
USA-AL,USA-AL,Cost,Cost,2014,0.0
USA-AL,USA-AL,Cost,Cost,2013,0.0
USA-AL,USA-AL,Cost,Cost,2012,0.0
USA-AL,USA-AL,Cost,Cost,2011,0.0
USA-AL,USA-AL,Cost,Cost,2010,994688.0
USA-AL,USA-AL,Cost,Cost,2009,1020599.0
USA-AL,USA-AL,Cost,Cost,2008,2489704.0
USA-AL,USA-AL,Cost,Cost,2007,2010736.0
USA-AL,USA-AL,Cost,Cost,2006,2167627.0
USA-AL,USA-AL,Cost,Cost,2005,2750513.0
USA-AL,USA-AL,Cost,Cost,2004,2103279.0
USA-AL,USA-AL,Cost,Cost,2003,2051308.0
USA-AL,USA-AL,Cost,Cost,2002,1237960.0
USA-AL,USA-AL,Cost,Cost,2001,1509768.0
USA-AL,USA-AL,Cost,Cost,2000,2083290.0
USA-AL,USA-AL,Cost,Cost,1999,1261009.0
USA-AL,USA-AL,Cost,Cost,1998,1242353.0
USA-AL,USA-AL,Cost,Cost,1997,1556655.0
USA-AL,USA-AL,Cost,Cost,1996,1389944.0
USA-AL,USA-AL,Cost,Cost,1995,947783.0
USA-AL,USA-AL,Cost,Cost,1994,1118722.0
USA-AL,USA-AL,Cost,Cost,1993,956293.0
USA-AL,USA-AL,Cost,Cost,1992,813178.0
USA-AL,USA-AL,Cost,Cost,1991,398074.0
USA-AL,USA-AL,Cost,Cost,1990,372522.0
USA-AL,USA-AL,Cost,Cost,1989,349478.0
USA-AR,USA-AR,Cost,Cost,2014,0.0
USA-AR,USA-AR,Cost,Cost,2013,0.0
USA-AR,USA-AR,Cost,Cost,2012,0.0
USA-AR,USA-AR,Cost,Cost,2011,0.0
USA-AR,USA-AR,Cost,Cost,2010,3556609.0
USA-AR,USA-AR,Cost,Cost,2009,2330692.0
USA-AR,USA-AR,Cost,Cost,2008,3891921.0
USA-AR,USA-AR,Cost,Cost,2007,1782837.0
USA-AR,USA-AR,Cost,Cost,2006,1739324.0
USA-AR,USA-AR,Cost,Cost,2005,1383192.0
USA-AR,USA-AR,Cost,Cost,2004,1062709.0
USA-AR,USA-AR,Cost,Cost,2003,876501.0
USA-AR,USA-AR,Cost,Cost,2002,0.0
USA-AR,USA-AR,Cost,Cost,2001,0.0
USA-AR,USA-AR,Cost,Cost,2000,0.0
USA-AR,USA-AR,Cost,Cost,1999,0.0
USA-AR,USA-AR,Cost,Cost,1998,738061.0
USA-AR,USA-AR,Cost,Cost,1997,841118.0
USA-AR,USA-AR,Cost,Cost,1996,846649.0
USA-AR,USA-AR,Cost,Cost,1995,564792.0
USA-AR,USA-AR,Cost,Cost,1994,496986.0
USA-AR,USA-AR,Cost,Cost,1993,551042.0
