iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2006,15981421.0
USA,USA,Million Cubic Feet,MMcf,2005,15425867.0
USA,USA,Million Cubic Feet,MMcf,2004,15223749.0
USA,USA,Million Cubic Feet,MMcf,2003,14589545.0
USA,USA,Million Cubic Feet,MMcf,2002,14467289.0
USA,USA,Million Cubic Feet,MMcf,2001,19577660.0
USA,USA,Million Cubic Feet,MMcf,2000,17251333.0
USA,USA,Million Cubic Feet,MMcf,1999,18595208.0
USA,USA,Million Cubic Feet,MMcf,1998,17653795.0
USA,USA,Million Cubic Feet,MMcf,1997,17105855.0
USA,USA,Million Cubic Feet,MMcf,1996,14822258.0
USA,USA,Million Cubic Feet,MMcf,1995,15557464.0
USA,USA,Million Cubic Feet,MMcf,1994,15513667.0
USA,USA,Million Cubic Feet,MMcf,1993,15480352.0
USA,USA,Million Cubic Feet,MMcf,1992,15852090.0
USA,USA,Million Cubic Feet,MMcf,1991,15770393.0
USA,USA,Million Cubic Feet,MMcf,1990,16408437.0
USA,USA,Million Cubic Feet,MMcf,1989,15432773.0
USA,USA,Million Cubic Feet,MMcf,1988,15419723.0
USA,USA,Million Cubic Feet,MMcf,1987,15283764.0
USA,USA,Million Cubic Feet,MMcf,1986,14823587.0
USA,USA,Million Cubic Feet,MMcf,1985,15247466.0
USA,USA,Million Cubic Feet,MMcf,1984,16121625.0
USA,USA,Million Cubic Feet,MMcf,1983,14556226.0
USA,USA,Million Cubic Feet,MMcf,1982,16025662.0
USA,USA,Million Cubic Feet,MMcf,1981,17042578.0
USA,USA,Million Cubic Feet,MMcf,1980,17159365.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,316546.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,397077.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,337359.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,368344.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,494323.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,502887.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,413667.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,199616.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,200871.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,197735.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,189896.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,186727.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,192982.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,191017.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,193278.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,227797.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,201891.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,224786.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,206259.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,200557.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,191798.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,192760.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,228284.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,271120.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,304841.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,222637.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,211579.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,211569.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,212769.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,225666.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,246747.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,259062.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,274176.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,285237.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,304212.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,348722.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,370753.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,376241.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,521215.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,544020.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,560414.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,583370.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,493069.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,54964.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,70489.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,75474.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,51219.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,35972.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,37229.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,41614.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,45488.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,35674.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,34164.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,42925.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,56685.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,59051.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,936600.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,680613.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,446551.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,269886.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,193491.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,190533.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,183299.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,166329.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,161871.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,16901.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,55057.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,54382.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,61012.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,71449.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,76671.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,180117.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,24326.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,122596.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,85177.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,83864.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,99456.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,42226.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,102046.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1987,42688.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1986,68206.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1985,86552.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1984,75575.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1983,78097.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,165.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,695.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,503.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,634.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,588.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,211.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,306.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,426.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,243.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,266.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,332.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,439.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,411.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,401.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1996,405.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1995,500.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1994,691.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1993,548.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1992,730.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1991,1225.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1990,2125.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1989,1360.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1988,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1987,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1986,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1985,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1984,10.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1983,26.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,251559.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,241916.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,263107.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2007,268016.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2006,278933.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,274817.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2004,276520.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,293691.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,309399.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,328778.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,323864.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,382715.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1998,264810.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1997,219216.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1996,37823.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1995,263.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1994,199649.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1993,76381.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1992,195515.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1991,211841.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1990,275738.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1989,283509.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1988,327399.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1987,346720.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1986,329366.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1985,361739.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1984,343079.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1983,282639.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,1548576.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,1409172.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,1436203.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2007,1280638.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2006,1170819.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2005,1106993.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2004,1058383.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2003,989678.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2002,819205.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2001,800712.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2000,735332.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1999,705477.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1998,696321.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1997,637375.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1996,559473.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1995,511513.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1994,441343.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1993,388016.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1992,314105.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1991,271159.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1990,242997.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1989,216737.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1988,191544.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1987,164557.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1986,163684.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1985,126037.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1984,143552.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1983,139820.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2018,0.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2017,0.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2010,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2009,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2008,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2007,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2006,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2005,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2004,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2003,0.0
