iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,3.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.33
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.0
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.68
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,1.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,1.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,1.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,1.94
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,2.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1984,2.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1983,2.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1982,2.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1981,1.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1980,1.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1979,1.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1978,0.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1977,0.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1976,0.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1975,0.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1974,0.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1973,0.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1972,0.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1971,0.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1970,0.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1969,0.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1968,0.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1967,0.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1966,0.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1965,0.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1964,0.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1963,0.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1962,0.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1961,0.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1960,0.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1959,0.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1958,0.12
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1957,0.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1956,0.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1955,0.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1954,0.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1953,0.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1952,0.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1951,0.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1950,0.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1949,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1948,0.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1947,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1946,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1945,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1944,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1943,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1942,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1941,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1940,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1939,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1938,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1937,0.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1936,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1935,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1934,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1933,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1932,0.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1931,0.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1930,0.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1929,0.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1928,0.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1927,0.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1926,0.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1925,0.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1924,0.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1923,0.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1922,0.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,3.17
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,2.93
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,5.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,5.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,4.75
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,3.42
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,2.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.13
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,1.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,1.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,1.37
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1997,1.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.61
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.27
