iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201702,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201701,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201612,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201611,
