iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,133737
USA,USA,Million Cubic Feet,MMcf,2018,59702
USA,USA,Million Cubic Feet,MMcf,2017,42613
USA,USA,Million Cubic Feet,MMcf,2016,47808
USA,USA,Million Cubic Feet,MMcf,2015,58812
USA,USA,Million Cubic Feet,MMcf,2014,64615
USA,USA,Million Cubic Feet,MMcf,2013,41961
USA,USA,Million Cubic Feet,MMcf,2012,28445
USA,USA,Million Cubic Feet,MMcf,2011,39999
USA,USA,Million Cubic Feet,MMcf,2010,32205
USA,USA,Million Cubic Feet,MMcf,2009,47096
USA,USA,Million Cubic Feet,MMcf,2008,45060
USA,USA,Million Cubic Feet,MMcf,2007,50180
USA,USA,Million Cubic Feet,MMcf,2006,38706
USA,USA,Million Cubic Feet,MMcf,2005,53444
USA,USA,Million Cubic Feet,MMcf,2004,51956
USA,USA,Million Cubic Feet,MMcf,2003,66162
USA,USA,Million Cubic Feet,MMcf,2002,43504
USA,USA,Million Cubic Feet,MMcf,2001,45210
USA,USA,Million Cubic Feet,MMcf,2000,36869
USA,USA,Million Cubic Feet,MMcf,1999,38333
USA,USA,Million Cubic Feet,MMcf,1998,57887
USA,USA,Million Cubic Feet,MMcf,1997,69865
USA,USA,Million Cubic Feet,MMcf,1996,73057
USA,USA,Million Cubic Feet,MMcf,1995,43897
USA,USA,Million Cubic Feet,MMcf,1994,68478
USA,USA,Million Cubic Feet,MMcf,1993,75217
USA,USA,Million Cubic Feet,MMcf,1992,44033
USA,USA,Million Cubic Feet,MMcf,1991,63259
USA,USA,Million Cubic Feet,MMcf,1990,65814
USA,USA,Million Cubic Feet,MMcf,1989,36467
USA,USA,Million Cubic Feet,MMcf,1988,36949
USA,USA,Million Cubic Feet,MMcf,1987,24379
USA,USA,Million Cubic Feet,MMcf,1986,31500
USA,USA,Million Cubic Feet,MMcf,1985,34671
USA,USA,Million Cubic Feet,MMcf,1984,42791
USA,USA,Million Cubic Feet,MMcf,1983,121928
USA,USA,Million Cubic Feet,MMcf,1982,73028
USA,USA,Million Cubic Feet,MMcf,1981,47839
