iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,1370840
USA,USA,Million Cubic Feet,MMcf,2018,1369538
USA,USA,Million Cubic Feet,MMcf,2017,1377293
USA,USA,Million Cubic Feet,MMcf,2016,1446649
USA,USA,Million Cubic Feet,MMcf,2015,1445639
USA,USA,Million Cubic Feet,MMcf,2014,1445031
USA,USA,Million Cubic Feet,MMcf,2013,1443769
USA,USA,Million Cubic Feet,MMcf,2012,1237269
USA,USA,Million Cubic Feet,MMcf,2011,1231897
USA,USA,Million Cubic Feet,MMcf,2010,1233017
USA,USA,Million Cubic Feet,MMcf,2009,1340633
USA,USA,Million Cubic Feet,MMcf,2008,1351832
USA,USA,Million Cubic Feet,MMcf,2007,1347516
USA,USA,Million Cubic Feet,MMcf,2006,1356323
USA,USA,Million Cubic Feet,MMcf,2005,1350689
USA,USA,Million Cubic Feet,MMcf,2004,1238158
USA,USA,Million Cubic Feet,MMcf,2003,1237132
USA,USA,Million Cubic Feet,MMcf,2002,1234007
USA,USA,Million Cubic Feet,MMcf,2001,1195141
USA,USA,Million Cubic Feet,MMcf,2000,1263711
USA,USA,Million Cubic Feet,MMcf,1999,1263106
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,12700
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,12700
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,12000
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,12000
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,12000
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2005,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2003,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2002,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2001,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2000,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1999,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2019,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2018,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2017,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2016,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2015,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2014,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2013,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2012,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2011,288210
USA-IA,USA-IA,Million Cubic Feet,MMcf,2010,288010
USA-IA,USA-IA,Million Cubic Feet,MMcf,2009,284811
USA-IA,USA-IA,Million Cubic Feet,MMcf,2008,284747
USA-IA,USA-IA,Million Cubic Feet,MMcf,2007,278238
USA-IA,USA-IA,Million Cubic Feet,MMcf,2006,275200
USA-IA,USA-IA,Million Cubic Feet,MMcf,2005,273200
USA-IA,USA-IA,Million Cubic Feet,MMcf,2004,273200
USA-IA,USA-IA,Million Cubic Feet,MMcf,2003,273200
USA-IA,USA-IA,Million Cubic Feet,MMcf,2002,273200
USA-IA,USA-IA,Million Cubic Feet,MMcf,2001,273200
USA-IA,USA-IA,Million Cubic Feet,MMcf,2000,273200
USA-IA,USA-IA,Million Cubic Feet,MMcf,1999,273200
USA-IL,USA-IL,Million Cubic Feet,MMcf,2019,906165
USA-IL,USA-IL,Million Cubic Feet,MMcf,2018,903085
USA-IL,USA-IL,Million Cubic Feet,MMcf,2017,898494
USA-IL,USA-IL,Million Cubic Feet,MMcf,2016,978466
USA-IL,USA-IL,Million Cubic Feet,MMcf,2015,978155
USA-IL,USA-IL,Million Cubic Feet,MMcf,2014,978624
USA-IL,USA-IL,Million Cubic Feet,MMcf,2013,974362
USA-IL,USA-IL,Million Cubic Feet,MMcf,2012,779862
USA-IL,USA-IL,Million Cubic Feet,MMcf,2011,777294
USA-IL,USA-IL,Million Cubic Feet,MMcf,2010,772381
USA-IL,USA-IL,Million Cubic Feet,MMcf,2009,885848
USA-IL,USA-IL,Million Cubic Feet,MMcf,2008,874384
USA-IL,USA-IL,Million Cubic Feet,MMcf,2007,876960
USA-IL,USA-IL,Million Cubic Feet,MMcf,2006,881037
USA-IL,USA-IL,Million Cubic Feet,MMcf,2005,878265
USA-IL,USA-IL,Million Cubic Feet,MMcf,2004,766628
USA-IL,USA-IL,Million Cubic Feet,MMcf,2003,766542
USA-IL,USA-IL,Million Cubic Feet,MMcf,2002,790691
USA-IL,USA-IL,Million Cubic Feet,MMcf,2001,745149
USA-IL,USA-IL,Million Cubic Feet,MMcf,2000,745149
USA-IL,USA-IL,Million Cubic Feet,MMcf,1999,745149
USA-IN,USA-IN,Million Cubic Feet,MMcf,2019,80293
USA-IN,USA-IN,Million Cubic Feet,MMcf,2018,82071
USA-IN,USA-IN,Million Cubic Feet,MMcf,2017,81717
USA-IN,USA-IN,Million Cubic Feet,MMcf,2016,81578
USA-IN,USA-IN,Million Cubic Feet,MMcf,2015,81578
USA-IN,USA-IN,Million Cubic Feet,MMcf,2014,80746
USA-IN,USA-IN,Million Cubic Feet,MMcf,2013,80746
USA-IN,USA-IN,Million Cubic Feet,MMcf,2012,80746
USA-IN,USA-IN,Million Cubic Feet,MMcf,2011,81310
USA-IN,USA-IN,Million Cubic Feet,MMcf,2010,81268
USA-IN,USA-IN,Million Cubic Feet,MMcf,2009,81328
USA-IN,USA-IN,Million Cubic Feet,MMcf,2008,81991
USA-IN,USA-IN,Million Cubic Feet,MMcf,2007,81490
USA-IN,USA-IN,Million Cubic Feet,MMcf,2006,81490
USA-IN,USA-IN,Million Cubic Feet,MMcf,2005,81641
USA-IN,USA-IN,Million Cubic Feet,MMcf,2004,81317
USA-IN,USA-IN,Million Cubic Feet,MMcf,2003,81317
USA-IN,USA-IN,Million Cubic Feet,MMcf,2002,55410
USA-IN,USA-IN,Million Cubic Feet,MMcf,2001,57300
USA-IN,USA-IN,Million Cubic Feet,MMcf,2000,94536
USA-IN,USA-IN,Million Cubic Feet,MMcf,1999,94536
USA-KS,USA-KS,Million Cubic Feet,MMcf,2019,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2018,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2017,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2015,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2014,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2012,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2005,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2003,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2002,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2001,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2000,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,1999,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2019,14367
USA-KY,USA-KY,Million Cubic Feet,MMcf,2018,14367
USA-KY,USA-KY,Million Cubic Feet,MMcf,2017,14367
USA-KY,USA-KY,Million Cubic Feet,MMcf,2016,6567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2015,6567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2014,6567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2013,9567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2012,9567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2011,9567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2010,9567
USA-KY,USA-KY,Million Cubic Feet,MMcf,2009,9567
