iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,7161892
USA,USA,Million Cubic Feet,MMcf,2018,7169314
USA,USA,Million Cubic Feet,MMcf,2017,7167450
USA,USA,Million Cubic Feet,MMcf,2016,7079874
USA,USA,Million Cubic Feet,MMcf,2015,7075821
USA,USA,Million Cubic Feet,MMcf,2014,7085773
USA,USA,Million Cubic Feet,MMcf,2013,7074916
USA,USA,Million Cubic Feet,MMcf,2012,7038245
USA,USA,Million Cubic Feet,MMcf,2011,7104948
USA,USA,Million Cubic Feet,MMcf,2010,7074773
USA,USA,Million Cubic Feet,MMcf,2009,6917547
USA,USA,Million Cubic Feet,MMcf,2008,6805490
USA,USA,Million Cubic Feet,MMcf,2007,6801291
USA,USA,Million Cubic Feet,MMcf,2006,6711656
USA,USA,Million Cubic Feet,MMcf,2005,6667222
USA,USA,Million Cubic Feet,MMcf,2004,6776894
USA,USA,Million Cubic Feet,MMcf,2003,6733983
USA,USA,Million Cubic Feet,MMcf,2002,6747108
USA,USA,Million Cubic Feet,MMcf,2001,6768622
USA,USA,Million Cubic Feet,MMcf,2000,6788130
USA,USA,Million Cubic Feet,MMcf,1999,6780700
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,13500
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,11000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,11000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,11000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,11000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,11000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,2715
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,2715
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,2715
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,2000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,2000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,0
