iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,47
USA,USA,Number of Elements,Count,2018,47
USA,USA,Number of Elements,Count,2017,47
USA,USA,Number of Elements,Count,2016,47
USA,USA,Number of Elements,Count,2015,47
USA,USA,Number of Elements,Count,2014,46
USA,USA,Number of Elements,Count,2013,47
USA,USA,Number of Elements,Count,2012,44
USA,USA,Number of Elements,Count,2011,43
USA,USA,Number of Elements,Count,2010,43
USA,USA,Number of Elements,Count,2009,43
USA,USA,Number of Elements,Count,2008,43
USA,USA,Number of Elements,Count,2007,43
USA,USA,Number of Elements,Count,2006,44
USA,USA,Number of Elements,Count,2005,44
USA,USA,Number of Elements,Count,2004,43
USA,USA,Number of Elements,Count,2003,43
USA,USA,Number of Elements,Count,2002,38
USA,USA,Number of Elements,Count,2001,39
USA,USA,Number of Elements,Count,2000,49
USA,USA,Number of Elements,Count,1999,49
USA-IA,USA-IA,Number of Elements,Count,2019,4
USA-IA,USA-IA,Number of Elements,Count,2018,4
USA-IA,USA-IA,Number of Elements,Count,2017,4
USA-IA,USA-IA,Number of Elements,Count,2016,4
USA-IA,USA-IA,Number of Elements,Count,2015,4
USA-IA,USA-IA,Number of Elements,Count,2014,4
USA-IA,USA-IA,Number of Elements,Count,2013,4
USA-IA,USA-IA,Number of Elements,Count,2012,4
USA-IA,USA-IA,Number of Elements,Count,2011,4
USA-IA,USA-IA,Number of Elements,Count,2010,4
USA-IA,USA-IA,Number of Elements,Count,2009,4
USA-IA,USA-IA,Number of Elements,Count,2008,4
USA-IA,USA-IA,Number of Elements,Count,2007,4
USA-IA,USA-IA,Number of Elements,Count,2006,4
USA-IA,USA-IA,Number of Elements,Count,2005,4
USA-IA,USA-IA,Number of Elements,Count,2004,4
USA-IA,USA-IA,Number of Elements,Count,2003,4
USA-IA,USA-IA,Number of Elements,Count,2002,4
USA-IA,USA-IA,Number of Elements,Count,2001,4
USA-IA,USA-IA,Number of Elements,Count,2000,4
USA-IA,USA-IA,Number of Elements,Count,1999,4
USA-IL,USA-IL,Number of Elements,Count,2019,18
USA-IL,USA-IL,Number of Elements,Count,2018,18
USA-IL,USA-IL,Number of Elements,Count,2017,17
USA-IL,USA-IL,Number of Elements,Count,2016,19
USA-IL,USA-IL,Number of Elements,Count,2015,19
USA-IL,USA-IL,Number of Elements,Count,2014,19
USA-IL,USA-IL,Number of Elements,Count,2013,19
USA-IL,USA-IL,Number of Elements,Count,2012,17
USA-IL,USA-IL,Number of Elements,Count,2011,17
USA-IL,USA-IL,Number of Elements,Count,2010,17
USA-IL,USA-IL,Number of Elements,Count,2009,18
USA-IL,USA-IL,Number of Elements,Count,2008,18
USA-IL,USA-IL,Number of Elements,Count,2007,18
USA-IL,USA-IL,Number of Elements,Count,2006,18
USA-IL,USA-IL,Number of Elements,Count,2005,18
USA-IL,USA-IL,Number of Elements,Count,2004,17
USA-IL,USA-IL,Number of Elements,Count,2003,17
USA-IL,USA-IL,Number of Elements,Count,2002,17
USA-IL,USA-IL,Number of Elements,Count,2001,17
USA-IL,USA-IL,Number of Elements,Count,2000,17
USA-IL,USA-IL,Number of Elements,Count,1999,17
USA-IN,USA-IN,Number of Elements,Count,2019,12
USA-IN,USA-IN,Number of Elements,Count,2018,12
USA-IN,USA-IN,Number of Elements,Count,2017,12
USA-IN,USA-IN,Number of Elements,Count,2016,12
USA-IN,USA-IN,Number of Elements,Count,2015,12
USA-IN,USA-IN,Number of Elements,Count,2014,12
USA-IN,USA-IN,Number of Elements,Count,2013,12
USA-IN,USA-IN,Number of Elements,Count,2012,12
USA-IN,USA-IN,Number of Elements,Count,2011,13
USA-IN,USA-IN,Number of Elements,Count,2010,13
USA-IN,USA-IN,Number of Elements,Count,2009,12
USA-IN,USA-IN,Number of Elements,Count,2008,12
USA-IN,USA-IN,Number of Elements,Count,2007,12
USA-IN,USA-IN,Number of Elements,Count,2006,12
USA-IN,USA-IN,Number of Elements,Count,2005,12
USA-IN,USA-IN,Number of Elements,Count,2004,12
USA-IN,USA-IN,Number of Elements,Count,2003,12
USA-IN,USA-IN,Number of Elements,Count,2002,8
USA-IN,USA-IN,Number of Elements,Count,2001,9
USA-IN,USA-IN,Number of Elements,Count,2000,17
USA-IN,USA-IN,Number of Elements,Count,1999,17
USA-KY,USA-KY,Number of Elements,Count,2019,4
USA-KY,USA-KY,Number of Elements,Count,2018,4
USA-KY,USA-KY,Number of Elements,Count,2017,4
USA-KY,USA-KY,Number of Elements,Count,2016,2
USA-KY,USA-KY,Number of Elements,Count,2015,2
USA-KY,USA-KY,Number of Elements,Count,2014,2
USA-KY,USA-KY,Number of Elements,Count,2013,3
USA-KY,USA-KY,Number of Elements,Count,2012,3
USA-KY,USA-KY,Number of Elements,Count,2011,3
USA-KY,USA-KY,Number of Elements,Count,2010,3
USA-KY,USA-KY,Number of Elements,Count,2009,3
USA-KY,USA-KY,Number of Elements,Count,2008,3
USA-KY,USA-KY,Number of Elements,Count,2007,3
USA-KY,USA-KY,Number of Elements,Count,2006,3
USA-KY,USA-KY,Number of Elements,Count,2005,3
USA-KY,USA-KY,Number of Elements,Count,2004,3
USA-KY,USA-KY,Number of Elements,Count,2003,3
USA-KY,USA-KY,Number of Elements,Count,2002,2
USA-KY,USA-KY,Number of Elements,Count,2001,2
USA-KY,USA-KY,Number of Elements,Count,2000,3
USA-KY,USA-KY,Number of Elements,Count,1999,3
USA-MI,USA-MI,Number of Elements,Count,2019,0
USA-MI,USA-MI,Number of Elements,Count,2018,0
USA-MI,USA-MI,Number of Elements,Count,2017,0
USA-MI,USA-MI,Number of Elements,Count,2015,0
USA-MI,USA-MI,Number of Elements,Count,2014,0
USA-MI,USA-MI,Number of Elements,Count,2012,0
USA-MI,USA-MI,Number of Elements,Count,2005,0
USA-MI,USA-MI,Number of Elements,Count,2003,0
USA-MI,USA-MI,Number of Elements,Count,2002,0
USA-MI,USA-MI,Number of Elements,Count,2001,0
USA-MI,USA-MI,Number of Elements,Count,2000,1
USA-MI,USA-MI,Number of Elements,Count,1999,1
USA-MN,USA-MN,Number of Elements,Count,2019,1
USA-MN,USA-MN,Number of Elements,Count,2018,1
USA-MN,USA-MN,Number of Elements,Count,2017,1
USA-MN,USA-MN,Number of Elements,Count,2016,1
USA-MN,USA-MN,Number of Elements,Count,2015,1
USA-MN,USA-MN,Number of Elements,Count,2014,1
USA-MN,USA-MN,Number of Elements,Count,2013,1
USA-MN,USA-MN,Number of Elements,Count,2012,1
USA-MN,USA-MN,Number of Elements,Count,2011,1
USA-MN,USA-MN,Number of Elements,Count,2010,1
USA-MN,USA-MN,Number of Elements,Count,2009,1
USA-MN,USA-MN,Number of Elements,Count,2008,1
USA-MN,USA-MN,Number of Elements,Count,2007,1
