iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,37
USA,USA,Number of Elements,Count,2018,38
USA,USA,Number of Elements,Count,2017,39
USA,USA,Number of Elements,Count,2016,39
USA,USA,Number of Elements,Count,2015,39
USA,USA,Number of Elements,Count,2014,39
USA,USA,Number of Elements,Count,2013,40
USA,USA,Number of Elements,Count,2012,40
USA,USA,Number of Elements,Count,2011,38
USA,USA,Number of Elements,Count,2010,37
USA,USA,Number of Elements,Count,2009,35
USA,USA,Number of Elements,Count,2008,34
USA,USA,Number of Elements,Count,2007,31
USA,USA,Number of Elements,Count,2006,31
USA,USA,Number of Elements,Count,2005,30
USA,USA,Number of Elements,Count,2004,30
USA,USA,Number of Elements,Count,2003,30
USA,USA,Number of Elements,Count,2002,29
USA,USA,Number of Elements,Count,2001,28
USA,USA,Number of Elements,Count,2000,28
USA,USA,Number of Elements,Count,1999,29
USA-AL,USA-AL,Number of Elements,Count,2019,1
USA-AL,USA-AL,Number of Elements,Count,2018,1
USA-AL,USA-AL,Number of Elements,Count,2017,1
USA-AL,USA-AL,Number of Elements,Count,2016,1
USA-AL,USA-AL,Number of Elements,Count,2015,1
USA-AL,USA-AL,Number of Elements,Count,2014,1
USA-AL,USA-AL,Number of Elements,Count,2013,1
USA-AL,USA-AL,Number of Elements,Count,2012,1
USA-AL,USA-AL,Number of Elements,Count,2011,1
USA-AL,USA-AL,Number of Elements,Count,2010,1
USA-AL,USA-AL,Number of Elements,Count,2009,1
USA-AL,USA-AL,Number of Elements,Count,2008,1
USA-AL,USA-AL,Number of Elements,Count,2007,1
USA-AL,USA-AL,Number of Elements,Count,2006,1
USA-AL,USA-AL,Number of Elements,Count,2005,1
USA-AL,USA-AL,Number of Elements,Count,2004,1
USA-AL,USA-AL,Number of Elements,Count,2003,1
USA-AL,USA-AL,Number of Elements,Count,2002,1
USA-AL,USA-AL,Number of Elements,Count,2001,1
USA-AL,USA-AL,Number of Elements,Count,2000,1
USA-AL,USA-AL,Number of Elements,Count,1999,1
USA-CA,USA-CA,Number of Elements,Count,2019,0
USA-CA,USA-CA,Number of Elements,Count,2018,0
USA-CA,USA-CA,Number of Elements,Count,2017,0
USA-CA,USA-CA,Number of Elements,Count,2015,0
USA-CA,USA-CA,Number of Elements,Count,2014,0
USA-CA,USA-CA,Number of Elements,Count,2012,0
USA-CA,USA-CA,Number of Elements,Count,2005,0
USA-CA,USA-CA,Number of Elements,Count,2003,0
USA-CA,USA-CA,Number of Elements,Count,2002,0
USA-CA,USA-CA,Number of Elements,Count,2001,0
USA-CA,USA-CA,Number of Elements,Count,2000,1
USA-CA,USA-CA,Number of Elements,Count,1999,1
USA-KS,USA-KS,Number of Elements,Count,2019,0
USA-KS,USA-KS,Number of Elements,Count,2018,0
USA-KS,USA-KS,Number of Elements,Count,2017,0
USA-KS,USA-KS,Number of Elements,Count,2015,0
USA-KS,USA-KS,Number of Elements,Count,2014,0
USA-KS,USA-KS,Number of Elements,Count,2012,1
USA-KS,USA-KS,Number of Elements,Count,2011,1
USA-KS,USA-KS,Number of Elements,Count,2010,1
USA-KS,USA-KS,Number of Elements,Count,2009,1
USA-KS,USA-KS,Number of Elements,Count,2008,1
USA-KS,USA-KS,Number of Elements,Count,2007,1
USA-KS,USA-KS,Number of Elements,Count,2006,1
USA-KS,USA-KS,Number of Elements,Count,2005,1
USA-KS,USA-KS,Number of Elements,Count,2004,1
USA-KS,USA-KS,Number of Elements,Count,2003,1
USA-KS,USA-KS,Number of Elements,Count,2002,1
USA-KS,USA-KS,Number of Elements,Count,2001,1
USA-KS,USA-KS,Number of Elements,Count,2000,1
USA-KS,USA-KS,Number of Elements,Count,1999,1
USA-LA,USA-LA,Number of Elements,Count,2019,11
USA-LA,USA-LA,Number of Elements,Count,2018,11
USA-LA,USA-LA,Number of Elements,Count,2017,11
USA-LA,USA-LA,Number of Elements,Count,2016,11
USA-LA,USA-LA,Number of Elements,Count,2015,11
USA-LA,USA-LA,Number of Elements,Count,2014,11
USA-LA,USA-LA,Number of Elements,Count,2013,11
USA-LA,USA-LA,Number of Elements,Count,2012,11
USA-LA,USA-LA,Number of Elements,Count,2011,10
USA-LA,USA-LA,Number of Elements,Count,2010,10
USA-LA,USA-LA,Number of Elements,Count,2009,10
USA-LA,USA-LA,Number of Elements,Count,2008,9
USA-LA,USA-LA,Number of Elements,Count,2007,7
USA-LA,USA-LA,Number of Elements,Count,2006,6
USA-LA,USA-LA,Number of Elements,Count,2005,6
USA-LA,USA-LA,Number of Elements,Count,2004,6
USA-LA,USA-LA,Number of Elements,Count,2003,6
USA-LA,USA-LA,Number of Elements,Count,2002,6
USA-LA,USA-LA,Number of Elements,Count,2001,6
USA-LA,USA-LA,Number of Elements,Count,2000,5
USA-LA,USA-LA,Number of Elements,Count,1999,6
USA-MI,USA-MI,Number of Elements,Count,2019,2
USA-MI,USA-MI,Number of Elements,Count,2018,2
USA-MI,USA-MI,Number of Elements,Count,2017,2
USA-MI,USA-MI,Number of Elements,Count,2016,2
USA-MI,USA-MI,Number of Elements,Count,2015,2
USA-MI,USA-MI,Number of Elements,Count,2014,2
USA-MI,USA-MI,Number of Elements,Count,2013,2
USA-MI,USA-MI,Number of Elements,Count,2012,2
USA-MI,USA-MI,Number of Elements,Count,2011,2
USA-MI,USA-MI,Number of Elements,Count,2010,2
USA-MI,USA-MI,Number of Elements,Count,2009,2
USA-MI,USA-MI,Number of Elements,Count,2008,2
USA-MI,USA-MI,Number of Elements,Count,2007,2
USA-MI,USA-MI,Number of Elements,Count,2006,2
USA-MI,USA-MI,Number of Elements,Count,2005,2
USA-MI,USA-MI,Number of Elements,Count,2004,2
USA-MI,USA-MI,Number of Elements,Count,2003,2
USA-MI,USA-MI,Number of Elements,Count,2002,2
USA-MI,USA-MI,Number of Elements,Count,2001,2
USA-MI,USA-MI,Number of Elements,Count,2000,2
USA-MI,USA-MI,Number of Elements,Count,1999,2
USA-MS,USA-MS,Number of Elements,Count,2019,5
USA-MS,USA-MS,Number of Elements,Count,2018,6
USA-MS,USA-MS,Number of Elements,Count,2017,6
USA-MS,USA-MS,Number of Elements,Count,2016,6
USA-MS,USA-MS,Number of Elements,Count,2015,6
USA-MS,USA-MS,Number of Elements,Count,2014,6
USA-MS,USA-MS,Number of Elements,Count,2013,6
USA-MS,USA-MS,Number of Elements,Count,2012,6
USA-MS,USA-MS,Number of Elements,Count,2011,6
USA-MS,USA-MS,Number of Elements,Count,2010,5
USA-MS,USA-MS,Number of Elements,Count,2009,4
USA-MS,USA-MS,Number of Elements,Count,2008,4
USA-MS,USA-MS,Number of Elements,Count,2007,3
USA-MS,USA-MS,Number of Elements,Count,2006,3
USA-MS,USA-MS,Number of Elements,Count,2005,3
USA-MS,USA-MS,Number of Elements,Count,2004,3
USA-MS,USA-MS,Number of Elements,Count,2003,3
USA-MS,USA-MS,Number of Elements,Count,2002,3
USA-MS,USA-MS,Number of Elements,Count,2001,3
USA-MS,USA-MS,Number of Elements,Count,2000,3
USA-MS,USA-MS,Number of Elements,Count,1999,3
USA-NY,USA-NY,Number of Elements,Count,2019,1
USA-NY,USA-NY,Number of Elements,Count,2018,1
USA-NY,USA-NY,Number of Elements,Count,2017,1
USA-NY,USA-NY,Number of Elements,Count,2016,1
USA-NY,USA-NY,Number of Elements,Count,2015,1
USA-NY,USA-NY,Number of Elements,Count,2014,1
USA-NY,USA-NY,Number of Elements,Count,2013,1
USA-NY,USA-NY,Number of Elements,Count,2012,0
USA-NY,USA-NY,Number of Elements,Count,2011,1
USA-NY,USA-NY,Number of Elements,Count,2010,1
USA-NY,USA-NY,Number of Elements,Count,2009,1
USA-NY,USA-NY,Number of Elements,Count,2008,1
USA-NY,USA-NY,Number of Elements,Count,2007,1
USA-NY,USA-NY,Number of Elements,Count,2006,1
USA-NY,USA-NY,Number of Elements,Count,2005,1
USA-NY,USA-NY,Number of Elements,Count,2004,1
USA-NY,USA-NY,Number of Elements,Count,2003,1
USA-NY,USA-NY,Number of Elements,Count,2002,1
USA-NY,USA-NY,Number of Elements,Count,2001,1
USA-NY,USA-NY,Number of Elements,Count,2000,1
USA-NY,USA-NY,Number of Elements,Count,1999,1
USA-TX,USA-TX,Number of Elements,Count,2019,16
USA-TX,USA-TX,Number of Elements,Count,2018,16
USA-TX,USA-TX,Number of Elements,Count,2017,17
USA-TX,USA-TX,Number of Elements,Count,2016,17
USA-TX,USA-TX,Number of Elements,Count,2015,17
USA-TX,USA-TX,Number of Elements,Count,2014,17
USA-TX,USA-TX,Number of Elements,Count,2013,18
USA-TX,USA-TX,Number of Elements,Count,2012,18
USA-TX,USA-TX,Number of Elements,Count,2011,16
USA-TX,USA-TX,Number of Elements,Count,2010,16
USA-TX,USA-TX,Number of Elements,Count,2009,15
USA-TX,USA-TX,Number of Elements,Count,2008,15
USA-TX,USA-TX,Number of Elements,Count,2007,14
USA-TX,USA-TX,Number of Elements,Count,2006,15
USA-TX,USA-TX,Number of Elements,Count,2005,14
USA-TX,USA-TX,Number of Elements,Count,2004,14
USA-TX,USA-TX,Number of Elements,Count,2003,14
USA-TX,USA-TX,Number of Elements,Count,2002,14
USA-TX,USA-TX,Number of Elements,Count,2001,13
USA-TX,USA-TX,Number of Elements,Count,2000,13
USA-TX,USA-TX,Number of Elements,Count,1999,13
USA-VA,USA-VA,Number of Elements,Count,2019,1
USA-VA,USA-VA,Number of Elements,Count,2018,1
USA-VA,USA-VA,Number of Elements,Count,2017,1
USA-VA,USA-VA,Number of Elements,Count,2016,1
USA-VA,USA-VA,Number of Elements,Count,2015,1
USA-VA,USA-VA,Number of Elements,Count,2014,1
USA-VA,USA-VA,Number of Elements,Count,2013,1
USA-VA,USA-VA,Number of Elements,Count,2012,1
USA-VA,USA-VA,Number of Elements,Count,2011,1
USA-VA,USA-VA,Number of Elements,Count,2010,1
USA-VA,USA-VA,Number of Elements,Count,2009,1
USA-VA,USA-VA,Number of Elements,Count,2008,1
USA-VA,USA-VA,Number of Elements,Count,2007,2
USA-VA,USA-VA,Number of Elements,Count,2006,2
USA-VA,USA-VA,Number of Elements,Count,2005,2
USA-VA,USA-VA,Number of Elements,Count,2004,2
USA-VA,USA-VA,Number of Elements,Count,2003,2
USA-VA,USA-VA,Number of Elements,Count,2002,1
USA-VA,USA-VA,Number of Elements,Count,2001,1
USA-VA,USA-VA,Number of Elements,Count,2000,1
USA-VA,USA-VA,Number of Elements,Count,1999,1
