iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,698505
USA,USA,Million Cubic Feet,MMcf,2018,701690
USA,USA,Million Cubic Feet,MMcf,2017,715847
USA,USA,Million Cubic Feet,MMcf,2016,712519
USA,USA,Million Cubic Feet,MMcf,2015,709380
USA,USA,Million Cubic Feet,MMcf,2014,702548
USA,USA,Million Cubic Feet,MMcf,2013,654266
USA,USA,Million Cubic Feet,MMcf,2012,715821
USA,USA,Million Cubic Feet,MMcf,2011,512279
USA,USA,Million Cubic Feet,MMcf,2010,456009
USA,USA,Million Cubic Feet,MMcf,2009,397560
USA,USA,Million Cubic Feet,MMcf,2008,341213
USA,USA,Million Cubic Feet,MMcf,2007,253410
USA,USA,Million Cubic Feet,MMcf,2006,261988
USA,USA,Million Cubic Feet,MMcf,2005,250532
USA,USA,Million Cubic Feet,MMcf,2004,239990
USA,USA,Million Cubic Feet,MMcf,2003,234601
USA,USA,Million Cubic Feet,MMcf,2002,225958
USA,USA,Million Cubic Feet,MMcf,2001,218483
USA,USA,Million Cubic Feet,MMcf,2000,189043
USA,USA,Million Cubic Feet,MMcf,1999,185451
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,30100
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,30100
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,30100
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,30100
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,30100
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,30100
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,21900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,21900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,21900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,21900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,15900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,15900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,8300
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,8300
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,8300
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,8300
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,8300
