iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,412
USA,USA,Number of Elements,Count,2018,410
USA,USA,Number of Elements,Count,2017,414
USA,USA,Number of Elements,Count,2016,415
USA,USA,Number of Elements,Count,2015,415
USA,USA,Number of Elements,Count,2014,418
USA,USA,Number of Elements,Count,2013,419
USA,USA,Number of Elements,Count,2012,414
USA,USA,Number of Elements,Count,2011,410
USA,USA,Number of Elements,Count,2010,411
USA,USA,Number of Elements,Count,2009,409
USA,USA,Number of Elements,Count,2008,401
USA,USA,Number of Elements,Count,2007,400
USA,USA,Number of Elements,Count,2006,397
USA,USA,Number of Elements,Count,2005,394
USA,USA,Number of Elements,Count,2004,393
USA,USA,Number of Elements,Count,2003,391
USA,USA,Number of Elements,Count,2002,407
USA,USA,Number of Elements,Count,2001,418
USA,USA,Number of Elements,Count,2000,413
USA,USA,Number of Elements,Count,1999,413
USA,USA,Number of Elements,Count,1998,410
USA,USA,Number of Elements,Count,1997,418
USA,USA,Number of Elements,Count,1996,406
USA,USA,Number of Elements,Count,1995,403
USA,USA,Number of Elements,Count,1994,397
USA,USA,Number of Elements,Count,1993,389
USA,USA,Number of Elements,Count,1992,388
USA,USA,Number of Elements,Count,1991,387
USA,USA,Number of Elements,Count,1990,392
USA,USA,Number of Elements,Count,1989,394
USA-AL,USA-AL,Number of Elements,Count,2019,2
USA-AL,USA-AL,Number of Elements,Count,2018,2
USA-AL,USA-AL,Number of Elements,Count,2017,2
USA-AL,USA-AL,Number of Elements,Count,2016,2
USA-AL,USA-AL,Number of Elements,Count,2015,2
USA-AL,USA-AL,Number of Elements,Count,2014,2
USA-AL,USA-AL,Number of Elements,Count,2013,2
USA-AL,USA-AL,Number of Elements,Count,2012,2
USA-AL,USA-AL,Number of Elements,Count,2011,2
USA-AL,USA-AL,Number of Elements,Count,2010,2
USA-AL,USA-AL,Number of Elements,Count,2009,2
USA-AL,USA-AL,Number of Elements,Count,2008,2
USA-AL,USA-AL,Number of Elements,Count,2007,2
USA-AL,USA-AL,Number of Elements,Count,2006,2
USA-AL,USA-AL,Number of Elements,Count,2005,2
USA-AL,USA-AL,Number of Elements,Count,2004,2
USA-AL,USA-AL,Number of Elements,Count,2003,2
USA-AL,USA-AL,Number of Elements,Count,2002,2
USA-AL,USA-AL,Number of Elements,Count,2001,2
USA-AL,USA-AL,Number of Elements,Count,2000,1
USA-AL,USA-AL,Number of Elements,Count,1999,1
USA-AL,USA-AL,Number of Elements,Count,1998,1
USA-AL,USA-AL,Number of Elements,Count,1997,1
USA-AL,USA-AL,Number of Elements,Count,1996,1
USA-AL,USA-AL,Number of Elements,Count,1995,1
USA-AR,USA-AR,Number of Elements,Count,2019,2
USA-AR,USA-AR,Number of Elements,Count,2018,2
USA-AR,USA-AR,Number of Elements,Count,2017,2
USA-AR,USA-AR,Number of Elements,Count,2016,2
USA-AR,USA-AR,Number of Elements,Count,2015,2
USA-AR,USA-AR,Number of Elements,Count,2014,2
USA-AR,USA-AR,Number of Elements,Count,2013,2
USA-AR,USA-AR,Number of Elements,Count,2012,2
USA-AR,USA-AR,Number of Elements,Count,2011,2
USA-AR,USA-AR,Number of Elements,Count,2010,2
USA-AR,USA-AR,Number of Elements,Count,2009,2
USA-AR,USA-AR,Number of Elements,Count,2008,2
USA-AR,USA-AR,Number of Elements,Count,2007,2
USA-AR,USA-AR,Number of Elements,Count,2006,2
USA-AR,USA-AR,Number of Elements,Count,2005,2
USA-AR,USA-AR,Number of Elements,Count,2004,2
USA-AR,USA-AR,Number of Elements,Count,2003,2
USA-AR,USA-AR,Number of Elements,Count,2002,2
USA-AR,USA-AR,Number of Elements,Count,2001,2
USA-AR,USA-AR,Number of Elements,Count,2000,2
USA-AR,USA-AR,Number of Elements,Count,1999,2
USA-AR,USA-AR,Number of Elements,Count,1998,2
USA-AR,USA-AR,Number of Elements,Count,1997,3
USA-AR,USA-AR,Number of Elements,Count,1996,3
USA-AR,USA-AR,Number of Elements,Count,1995,4
USA-AR,USA-AR,Number of Elements,Count,1994,4
USA-AR,USA-AR,Number of Elements,Count,1993,4
USA-AR,USA-AR,Number of Elements,Count,1992,4
USA-AR,USA-AR,Number of Elements,Count,1991,4
USA-AR,USA-AR,Number of Elements,Count,1990,5
USA-AR,USA-AR,Number of Elements,Count,1989,5
USA-CA,USA-CA,Number of Elements,Count,2019,14
USA-CA,USA-CA,Number of Elements,Count,2018,14
USA-CA,USA-CA,Number of Elements,Count,2017,14
USA-CA,USA-CA,Number of Elements,Count,2016,14
USA-CA,USA-CA,Number of Elements,Count,2015,14
USA-CA,USA-CA,Number of Elements,Count,2014,14
USA-CA,USA-CA,Number of Elements,Count,2013,14
USA-CA,USA-CA,Number of Elements,Count,2012,14
USA-CA,USA-CA,Number of Elements,Count,2011,13
USA-CA,USA-CA,Number of Elements,Count,2010,13
USA-CA,USA-CA,Number of Elements,Count,2009,13
USA-CA,USA-CA,Number of Elements,Count,2008,12
USA-CA,USA-CA,Number of Elements,Count,2007,12
USA-CA,USA-CA,Number of Elements,Count,2006,12
USA-CA,USA-CA,Number of Elements,Count,2005,11
USA-CA,USA-CA,Number of Elements,Count,2004,11
USA-CA,USA-CA,Number of Elements,Count,2003,8
USA-CA,USA-CA,Number of Elements,Count,2002,10
USA-CA,USA-CA,Number of Elements,Count,2001,10
USA-CA,USA-CA,Number of Elements,Count,2000,9
USA-CA,USA-CA,Number of Elements,Count,1999,9
USA-CA,USA-CA,Number of Elements,Count,1998,9
USA-CA,USA-CA,Number of Elements,Count,1997,10
USA-CA,USA-CA,Number of Elements,Count,1996,10
USA-CA,USA-CA,Number of Elements,Count,1995,10
USA-CA,USA-CA,Number of Elements,Count,1994,10
USA-CA,USA-CA,Number of Elements,Count,1993,10
USA-CA,USA-CA,Number of Elements,Count,1992,10
USA-CA,USA-CA,Number of Elements,Count,1991,10
USA-CA,USA-CA,Number of Elements,Count,1990,10
USA-CA,USA-CA,Number of Elements,Count,1989,10
USA-CO,USA-CO,Number of Elements,Count,2019,10
USA-CO,USA-CO,Number of Elements,Count,2018,10
USA-CO,USA-CO,Number of Elements,Count,2017,11
USA-CO,USA-CO,Number of Elements,Count,2016,10
USA-CO,USA-CO,Number of Elements,Count,2015,10
USA-CO,USA-CO,Number of Elements,Count,2014,10
USA-CO,USA-CO,Number of Elements,Count,2013,10
USA-CO,USA-CO,Number of Elements,Count,2012,10
USA-CO,USA-CO,Number of Elements,Count,2011,9
USA-CO,USA-CO,Number of Elements,Count,2010,9
USA-CO,USA-CO,Number of Elements,Count,2009,9
USA-CO,USA-CO,Number of Elements,Count,2008,8
USA-CO,USA-CO,Number of Elements,Count,2007,8
USA-CO,USA-CO,Number of Elements,Count,2006,8
USA-CO,USA-CO,Number of Elements,Count,2005,8
USA-CO,USA-CO,Number of Elements,Count,2004,9
USA-CO,USA-CO,Number of Elements,Count,2003,9
USA-CO,USA-CO,Number of Elements,Count,2002,9
USA-CO,USA-CO,Number of Elements,Count,2001,9
USA-CO,USA-CO,Number of Elements,Count,2000,9
USA-CO,USA-CO,Number of Elements,Count,1999,9
USA-CO,USA-CO,Number of Elements,Count,1998,9
USA-CO,USA-CO,Number of Elements,Count,1997,9
USA-CO,USA-CO,Number of Elements,Count,1996,9
USA-CO,USA-CO,Number of Elements,Count,1995,9
USA-CO,USA-CO,Number of Elements,Count,1994,9
USA-CO,USA-CO,Number of Elements,Count,1993,9
USA-CO,USA-CO,Number of Elements,Count,1992,9
USA-CO,USA-CO,Number of Elements,Count,1991,9
USA-CO,USA-CO,Number of Elements,Count,1990,9
USA-CO,USA-CO,Number of Elements,Count,1989,9
USA-IA,USA-IA,Number of Elements,Count,2019,4
USA-IA,USA-IA,Number of Elements,Count,2018,4
USA-IA,USA-IA,Number of Elements,Count,2017,4
USA-IA,USA-IA,Number of Elements,Count,2016,4
USA-IA,USA-IA,Number of Elements,Count,2015,4
USA-IA,USA-IA,Number of Elements,Count,2014,4
USA-IA,USA-IA,Number of Elements,Count,2013,4
USA-IA,USA-IA,Number of Elements,Count,2012,4
USA-IA,USA-IA,Number of Elements,Count,2011,4
USA-IA,USA-IA,Number of Elements,Count,2010,4
USA-IA,USA-IA,Number of Elements,Count,2009,4
USA-IA,USA-IA,Number of Elements,Count,2008,4
USA-IA,USA-IA,Number of Elements,Count,2007,4
USA-IA,USA-IA,Number of Elements,Count,2006,4
USA-IA,USA-IA,Number of Elements,Count,2005,4
USA-IA,USA-IA,Number of Elements,Count,2004,4
USA-IA,USA-IA,Number of Elements,Count,2003,4
USA-IA,USA-IA,Number of Elements,Count,2002,4
USA-IA,USA-IA,Number of Elements,Count,2001,4
USA-IA,USA-IA,Number of Elements,Count,2000,4
USA-IA,USA-IA,Number of Elements,Count,1999,4
USA-IA,USA-IA,Number of Elements,Count,1998,4
USA-IA,USA-IA,Number of Elements,Count,1997,10
USA-IA,USA-IA,Number of Elements,Count,1996,4
USA-IA,USA-IA,Number of Elements,Count,1995,4
USA-IA,USA-IA,Number of Elements,Count,1994,4
USA-IA,USA-IA,Number of Elements,Count,1993,9
USA-IA,USA-IA,Number of Elements,Count,1992,9
USA-IA,USA-IA,Number of Elements,Count,1991,9
USA-IA,USA-IA,Number of Elements,Count,1990,9
USA-IA,USA-IA,Number of Elements,Count,1989,9
USA-IL,USA-IL,Number of Elements,Count,2019,28
USA-IL,USA-IL,Number of Elements,Count,2018,28
USA-IL,USA-IL,Number of Elements,Count,2017,28
USA-IL,USA-IL,Number of Elements,Count,2016,28
USA-IL,USA-IL,Number of Elements,Count,2015,28
USA-IL,USA-IL,Number of Elements,Count,2014,28
USA-IL,USA-IL,Number of Elements,Count,2013,28
USA-IL,USA-IL,Number of Elements,Count,2012,28
USA-IL,USA-IL,Number of Elements,Count,2011,28
USA-IL,USA-IL,Number of Elements,Count,2010,28
USA-IL,USA-IL,Number of Elements,Count,2009,28
USA-IL,USA-IL,Number of Elements,Count,2008,28
USA-IL,USA-IL,Number of Elements,Count,2007,29
USA-IL,USA-IL,Number of Elements,Count,2006,29
USA-IL,USA-IL,Number of Elements,Count,2005,29
USA-IL,USA-IL,Number of Elements,Count,2004,29
USA-IL,USA-IL,Number of Elements,Count,2003,29
USA-IL,USA-IL,Number of Elements,Count,2002,30
USA-IL,USA-IL,Number of Elements,Count,2001,30
USA-IL,USA-IL,Number of Elements,Count,2000,30
USA-IL,USA-IL,Number of Elements,Count,1999,30
USA-IL,USA-IL,Number of Elements,Count,1998,30
USA-IL,USA-IL,Number of Elements,Count,1997,31
USA-IL,USA-IL,Number of Elements,Count,1996,30
USA-IL,USA-IL,Number of Elements,Count,1995,30
USA-IL,USA-IL,Number of Elements,Count,1994,30
USA-IL,USA-IL,Number of Elements,Count,1993,31
USA-IL,USA-IL,Number of Elements,Count,1992,29
USA-IL,USA-IL,Number of Elements,Count,1991,29
USA-IL,USA-IL,Number of Elements,Count,1990,29
USA-IL,USA-IL,Number of Elements,Count,1989,31
USA-IN,USA-IN,Number of Elements,Count,2019,23
USA-IN,USA-IN,Number of Elements,Count,2018,21
USA-IN,USA-IN,Number of Elements,Count,2017,21
USA-IN,USA-IN,Number of Elements,Count,2016,21
USA-IN,USA-IN,Number of Elements,Count,2015,21
USA-IN,USA-IN,Number of Elements,Count,2014,22
USA-IN,USA-IN,Number of Elements,Count,2013,22
USA-IN,USA-IN,Number of Elements,Count,2012,22
USA-IN,USA-IN,Number of Elements,Count,2011,22
USA-IN,USA-IN,Number of Elements,Count,2010,22
USA-IN,USA-IN,Number of Elements,Count,2009,22
USA-IN,USA-IN,Number of Elements,Count,2008,22
USA-IN,USA-IN,Number of Elements,Count,2007,22
USA-IN,USA-IN,Number of Elements,Count,2006,22
USA-IN,USA-IN,Number of Elements,Count,2005,22
USA-IN,USA-IN,Number of Elements,Count,2004,22
USA-IN,USA-IN,Number of Elements,Count,2003,23
USA-IN,USA-IN,Number of Elements,Count,2002,24
USA-IN,USA-IN,Number of Elements,Count,2001,27
USA-IN,USA-IN,Number of Elements,Count,2000,28
USA-IN,USA-IN,Number of Elements,Count,1999,28
USA-IN,USA-IN,Number of Elements,Count,1998,28
USA-IN,USA-IN,Number of Elements,Count,1997,28
USA-IN,USA-IN,Number of Elements,Count,1996,28
USA-IN,USA-IN,Number of Elements,Count,1995,28
USA-IN,USA-IN,Number of Elements,Count,1994,27
USA-IN,USA-IN,Number of Elements,Count,1993,26
USA-IN,USA-IN,Number of Elements,Count,1992,25
USA-IN,USA-IN,Number of Elements,Count,1991,23
USA-IN,USA-IN,Number of Elements,Count,1990,23
USA-IN,USA-IN,Number of Elements,Count,1989,29
USA-KS,USA-KS,Number of Elements,Count,2019,16
USA-KS,USA-KS,Number of Elements,Count,2018,16
