iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,202102,412.0
USA,USA,Number of Elements,Count,202101,412.0
USA,USA,Number of Elements,Count,202012,412.0
USA,USA,Number of Elements,Count,202011,412.0
USA,USA,Number of Elements,Count,202010,412.0
USA,USA,Number of Elements,Count,202009,412.0
USA,USA,Number of Elements,Count,202008,412.0
USA,USA,Number of Elements,Count,202007,412.0
USA,USA,Number of Elements,Count,202006,412.0
USA,USA,Number of Elements,Count,202005,412.0
USA,USA,Number of Elements,Count,202004,412.0
USA,USA,Number of Elements,Count,202003,412.0
USA,USA,Number of Elements,Count,202002,412.0
USA,USA,Number of Elements,Count,202001,412.0
USA,USA,Number of Elements,Count,201912,412.0
USA,USA,Number of Elements,Count,201911,412.0
USA,USA,Number of Elements,Count,201910,412.0
USA,USA,Number of Elements,Count,201909,412.0
USA,USA,Number of Elements,Count,201908,412.0
USA,USA,Number of Elements,Count,201907,412.0
USA,USA,Number of Elements,Count,201906,412.0
USA,USA,Number of Elements,Count,201905,412.0
USA,USA,Number of Elements,Count,201904,409.0
USA,USA,Number of Elements,Count,201903,409.0
USA,USA,Number of Elements,Count,201902,408.0
USA,USA,Number of Elements,Count,201901,409.0
USA,USA,Number of Elements,Count,201812,410.0
USA,USA,Number of Elements,Count,201811,410.0
USA,USA,Number of Elements,Count,201810,411.0
USA,USA,Number of Elements,Count,201809,411.0
USA,USA,Number of Elements,Count,201808,411.0
USA,USA,Number of Elements,Count,201807,411.0
USA,USA,Number of Elements,Count,201806,411.0
USA,USA,Number of Elements,Count,201805,411.0
USA,USA,Number of Elements,Count,201804,414.0
USA,USA,Number of Elements,Count,201803,414.0
USA,USA,Number of Elements,Count,201802,414.0
USA,USA,Number of Elements,Count,201801,414.0
USA,USA,Number of Elements,Count,201712,414.0
USA,USA,Number of Elements,Count,201711,414.0
USA,USA,Number of Elements,Count,201710,414.0
USA,USA,Number of Elements,Count,201709,414.0
USA,USA,Number of Elements,Count,201708,414.0
USA,USA,Number of Elements,Count,201707,414.0
USA,USA,Number of Elements,Count,201706,414.0
USA,USA,Number of Elements,Count,201705,414.0
USA,USA,Number of Elements,Count,201704,414.0
USA,USA,Number of Elements,Count,201703,413.0
USA,USA,Number of Elements,Count,201702,413.0
USA,USA,Number of Elements,Count,201701,414.0
USA,USA,Number of Elements,Count,201612,415.0
