iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,35400.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,35400.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,35400.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,32900.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,26900.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,26900.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,19300.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,19300.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,11015.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,11015.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,11015.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,8520.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,5000.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,3280.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,3280.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,3280.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,3280.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,3280.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,2600.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,21774.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,21774.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,21774.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,21853.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,21853.0
