iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,4822109
USA,USA,Million Cubic Feet,MMcf,2018,4840158
USA,USA,Million Cubic Feet,MMcf,2017,4851452
USA,USA,Million Cubic Feet,MMcf,2016,4815970
USA,USA,Million Cubic Feet,MMcf,2015,4800671
USA,USA,Million Cubic Feet,MMcf,2014,4785669
USA,USA,Million Cubic Feet,MMcf,2013,4748636
USA,USA,Million Cubic Feet,MMcf,2012,4576356
USA,USA,Million Cubic Feet,MMcf,2011,4483650
USA,USA,Million Cubic Feet,MMcf,2010,4410224
USA,USA,Million Cubic Feet,MMcf,2009,4327844
USA,USA,Million Cubic Feet,MMcf,2008,4211193
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,67915
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,33150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,33150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,33150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,33150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,33150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,33150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,27350
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,27350
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,27350
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,25150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,20900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,20900
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,8894
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,8894
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,8894
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,12036
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,13898
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,13898
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,14500
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,373966
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,373236
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,373236
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,371436
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,375496
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,374296
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,374296
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,349296
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,335396
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,311096
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,296096
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,283796
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,72754
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,72554
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,68174
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,63774
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,63774
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,63774
USA-CO,USA-CO,Million Cubic Feet,MMcf,2013,60582
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,60582
USA-CO,USA-CO,Million Cubic Feet,MMcf,2011,48709
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,49119
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,48129
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,42579
USA-IA,USA-IA,Million Cubic Feet,MMcf,2019,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2018,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2017,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2016,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2015,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2014,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2013,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2012,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2011,91113
USA-IA,USA-IA,Million Cubic Feet,MMcf,2010,90613
USA-IA,USA-IA,Million Cubic Feet,MMcf,2009,87414
USA-IA,USA-IA,Million Cubic Feet,MMcf,2008,87350
USA-IL,USA-IL,Million Cubic Feet,MMcf,2019,303613
USA-IL,USA-IL,Million Cubic Feet,MMcf,2018,303613
USA-IL,USA-IL,Million Cubic Feet,MMcf,2017,303613
USA-IL,USA-IL,Million Cubic Feet,MMcf,2016,303613
USA-IL,USA-IL,Million Cubic Feet,MMcf,2015,303613
USA-IL,USA-IL,Million Cubic Feet,MMcf,2014,304312
USA-IL,USA-IL,Million Cubic Feet,MMcf,2013,303312
USA-IL,USA-IL,Million Cubic Feet,MMcf,2012,302962
USA-IL,USA-IL,Million Cubic Feet,MMcf,2011,302385
USA-IL,USA-IL,Million Cubic Feet,MMcf,2010,303500
USA-IL,USA-IL,Million Cubic Feet,MMcf,2009,303761
USA-IL,USA-IL,Million Cubic Feet,MMcf,2008,296318
USA-IN,USA-IN,Million Cubic Feet,MMcf,2019,32374
USA-IN,USA-IN,Million Cubic Feet,MMcf,2018,33109
USA-IN,USA-IN,Million Cubic Feet,MMcf,2017,34066
USA-IN,USA-IN,Million Cubic Feet,MMcf,2016,33592
USA-IN,USA-IN,Million Cubic Feet,MMcf,2015,33592
USA-IN,USA-IN,Million Cubic Feet,MMcf,2014,33024
USA-IN,USA-IN,Million Cubic Feet,MMcf,2013,33024
USA-IN,USA-IN,Million Cubic Feet,MMcf,2012,33024
USA-IN,USA-IN,Million Cubic Feet,MMcf,2011,33024
USA-IN,USA-IN,Million Cubic Feet,MMcf,2010,32982
USA-IN,USA-IN,Million Cubic Feet,MMcf,2009,32157
USA-IN,USA-IN,Million Cubic Feet,MMcf,2008,32769
USA-KS,USA-KS,Million Cubic Feet,MMcf,2019,122982
USA-KS,USA-KS,Million Cubic Feet,MMcf,2018,122982
