iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,4846390
USA,USA,Million Cubic Feet,MMcf,202101,4842168
USA,USA,Million Cubic Feet,MMcf,202012,4842398
USA,USA,Million Cubic Feet,MMcf,202011,4842635
USA,USA,Million Cubic Feet,MMcf,202010,4842454
USA,USA,Million Cubic Feet,MMcf,202009,4826681
USA,USA,Million Cubic Feet,MMcf,202008,4826707
USA,USA,Million Cubic Feet,MMcf,202007,4826725
USA,USA,Million Cubic Feet,MMcf,202006,4826757
USA,USA,Million Cubic Feet,MMcf,202005,4826784
USA,USA,Million Cubic Feet,MMcf,202004,4826811
USA,USA,Million Cubic Feet,MMcf,202003,4819306
USA,USA,Million Cubic Feet,MMcf,202002,4820450
USA,USA,Million Cubic Feet,MMcf,202001,4820476
USA,USA,Million Cubic Feet,MMcf,201912,4820564
USA,USA,Million Cubic Feet,MMcf,201911,4820524
USA,USA,Million Cubic Feet,MMcf,201910,4820434
USA,USA,Million Cubic Feet,MMcf,201909,4820552
USA,USA,Million Cubic Feet,MMcf,201908,4820605
USA,USA,Million Cubic Feet,MMcf,201907,4820605
USA,USA,Million Cubic Feet,MMcf,201906,4820687
USA,USA,Million Cubic Feet,MMcf,201905,4821403
USA,USA,Million Cubic Feet,MMcf,201904,4818870
USA,USA,Million Cubic Feet,MMcf,201903,4824018
USA,USA,Million Cubic Feet,MMcf,201902,4845619
USA,USA,Million Cubic Feet,MMcf,201901,4840238
USA,USA,Million Cubic Feet,MMcf,201812,4840158
USA,USA,Million Cubic Feet,MMcf,201811,4840591
USA,USA,Million Cubic Feet,MMcf,201810,4843640
USA,USA,Million Cubic Feet,MMcf,201809,4843633
USA,USA,Million Cubic Feet,MMcf,201808,4843632
USA,USA,Million Cubic Feet,MMcf,201807,4843638
USA,USA,Million Cubic Feet,MMcf,201806,4843638
USA,USA,Million Cubic Feet,MMcf,201805,4843641
USA,USA,Million Cubic Feet,MMcf,201804,4839475
USA,USA,Million Cubic Feet,MMcf,201803,4843595
USA,USA,Million Cubic Feet,MMcf,201802,4845885
USA,USA,Million Cubic Feet,MMcf,201801,4848347
USA,USA,Million Cubic Feet,MMcf,201712,4853796
USA,USA,Million Cubic Feet,MMcf,201711,4853632
USA,USA,Million Cubic Feet,MMcf,201710,4856996
USA,USA,Million Cubic Feet,MMcf,201709,4855155
USA,USA,Million Cubic Feet,MMcf,201708,4855521
USA,USA,Million Cubic Feet,MMcf,201707,4855722
USA,USA,Million Cubic Feet,MMcf,201706,4856001
USA,USA,Million Cubic Feet,MMcf,201705,4821500
USA,USA,Million Cubic Feet,MMcf,201704,4821502
USA,USA,Million Cubic Feet,MMcf,201703,4815302
USA,USA,Million Cubic Feet,MMcf,201702,4815322
USA,USA,Million Cubic Feet,MMcf,201701,4815324
USA,USA,Million Cubic Feet,MMcf,201612,4815970
USA,USA,Million Cubic Feet,MMcf,201611,4816580
USA,USA,Million Cubic Feet,MMcf,201610,4816583
USA,USA,Million Cubic Feet,MMcf,201609,4816889
USA,USA,Million Cubic Feet,MMcf,201608,4814913
USA,USA,Million Cubic Feet,MMcf,201607,4814915
USA,USA,Million Cubic Feet,MMcf,201606,4815694
USA,USA,Million Cubic Feet,MMcf,201605,4811085
USA,USA,Million Cubic Feet,MMcf,201604,4809595
USA,USA,Million Cubic Feet,MMcf,201603,4809185
USA,USA,Million Cubic Feet,MMcf,201602,4808712
USA,USA,Million Cubic Feet,MMcf,201601,4798652
USA,USA,Million Cubic Feet,MMcf,201512,4800671
USA,USA,Million Cubic Feet,MMcf,201511,4792472
USA,USA,Million Cubic Feet,MMcf,201510,4793806
USA,USA,Million Cubic Feet,MMcf,201509,4791468
USA,USA,Million Cubic Feet,MMcf,201508,4788724
USA,USA,Million Cubic Feet,MMcf,201507,4788834
USA,USA,Million Cubic Feet,MMcf,201506,4789503
USA,USA,Million Cubic Feet,MMcf,201505,4794656
USA,USA,Million Cubic Feet,MMcf,201504,4794612
USA,USA,Million Cubic Feet,MMcf,201503,4794425
USA,USA,Million Cubic Feet,MMcf,201502,4794695
USA,USA,Million Cubic Feet,MMcf,201501,4795497
USA,USA,Million Cubic Feet,MMcf,201412,4785669
USA,USA,Million Cubic Feet,MMcf,201411,4784895
USA,USA,Million Cubic Feet,MMcf,201410,4772138
USA,USA,Million Cubic Feet,MMcf,201409,4770241
USA,USA,Million Cubic Feet,MMcf,201408,4771870
USA,USA,Million Cubic Feet,MMcf,201407,4764979
USA,USA,Million Cubic Feet,MMcf,201406,4755665
USA,USA,Million Cubic Feet,MMcf,201405,4749560
USA,USA,Million Cubic Feet,MMcf,201404,4740958
USA,USA,Million Cubic Feet,MMcf,201403,4741585
USA,USA,Million Cubic Feet,MMcf,201402,4741378
USA,USA,Million Cubic Feet,MMcf,201401,4743198
USA,USA,Million Cubic Feet,MMcf,201312,4748636
USA,USA,Million Cubic Feet,MMcf,201311,4748937
USA,USA,Million Cubic Feet,MMcf,201310,4750673
USA,USA,Million Cubic Feet,MMcf,201309,4745659
USA,USA,Million Cubic Feet,MMcf,201308,4717265
USA,USA,Million Cubic Feet,MMcf,201307,4699349
USA,USA,Million Cubic Feet,MMcf,201306,4669698
USA,USA,Million Cubic Feet,MMcf,201305,4665310
USA,USA,Million Cubic Feet,MMcf,201304,4640880
USA,USA,Million Cubic Feet,MMcf,201303,4652018
USA,USA,Million Cubic Feet,MMcf,201302,4628787
USA,USA,Million Cubic Feet,MMcf,201301,4567566
USA,USA,Million Cubic Feet,MMcf,201212,4576356
USA,USA,Million Cubic Feet,MMcf,201211,4575112
USA,USA,Million Cubic Feet,MMcf,201210,4577649
USA,USA,Million Cubic Feet,MMcf,201209,4567586
USA,USA,Million Cubic Feet,MMcf,201208,4540575
USA,USA,Million Cubic Feet,MMcf,201207,4530486
USA,USA,Million Cubic Feet,MMcf,201206,4526987
USA,USA,Million Cubic Feet,MMcf,201205,4514569
USA,USA,Million Cubic Feet,MMcf,201204,4502901
USA,USA,Million Cubic Feet,MMcf,201203,4491596
USA,USA,Million Cubic Feet,MMcf,201202,4491226
USA,USA,Million Cubic Feet,MMcf,201201,4491557
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,67915
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,67915
