iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,403810
USA,USA,Million Cubic Feet,MMcf,2018,404646
USA,USA,Million Cubic Feet,MMcf,2017,413475
USA,USA,Million Cubic Feet,MMcf,2016,452467
USA,USA,Million Cubic Feet,MMcf,2015,452287
USA,USA,Million Cubic Feet,MMcf,2014,452044
USA,USA,Million Cubic Feet,MMcf,2013,453054
USA,USA,Million Cubic Feet,MMcf,2012,367108
USA,USA,Million Cubic Feet,MMcf,2011,363521
USA,USA,Million Cubic Feet,MMcf,2010,364228
USA,USA,Million Cubic Feet,MMcf,2009,396092
USA,USA,Million Cubic Feet,MMcf,2008,396950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,10180
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,10180
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,10000
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,10000
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,10000
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2019,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2018,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2017,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2016,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2015,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2014,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2013,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2012,90313
USA-IA,USA-IA,Million Cubic Feet,MMcf,2011,91113
USA-IA,USA-IA,Million Cubic Feet,MMcf,2010,90613
USA-IA,USA-IA,Million Cubic Feet,MMcf,2009,87414
USA-IA,USA-IA,Million Cubic Feet,MMcf,2008,87350
USA-IL,USA-IL,Million Cubic Feet,MMcf,2019,251845
USA-IL,USA-IL,Million Cubic Feet,MMcf,2018,251845
USA-IL,USA-IL,Million Cubic Feet,MMcf,2017,250505
USA-IL,USA-IL,Million Cubic Feet,MMcf,2016,291845
USA-IL,USA-IL,Million Cubic Feet,MMcf,2015,291845
USA-IL,USA-IL,Million Cubic Feet,MMcf,2014,292544
USA-IL,USA-IL,Million Cubic Feet,MMcf,2013,291544
USA-IL,USA-IL,Million Cubic Feet,MMcf,2012,215594
USA-IL,USA-IL,Million Cubic Feet,MMcf,2011,215017
USA-IL,USA-IL,Million Cubic Feet,MMcf,2010,216132
USA-IL,USA-IL,Million Cubic Feet,MMcf,2009,252344
USA-IL,USA-IL,Million Cubic Feet,MMcf,2008,244900
USA-IN,USA-IN,Million Cubic Feet,MMcf,2019,19304
USA-IN,USA-IN,Million Cubic Feet,MMcf,2018,20140
USA-IN,USA-IN,Million Cubic Feet,MMcf,2017,20129
USA-IN,USA-IN,Million Cubic Feet,MMcf,2016,20048
USA-IN,USA-IN,Million Cubic Feet,MMcf,2015,20048
USA-IN,USA-IN,Million Cubic Feet,MMcf,2014,19215
USA-IN,USA-IN,Million Cubic Feet,MMcf,2013,19215
USA-IN,USA-IN,Million Cubic Feet,MMcf,2012,19215
USA-IN,USA-IN,Million Cubic Feet,MMcf,2011,19479
USA-IN,USA-IN,Million Cubic Feet,MMcf,2010,19437
USA-IN,USA-IN,Million Cubic Feet,MMcf,2009,19367
USA-IN,USA-IN,Million Cubic Feet,MMcf,2008,19978
USA-KS,USA-KS,Million Cubic Feet,MMcf,2019,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2018,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2017,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2015,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2014,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2012,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2019,9229
USA-KY,USA-KY,Million Cubic Feet,MMcf,2018,9229
USA-KY,USA-KY,Million Cubic Feet,MMcf,2017,9229
USA-KY,USA-KY,Million Cubic Feet,MMcf,2016,4619
USA-KY,USA-KY,Million Cubic Feet,MMcf,2015,4619
USA-KY,USA-KY,Million Cubic Feet,MMcf,2014,4619
USA-KY,USA-KY,Million Cubic Feet,MMcf,2013,6629
USA-KY,USA-KY,Million Cubic Feet,MMcf,2012,6629
USA-KY,USA-KY,Million Cubic Feet,MMcf,2011,6629
USA-KY,USA-KY,Million Cubic Feet,MMcf,2010,6629
USA-KY,USA-KY,Million Cubic Feet,MMcf,2009,6629
USA-KY,USA-KY,Million Cubic Feet,MMcf,2008,6629
USA-LA,USA-LA,Million Cubic Feet,MMcf,2019,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2018,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2017,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2015,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2014,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2012,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2019,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2018,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2017,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2015,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2014,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2012,0
USA-MN,USA-MN,Million Cubic Feet,MMcf,2019,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2018,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2017,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2016,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2015,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2014,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2013,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2012,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2011,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2010,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2009,2000
USA-MN,USA-MN,Million Cubic Feet,MMcf,2008,2000
USA-MO,USA-MO,Million Cubic Feet,MMcf,2019,3656
USA-MO,USA-MO,Million Cubic Feet,MMcf,2018,3656
