iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,3935134
USA,USA,Million Cubic Feet,MMcf,2018,3946955
USA,USA,Million Cubic Feet,MMcf,2017,3937382
USA,USA,Million Cubic Feet,MMcf,2016,3864269
USA,USA,Million Cubic Feet,MMcf,2015,3854408
USA,USA,Million Cubic Feet,MMcf,2014,3844927
USA,USA,Million Cubic Feet,MMcf,2013,3839852
USA,USA,Million Cubic Feet,MMcf,2012,3720980
USA,USA,Million Cubic Feet,MMcf,2011,3769113
USA,USA,Million Cubic Feet,MMcf,2010,3733993
USA,USA,Million Cubic Feet,MMcf,2009,3659968
USA,USA,Million Cubic Feet,MMcf,2008,3583786
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,11200
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,9000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,9000
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,9000
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,8894
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,8894
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,8894
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,12178
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,12036
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,13898
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,13898
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,14500
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,373966
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,373236
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,363056
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,361256
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,365496
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,364296
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,364296
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,349296
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,335396
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,311096
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,296096
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,283796
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,72754
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,72554
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,68174
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,63774
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,63774
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,63774
USA-CO,USA-CO,Million Cubic Feet,MMcf,2013,60582
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,60582
USA-CO,USA-CO,Million Cubic Feet,MMcf,2011,48709
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,49119
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,48129
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,42579
USA-IA,USA-IA,Million Cubic Feet,MMcf,2019,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2018,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2017,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2015,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2014,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2012,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2019,51768
USA-IL,USA-IL,Million Cubic Feet,MMcf,2018,51768
USA-IL,USA-IL,Million Cubic Feet,MMcf,2017,53108
USA-IL,USA-IL,Million Cubic Feet,MMcf,2016,11768
USA-IL,USA-IL,Million Cubic Feet,MMcf,2015,11768
USA-IL,USA-IL,Million Cubic Feet,MMcf,2014,11768
USA-IL,USA-IL,Million Cubic Feet,MMcf,2013,11768
USA-IL,USA-IL,Million Cubic Feet,MMcf,2012,87368
USA-IL,USA-IL,Million Cubic Feet,MMcf,2011,87368
USA-IL,USA-IL,Million Cubic Feet,MMcf,2010,87368
USA-IL,USA-IL,Million Cubic Feet,MMcf,2009,51418
USA-IL,USA-IL,Million Cubic Feet,MMcf,2008,51418
USA-IN,USA-IN,Million Cubic Feet,MMcf,2019,13070
USA-IN,USA-IN,Million Cubic Feet,MMcf,2018,12968
USA-IN,USA-IN,Million Cubic Feet,MMcf,2017,13937
USA-IN,USA-IN,Million Cubic Feet,MMcf,2016,13545
USA-IN,USA-IN,Million Cubic Feet,MMcf,2015,13545
USA-IN,USA-IN,Million Cubic Feet,MMcf,2014,13809
USA-IN,USA-IN,Million Cubic Feet,MMcf,2013,13809
USA-IN,USA-IN,Million Cubic Feet,MMcf,2012,13809
USA-IN,USA-IN,Million Cubic Feet,MMcf,2011,13545
USA-IN,USA-IN,Million Cubic Feet,MMcf,2010,13545
USA-IN,USA-IN,Million Cubic Feet,MMcf,2009,12791
USA-IN,USA-IN,Million Cubic Feet,MMcf,2008,12791
USA-KS,USA-KS,Million Cubic Feet,MMcf,2019,122982
USA-KS,USA-KS,Million Cubic Feet,MMcf,2018,122982
USA-KS,USA-KS,Million Cubic Feet,MMcf,2017,122982
USA-KS,USA-KS,Million Cubic Feet,MMcf,2016,122982
USA-KS,USA-KS,Million Cubic Feet,MMcf,2015,122980
USA-KS,USA-KS,Million Cubic Feet,MMcf,2014,122980
USA-KS,USA-KS,Million Cubic Feet,MMcf,2013,122970
USA-KS,USA-KS,Million Cubic Feet,MMcf,2012,122968
USA-KS,USA-KS,Million Cubic Feet,MMcf,2011,122850
