iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,483165
USA,USA,Million Cubic Feet,MMcf,2018,488557
USA,USA,Million Cubic Feet,MMcf,2017,500596
USA,USA,Million Cubic Feet,MMcf,2016,499233
USA,USA,Million Cubic Feet,MMcf,2015,493976
USA,USA,Million Cubic Feet,MMcf,2014,488698
USA,USA,Million Cubic Feet,MMcf,2013,455729
USA,USA,Million Cubic Feet,MMcf,2012,488268
USA,USA,Million Cubic Feet,MMcf,2011,351017
USA,USA,Million Cubic Feet,MMcf,2010,312003
USA,USA,Million Cubic Feet,MMcf,2009,271785
USA,USA,Million Cubic Feet,MMcf,2008,230456
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,21950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,21950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,21950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,21950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,21950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,21950
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,16150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,16150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,16150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,16150
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,11900
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,11900
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2019,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2018,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2017,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2015,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2014,0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2012,0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2019,0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2018,0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2017,0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2015,0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2014,0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2012,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2019,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2018,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2017,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2015,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2014,0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2012,375
USA-KS,USA-KS,Million Cubic Feet,MMcf,2011,375
USA-KS,USA-KS,Million Cubic Feet,MMcf,2010,375
USA-KS,USA-KS,Million Cubic Feet,MMcf,2009,375
USA-KS,USA-KS,Million Cubic Feet,MMcf,2008,375
USA-KY,USA-KY,Million Cubic Feet,MMcf,2019,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2018,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2017,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2015,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2014,0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2012,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2019,153583
USA-LA,USA-LA,Million Cubic Feet,MMcf,2018,156193
USA-LA,USA-LA,Million Cubic Feet,MMcf,2017,163973
USA-LA,USA-LA,Million Cubic Feet,MMcf,2016,161774
USA-LA,USA-LA,Million Cubic Feet,MMcf,2015,165150
USA-LA,USA-LA,Million Cubic Feet,MMcf,2014,161260
USA-LA,USA-LA,Million Cubic Feet,MMcf,2013,154333
USA-LA,USA-LA,Million Cubic Feet,MMcf,2012,200702
USA-LA,USA-LA,Million Cubic Feet,MMcf,2011,111849
USA-LA,USA-LA,Million Cubic Feet,MMcf,2010,100320
USA-LA,USA-LA,Million Cubic Feet,MMcf,2009,84487
USA-LA,USA-LA,Million Cubic Feet,MMcf,2008,57630
USA-MD,USA-MD,Million Cubic Feet,MMcf,2019,0
USA-MD,USA-MD,Million Cubic Feet,MMcf,2018,0
USA-MD,USA-MD,Million Cubic Feet,MMcf,2017,0
USA-MD,USA-MD,Million Cubic Feet,MMcf,2015,0
USA-MD,USA-MD,Million Cubic Feet,MMcf,2014,0
USA-MD,USA-MD,Million Cubic Feet,MMcf,2012,0
USA-MI,USA-MI,Million Cubic Feet,MMcf,2019,2160
USA-MI,USA-MI,Million Cubic Feet,MMcf,2018,2160
USA-MI,USA-MI,Million Cubic Feet,MMcf,2017,2160
USA-MI,USA-MI,Million Cubic Feet,MMcf,2016,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2015,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2014,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2013,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2012,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2011,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2010,2159
USA-MI,USA-MI,Million Cubic Feet,MMcf,2009,2150
USA-MI,USA-MI,Million Cubic Feet,MMcf,2008,2154
USA-MS,USA-MS,Million Cubic Feet,MMcf,2019,133456
USA-MS,USA-MS,Million Cubic Feet,MMcf,2018,135102
USA-MS,USA-MS,Million Cubic Feet,MMcf,2017,135102
USA-MS,USA-MS,Million Cubic Feet,MMcf,2016,135102
USA-MS,USA-MS,Million Cubic Feet,MMcf,2015,131870
USA-MS,USA-MS,Million Cubic Feet,MMcf,2014,130333
USA-MS,USA-MS,Million Cubic Feet,MMcf,2013,109495
USA-MS,USA-MS,Million Cubic Feet,MMcf,2012,100443
USA-MS,USA-MS,Million Cubic Feet,MMcf,2011,62932
USA-MS,USA-MS,Million Cubic Feet,MMcf,2010,56928
USA-MS,USA-MS,Million Cubic Feet,MMcf,2009,43758
USA-MS,USA-MS,Million Cubic Feet,MMcf,2008,43292
USA-MT,USA-MT,Million Cubic Feet,MMcf,2019,0
USA-MT,USA-MT,Million Cubic Feet,MMcf,2018,0
USA-MT,USA-MT,Million Cubic Feet,MMcf,2017,0
USA-MT,USA-MT,Million Cubic Feet,MMcf,2015,0
USA-MT,USA-MT,Million Cubic Feet,MMcf,2014,0
USA-MT,USA-MT,Million Cubic Feet,MMcf,2012,0
USA-NE,USA-NE,Million Cubic Feet,MMcf,2019,0
USA-NE,USA-NE,Million Cubic Feet,MMcf,2018,0
USA-NE,USA-NE,Million Cubic Feet,MMcf,2017,0
USA-NE,USA-NE,Million Cubic Feet,MMcf,2015,0
USA-NE,USA-NE,Million Cubic Feet,MMcf,2014,0
