iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,1761.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,888.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,1014.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,1456.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,1401.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,3935.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,1632.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,1839.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,2233.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,2324.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,5073.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,2110.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,320.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,1690.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,2787.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,3877.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,5339.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,2860.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,1145.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,2061.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,2021.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,2064.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,4910.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,2607.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,952.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,3340.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,6092.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,3212.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,4636.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,1196.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,894.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,1045.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,1484.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,4401.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,3837.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,3380.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,802.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,4452.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,1430.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,3044.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,5201.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,2880.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,722.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,658.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,1899.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,2704.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,2864.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,1178.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,2411.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,2745.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,517.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,2468.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,6070.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,1630.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,970.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,556.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,1576.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,3036.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,3807.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,2222.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,3081.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,1260.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201512,1867.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201511,3084.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201510,1746.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201509,3800.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201508,1330.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201507,2339.0
