iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,-1740
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,-4680
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,2660
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,3570
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,1019
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,-3817
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,-5603
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,5002
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,2456
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,-7357
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,-6286
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,2278
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,-4452
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,-140
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,-8477
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,-216
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,1133
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,-4165
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,-154
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,-1499
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,430
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,-164
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,-447
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,-162
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,-1224
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,73
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,-639
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,98
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,211
USA-AL,USA-AL,Million Cubic Feet,MMcf,1973,-554
USA-AL,USA-AL,Million Cubic Feet,MMcf,1972,-129
USA-AL,USA-AL,Million Cubic Feet,MMcf,1971,-183
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,-566
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,-142
USA-AL,USA-AL,Million Cubic Feet,MMcf,1968,-27
USA-AR,USA-AR,Million Cubic Feet,MMcf,2020,-35
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,-70
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,-654
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,-629
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,-1666
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,-1046
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,468
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,852
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,112
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,-219
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,-304
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,760
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,563
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,-278
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,-707
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,313
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,1185
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,-1
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,397
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,-2874
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,3033
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,233
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,-1774
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,250
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,64
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,709
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,2482
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,8208
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,514
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,1966
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,-1466
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,-47
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,-548
USA-AR,USA-AR,Million Cubic Feet,MMcf,1987,-67
USA-AR,USA-AR,Million Cubic Feet,MMcf,1986,-1082
USA-AR,USA-AR,Million Cubic Feet,MMcf,1985,-2932
USA-AR,USA-AR,Million Cubic Feet,MMcf,1983,756
USA-AR,USA-AR,Million Cubic Feet,MMcf,1982,-414
USA-AR,USA-AR,Million Cubic Feet,MMcf,1981,-519
USA-AR,USA-AR,Million Cubic Feet,MMcf,1980,746
USA-AR,USA-AR,Million Cubic Feet,MMcf,1979,611
USA-AR,USA-AR,Million Cubic Feet,MMcf,1978,-174
USA-AR,USA-AR,Million Cubic Feet,MMcf,1977,-699
