iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Percent,%,202102,-22.1
USA-AL,USA-AL,Percent,%,202101,-2.0
USA-AL,USA-AL,Percent,%,202012,8.2
USA-AL,USA-AL,Percent,%,202011,27.8
USA-AL,USA-AL,Percent,%,202010,48.0
USA-AL,USA-AL,Percent,%,202009,96.3
USA-AL,USA-AL,Percent,%,202008,86.8
USA-AL,USA-AL,Percent,%,202007,68.1
USA-AL,USA-AL,Percent,%,202006,48.6
USA-AL,USA-AL,Percent,%,202005,46.8
USA-AL,USA-AL,Percent,%,202004,52.5
USA-AL,USA-AL,Percent,%,202003,76.0
USA-AL,USA-AL,Percent,%,202002,42.6
USA-AL,USA-AL,Percent,%,202001,34.8
USA-AL,USA-AL,Percent,%,201912,28.1
USA-AL,USA-AL,Percent,%,201911,58.8
USA-AL,USA-AL,Percent,%,201910,40.4
USA-AL,USA-AL,Percent,%,201909,56.2
USA-AL,USA-AL,Percent,%,201908,0.5
USA-AL,USA-AL,Percent,%,201907,-7.9
USA-AL,USA-AL,Percent,%,201906,-11.5
USA-AL,USA-AL,Percent,%,201905,-16.3
USA-AL,USA-AL,Percent,%,201904,-4.0
USA-AL,USA-AL,Percent,%,201903,-18.2
USA-AL,USA-AL,Percent,%,201902,11.8
USA-AL,USA-AL,Percent,%,201901,31.1
USA-AL,USA-AL,Percent,%,201812,-13.9
USA-AL,USA-AL,Percent,%,201811,-42.1
USA-AL,USA-AL,Percent,%,201810,-41.3
USA-AL,USA-AL,Percent,%,201809,-48.9
USA-AL,USA-AL,Percent,%,201808,-24.4
USA-AL,USA-AL,Percent,%,201807,-22.7
USA-AL,USA-AL,Percent,%,201806,-21.6
USA-AL,USA-AL,Percent,%,201805,-18.2
USA-AL,USA-AL,Percent,%,201804,-33.7
USA-AL,USA-AL,Percent,%,201803,-42.3
USA-AL,USA-AL,Percent,%,201802,-54.7
USA-AL,USA-AL,Percent,%,201801,-49.0
USA-AL,USA-AL,Percent,%,201712,-15.6
USA-AL,USA-AL,Percent,%,201711,-17.4
USA-AL,USA-AL,Percent,%,201710,-15.1
USA-AL,USA-AL,Percent,%,201709,-10.2
USA-AL,USA-AL,Percent,%,201708,-10.3
USA-AL,USA-AL,Percent,%,201707,-2.5
USA-AL,USA-AL,Percent,%,201706,-1.0
USA-AL,USA-AL,Percent,%,201705,-4.9
USA-AL,USA-AL,Percent,%,201704,2.1
USA-AL,USA-AL,Percent,%,201703,8.4
USA-AL,USA-AL,Percent,%,201702,17.0
USA-AL,USA-AL,Percent,%,201701,16.1
USA-AL,USA-AL,Percent,%,201612,-7.4
USA-AL,USA-AL,Percent,%,201611,7.7
USA-AL,USA-AL,Percent,%,201610,4.0
USA-AL,USA-AL,Percent,%,201609,-17.5
USA-AL,USA-AL,Percent,%,201608,-10.7
USA-AL,USA-AL,Percent,%,201607,-4.6
USA-AL,USA-AL,Percent,%,201606,15.0
USA-AL,USA-AL,Percent,%,201605,26.8
USA-AL,USA-AL,Percent,%,201604,67.0
USA-AL,USA-AL,Percent,%,201603,163.9
USA-AL,USA-AL,Percent,%,201602,199.5
USA-AL,USA-AL,Percent,%,201601,30.1
USA-AL,USA-AL,Percent,%,201512,23.0
USA-AL,USA-AL,Percent,%,201511,30.5
USA-AL,USA-AL,Percent,%,201510,21.9
USA-AL,USA-AL,Percent,%,201509,44.1
USA-AL,USA-AL,Percent,%,201508,35.4
USA-AL,USA-AL,Percent,%,201507,37.9
USA-AL,USA-AL,Percent,%,201506,32.0
USA-AL,USA-AL,Percent,%,201505,12.1
USA-AL,USA-AL,Percent,%,201504,12.4
USA-AL,USA-AL,Percent,%,201503,9.0
USA-AL,USA-AL,Percent,%,201502,-6.2
USA-AL,USA-AL,Percent,%,201501,44.8
USA-AL,USA-AL,Percent,%,201412,18.0
USA-AL,USA-AL,Percent,%,201411,-4.6
USA-AL,USA-AL,Percent,%,201410,-6.1
USA-AL,USA-AL,Percent,%,201409,-25.4
USA-AL,USA-AL,Percent,%,201408,-24.4
USA-AL,USA-AL,Percent,%,201407,-24.3
USA-AL,USA-AL,Percent,%,201406,-22.6
USA-AL,USA-AL,Percent,%,201405,-15.5
USA-AL,USA-AL,Percent,%,201404,-38.5
USA-AL,USA-AL,Percent,%,201403,-60.6
USA-AL,USA-AL,Percent,%,201402,-61.9
USA-AL,USA-AL,Percent,%,201401,-50.1
USA-AL,USA-AL,Percent,%,201312,-22.7
USA-AL,USA-AL,Percent,%,201311,-10.0
USA-AL,USA-AL,Percent,%,201310,-12.0
USA-AL,USA-AL,Percent,%,201309,15.5
USA-AL,USA-AL,Percent,%,201308,-0.2
USA-AL,USA-AL,Percent,%,201307,-4.2
USA-AL,USA-AL,Percent,%,201306,-4.8
USA-AL,USA-AL,Percent,%,201305,5.0
USA-AL,USA-AL,Percent,%,201304,0.6
USA-AL,USA-AL,Percent,%,201303,-8.6
USA-AL,USA-AL,Percent,%,201302,7.7
USA-AL,USA-AL,Percent,%,201301,-5.1
USA-AL,USA-AL,Percent,%,201212,-11.5
USA-AL,USA-AL,Percent,%,201211,-12.1
USA-AL,USA-AL,Percent,%,201210,-1.0
USA-AL,USA-AL,Percent,%,201209,-6.4
USA-AL,USA-AL,Percent,%,201208,10.6
USA-AL,USA-AL,Percent,%,201207,18.0
USA-AL,USA-AL,Percent,%,201206,16.7
USA-AL,USA-AL,Percent,%,201205,25.9
USA-AL,USA-AL,Percent,%,201204,41.8
USA-AL,USA-AL,Percent,%,201203,40.6
USA-AL,USA-AL,Percent,%,201202,23.6
USA-AL,USA-AL,Percent,%,201201,36.1
USA-AL,USA-AL,Percent,%,201112,42.4
USA-AL,USA-AL,Percent,%,201111,25.6
USA-AL,USA-AL,Percent,%,201110,29.6
USA-AL,USA-AL,Percent,%,201109,15.1
USA-AL,USA-AL,Percent,%,201108,5.6
USA-AL,USA-AL,Percent,%,201107,10.9
USA-AL,USA-AL,Percent,%,201106,9.3
USA-AL,USA-AL,Percent,%,201105,3.0
