iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,-3850.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,-414.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,1740.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,5567.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,8141.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,13013.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,10811.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,9688.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,7881.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,7649.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,8028.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,8168.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,5205.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,5397.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,4680.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,7422.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,4873.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,4860.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,67.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,-1224.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,-2111.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,-3187.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,-644.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,-2385.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,1287.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,3679.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,-2688.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,-9174.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,-8491.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,-8285.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,-3988.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,-4547.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,-5054.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,-4357.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,-8113.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,-9621.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,-13232.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,-11342.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,-3566.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,-4580.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,-3657.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,-1919.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,-1882.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,-504.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,-230.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,-1218.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,484.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,1764.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,3508.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,3216.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,-1825.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,1886.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,943.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,-4010.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,-2191.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,-997.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,3085.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,5305.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,9452.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,13039.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,13768.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,4615.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201512,4628.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201511,5725.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201510,4187.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201509,6998.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201508,5342.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201507,5907.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201506,4974.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201505,2132.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201504,1558.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201503,658.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201502,-456.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201501,4748.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201412,3074.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201411,-900.0
