iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,13586.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,20491.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,23082.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,25613.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,25085.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,26521.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,23261.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,23917.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,24101.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,23989.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,23320.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,18919.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,17436.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,20905.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,21342.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,20047.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,16944.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,13507.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,12450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,14229.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,16220.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,16339.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,15292.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,10751.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,12231.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,15508.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,16662.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,12625.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,12071.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,8647.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,12383.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,15453.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,18331.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,19526.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,15936.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,13135.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,10944.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,11829.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,19351.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,21799.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,20562.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,16932.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,16371.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,20000.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,23385.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,23883.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,24049.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,22756.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,24176.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,23171.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,22917.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,26379.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,24219.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,18851.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,18254.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,20504.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,23615.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,25101.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,23565.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,20992.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,20669.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,19955.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201512,24742.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201511,24493.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201510,23276.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201509,22861.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201508,20444.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201507,21501.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201506,20530.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201505,19796.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201504,14112.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201503,7953.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201502,6900.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201501,15340.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201412,20114.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201411,18768.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201410,19089.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201409,15862.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201408,15102.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201407,15594.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201406,15556.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201405,17664.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201404,12555.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201403,7295.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201402,7356.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201401,10592.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201312,17040.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201311,19668.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201310,20334.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201309,21262.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201308,19968.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201307,20607.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201306,20110.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201305,20908.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201304,20405.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201303,18524.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201302,19298.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201301,21231.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201212,22052.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201211,21843.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201210,23105.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201209,18409.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201208,20003.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201207,21507.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201206,21125.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201205,19910.0
