iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,-492939
USA,USA,Million Cubic Feet,MMcf,2018,-288232
USA,USA,Million Cubic Feet,MMcf,2017,-413636
USA,USA,Million Cubic Feet,MMcf,2016,-286181
USA,USA,Million Cubic Feet,MMcf,2015,-324471
USA,USA,Million Cubic Feet,MMcf,2014,-310301
USA,USA,Million Cubic Feet,MMcf,2013,-15729
USA,USA,Million Cubic Feet,MMcf,2012,-123053
USA,USA,Million Cubic Feet,MMcf,2011,-130108
USA,USA,Million Cubic Feet,MMcf,2010,124358
USA,USA,Million Cubic Feet,MMcf,2009,-89392
USA,USA,Million Cubic Feet,MMcf,2008,33472
USA,USA,Million Cubic Feet,MMcf,2007,-196323
USA,USA,Million Cubic Feet,MMcf,2006,61404
USA,USA,Million Cubic Feet,MMcf,2005,134293
USA,USA,Million Cubic Feet,MMcf,2004,356956
USA,USA,Million Cubic Feet,MMcf,2003,-38495
USA,USA,Million Cubic Feet,MMcf,2002,-13339
USA,USA,Million Cubic Feet,MMcf,2001,134346
USA,USA,Million Cubic Feet,MMcf,2000,-240342
USA,USA,Million Cubic Feet,MMcf,1999,-111218
USA,USA,Million Cubic Feet,MMcf,1998,634809
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,52534
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,34533
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,26227
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,23642
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,23182
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,20531
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,22590
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,22663
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,17185
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,10021
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,-1355
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,6947
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,11210
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,14529
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,38770
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,29563
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,23492
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,53974
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,39422
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,73225
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,61869
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,74294
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,60804
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,-76769
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,-94265
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,-94749
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,-137480
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,-127357
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,-147835
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,-157668
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,-162226
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,-55703
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,-63751
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,-25228
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,1335
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,77309
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,37074
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,131036
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,36471
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,32646
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,34223
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,23279
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,50719
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,62874
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,-27888
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,-68207
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,-7258
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,-4788
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,-18574
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,-24667
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,-15041
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,-17533
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,-16872
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,-16701
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,-685
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,9425
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,18740
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,-1962
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,-3315
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,-70679
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,-10490
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,-7246
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,-1527
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,18786
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,4270
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,-32149
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,3051
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,-16376
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,-20955
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,-37963
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,-40844
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,-19505
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,7413
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,-3418
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,-2926
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,-1351
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,-13246
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,-18162
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,-20750
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,-15825
