iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,-12793
USA,USA,Million Cubic Feet,MMcf,202101,-9262
USA,USA,Million Cubic Feet,MMcf,202012,-18041
USA,USA,Million Cubic Feet,MMcf,202011,-5618
USA,USA,Million Cubic Feet,MMcf,202010,-64297
USA,USA,Million Cubic Feet,MMcf,202009,30346
USA,USA,Million Cubic Feet,MMcf,202008,-21331
USA,USA,Million Cubic Feet,MMcf,202007,4154
USA,USA,Million Cubic Feet,MMcf,202006,-11507
USA,USA,Million Cubic Feet,MMcf,202005,1295
USA,USA,Million Cubic Feet,MMcf,202004,-12064
USA,USA,Million Cubic Feet,MMcf,202003,6537
USA,USA,Million Cubic Feet,MMcf,202002,-39794
USA,USA,Million Cubic Feet,MMcf,202001,20260
USA,USA,Million Cubic Feet,MMcf,201912,-72775
USA,USA,Million Cubic Feet,MMcf,201911,-70142
USA,USA,Million Cubic Feet,MMcf,201910,-75147
USA,USA,Million Cubic Feet,MMcf,201909,-2441
USA,USA,Million Cubic Feet,MMcf,201908,-35339
USA,USA,Million Cubic Feet,MMcf,201907,-31000
USA,USA,Million Cubic Feet,MMcf,201906,-36261
USA,USA,Million Cubic Feet,MMcf,201905,-66747
USA,USA,Million Cubic Feet,MMcf,201904,3702
USA,USA,Million Cubic Feet,MMcf,201903,-43269
USA,USA,Million Cubic Feet,MMcf,201902,-3655
USA,USA,Million Cubic Feet,MMcf,201901,-24577
USA,USA,Million Cubic Feet,MMcf,201812,-3428
USA,USA,Million Cubic Feet,MMcf,201811,-74890
USA,USA,Million Cubic Feet,MMcf,201810,-69668
USA,USA,Million Cubic Feet,MMcf,201809,-37007
USA,USA,Million Cubic Feet,MMcf,201808,-36085
USA,USA,Million Cubic Feet,MMcf,201807,-11836
USA,USA,Million Cubic Feet,MMcf,201806,-27325
USA,USA,Million Cubic Feet,MMcf,201805,-18222
USA,USA,Million Cubic Feet,MMcf,201804,-16857
USA,USA,Million Cubic Feet,MMcf,201803,-1968
USA,USA,Million Cubic Feet,MMcf,201802,16027
USA,USA,Million Cubic Feet,MMcf,201801,-18696
USA,USA,Million Cubic Feet,MMcf,201712,-93236
USA,USA,Million Cubic Feet,MMcf,201711,-84079
USA,USA,Million Cubic Feet,MMcf,201710,-79890
USA,USA,Million Cubic Feet,MMcf,201709,-22009
USA,USA,Million Cubic Feet,MMcf,201708,-26329
USA,USA,Million Cubic Feet,MMcf,201707,-27520
USA,USA,Million Cubic Feet,MMcf,201706,-13317
USA,USA,Million Cubic Feet,MMcf,201705,-32170
USA,USA,Million Cubic Feet,MMcf,201704,-30942
USA,USA,Million Cubic Feet,MMcf,201703,-39049
USA,USA,Million Cubic Feet,MMcf,201702,39072
USA,USA,Million Cubic Feet,MMcf,201701,12150
USA,USA,Million Cubic Feet,MMcf,201612,-63412
USA,USA,Million Cubic Feet,MMcf,201611,-47567
USA,USA,Million Cubic Feet,MMcf,201610,-32320
USA,USA,Million Cubic Feet,MMcf,201609,25089
USA,USA,Million Cubic Feet,MMcf,201608,47777
USA,USA,Million Cubic Feet,MMcf,201607,-11234
USA,USA,Million Cubic Feet,MMcf,201606,888
USA,USA,Million Cubic Feet,MMcf,201605,-21156
USA,USA,Million Cubic Feet,MMcf,201604,-25042
USA,USA,Million Cubic Feet,MMcf,201603,-33717
USA,USA,Million Cubic Feet,MMcf,201602,-16015
USA,USA,Million Cubic Feet,MMcf,201601,-39772
USA,USA,Million Cubic Feet,MMcf,201512,-44988
USA,USA,Million Cubic Feet,MMcf,201511,-51118
USA,USA,Million Cubic Feet,MMcf,201510,-46727
USA,USA,Million Cubic Feet,MMcf,201509,-11321
USA,USA,Million Cubic Feet,MMcf,201508,-6684
USA,USA,Million Cubic Feet,MMcf,201507,-18562
USA,USA,Million Cubic Feet,MMcf,201506,-21485
USA,USA,Million Cubic Feet,MMcf,201505,-7645
USA,USA,Million Cubic Feet,MMcf,201504,1328
USA,USA,Million Cubic Feet,MMcf,201503,-5961
USA,USA,Million Cubic Feet,MMcf,201502,-12465
USA,USA,Million Cubic Feet,MMcf,201501,-42280
USA,USA,Million Cubic Feet,MMcf,201412,-7194
USA,USA,Million Cubic Feet,MMcf,201411,-101640
USA,USA,Million Cubic Feet,MMcf,201410,-55033
USA,USA,Million Cubic Feet,MMcf,201409,-18067
USA,USA,Million Cubic Feet,MMcf,201408,-25567
USA,USA,Million Cubic Feet,MMcf,201407,-21791
USA,USA,Million Cubic Feet,MMcf,201406,15917
USA,USA,Million Cubic Feet,MMcf,201405,26056
USA,USA,Million Cubic Feet,MMcf,201404,-14180
USA,USA,Million Cubic Feet,MMcf,201403,-29626
USA,USA,Million Cubic Feet,MMcf,201402,-29277
USA,USA,Million Cubic Feet,MMcf,201401,-23090
USA,USA,Million Cubic Feet,MMcf,201312,-27239
USA,USA,Million Cubic Feet,MMcf,201311,-38344
USA,USA,Million Cubic Feet,MMcf,201310,-51249
USA,USA,Million Cubic Feet,MMcf,201309,-1099
USA,USA,Million Cubic Feet,MMcf,201308,19274
USA,USA,Million Cubic Feet,MMcf,201307,14762
USA,USA,Million Cubic Feet,MMcf,201306,40558
USA,USA,Million Cubic Feet,MMcf,201305,39351
USA,USA,Million Cubic Feet,MMcf,201304,25773
USA,USA,Million Cubic Feet,MMcf,201303,6743
USA,USA,Million Cubic Feet,MMcf,201302,13831
USA,USA,Million Cubic Feet,MMcf,201301,-4562
USA,USA,Million Cubic Feet,MMcf,201212,-32739
USA,USA,Million Cubic Feet,MMcf,201211,-56085
USA,USA,Million Cubic Feet,MMcf,201210,-33521
USA,USA,Million Cubic Feet,MMcf,201209,-14607
USA,USA,Million Cubic Feet,MMcf,201208,-14486
USA,USA,Million Cubic Feet,MMcf,201207,-16321
USA,USA,Million Cubic Feet,MMcf,201206,25760
USA,USA,Million Cubic Feet,MMcf,201205,14570
USA,USA,Million Cubic Feet,MMcf,201204,25381
USA,USA,Million Cubic Feet,MMcf,201203,22483
USA,USA,Million Cubic Feet,MMcf,201202,12447
USA,USA,Million Cubic Feet,MMcf,201201,783
USA,USA,Million Cubic Feet,MMcf,201112,-51106
USA,USA,Million Cubic Feet,MMcf,201111,-32278
USA,USA,Million Cubic Feet,MMcf,201110,-61240
USA,USA,Million Cubic Feet,MMcf,201109,36333
USA,USA,Million Cubic Feet,MMcf,201108,7289
USA,USA,Million Cubic Feet,MMcf,201107,16744
USA,USA,Million Cubic Feet,MMcf,201106,-11184
USA,USA,Million Cubic Feet,MMcf,201105,-6536
USA,USA,Million Cubic Feet,MMcf,201104,16574
USA,USA,Million Cubic Feet,MMcf,201103,-4308
USA,USA,Million Cubic Feet,MMcf,201102,20482
USA,USA,Million Cubic Feet,MMcf,201101,-24370
USA,USA,Million Cubic Feet,MMcf,201012,-72897
USA,USA,Million Cubic Feet,MMcf,201011,-61459
USA,USA,Million Cubic Feet,MMcf,201010,-42314
USA,USA,Million Cubic Feet,MMcf,201009,21112
USA,USA,Million Cubic Feet,MMcf,201008,15600
USA,USA,Million Cubic Feet,MMcf,201007,2437
USA,USA,Million Cubic Feet,MMcf,201006,61216
USA,USA,Million Cubic Feet,MMcf,201005,18856
USA,USA,Million Cubic Feet,MMcf,201004,101633
USA,USA,Million Cubic Feet,MMcf,201003,108642
USA,USA,Million Cubic Feet,MMcf,201002,8865
USA,USA,Million Cubic Feet,MMcf,201001,-46217
USA,USA,Million Cubic Feet,MMcf,200912,-173213
USA,USA,Million Cubic Feet,MMcf,200911,-66254
USA,USA,Million Cubic Feet,MMcf,200910,-91760
USA,USA,Million Cubic Feet,MMcf,200909,-4624
USA,USA,Million Cubic Feet,MMcf,200908,-1175
USA,USA,Million Cubic Feet,MMcf,200907,16818
USA,USA,Million Cubic Feet,MMcf,200906,-6991
USA,USA,Million Cubic Feet,MMcf,200905,29910
USA,USA,Million Cubic Feet,MMcf,200904,51773
USA,USA,Million Cubic Feet,MMcf,200903,59013
USA,USA,Million Cubic Feet,MMcf,200902,103958
USA,USA,Million Cubic Feet,MMcf,200901,-20885
USA,USA,Million Cubic Feet,MMcf,200812,-131988
USA,USA,Million Cubic Feet,MMcf,200811,-105868
USA,USA,Million Cubic Feet,MMcf,200810,-50891
USA,USA,Million Cubic Feet,MMcf,200809,16098
USA,USA,Million Cubic Feet,MMcf,200808,29412
USA,USA,Million Cubic Feet,MMcf,200807,23378
USA,USA,Million Cubic Feet,MMcf,200806,41727
USA,USA,Million Cubic Feet,MMcf,200805,38421
USA,USA,Million Cubic Feet,MMcf,200804,104609
USA,USA,Million Cubic Feet,MMcf,200803,58678
USA,USA,Million Cubic Feet,MMcf,200802,54266
USA,USA,Million Cubic Feet,MMcf,200801,-75438
USA,USA,Million Cubic Feet,MMcf,200712,-174784
USA,USA,Million Cubic Feet,MMcf,200711,-185147
USA,USA,Million Cubic Feet,MMcf,200710,-51690
USA,USA,Million Cubic Feet,MMcf,200709,-3493
USA,USA,Million Cubic Feet,MMcf,200708,24484
USA,USA,Million Cubic Feet,MMcf,200707,3345
USA,USA,Million Cubic Feet,MMcf,200706,34036
USA,USA,Million Cubic Feet,MMcf,200705,63360
USA,USA,Million Cubic Feet,MMcf,200704,42198
USA,USA,Million Cubic Feet,MMcf,200703,118085
USA,USA,Million Cubic Feet,MMcf,200702,54971
USA,USA,Million Cubic Feet,MMcf,200701,-127938
USA,USA,Million Cubic Feet,MMcf,200612,-152624
USA,USA,Million Cubic Feet,MMcf,200611,-100857
USA,USA,Million Cubic Feet,MMcf,200610,-98818
USA,USA,Million Cubic Feet,MMcf,200609,-2213
USA,USA,Million Cubic Feet,MMcf,200608,50867
USA,USA,Million Cubic Feet,MMcf,200607,33549
USA,USA,Million Cubic Feet,MMcf,200606,41197
USA,USA,Million Cubic Feet,MMcf,200605,52653
USA,USA,Million Cubic Feet,MMcf,200604,152253
USA,USA,Million Cubic Feet,MMcf,200603,80391
USA,USA,Million Cubic Feet,MMcf,200602,-1606
USA,USA,Million Cubic Feet,MMcf,200601,48638
USA,USA,Million Cubic Feet,MMcf,200512,-126688
USA,USA,Million Cubic Feet,MMcf,200511,-113596
USA,USA,Million Cubic Feet,MMcf,200510,-37020
USA,USA,Million Cubic Feet,MMcf,200509,59149
USA,USA,Million Cubic Feet,MMcf,200508,66272
USA,USA,Million Cubic Feet,MMcf,200507,61979
USA,USA,Million Cubic Feet,MMcf,200506,57514
USA,USA,Million Cubic Feet,MMcf,200505,60083
USA,USA,Million Cubic Feet,MMcf,200504,131451
USA,USA,Million Cubic Feet,MMcf,200503,14442
USA,USA,Million Cubic Feet,MMcf,200502,103738
USA,USA,Million Cubic Feet,MMcf,200501,-41225
USA,USA,Million Cubic Feet,MMcf,200412,-141694
USA,USA,Million Cubic Feet,MMcf,200411,-78965
USA,USA,Million Cubic Feet,MMcf,200410,-13466
USA,USA,Million Cubic Feet,MMcf,200409,62797
USA,USA,Million Cubic Feet,MMcf,200408,60432
USA,USA,Million Cubic Feet,MMcf,200407,58237
USA,USA,Million Cubic Feet,MMcf,200406,71221
USA,USA,Million Cubic Feet,MMcf,200405,116388
USA,USA,Million Cubic Feet,MMcf,200404,132567
USA,USA,Million Cubic Feet,MMcf,200403,125684
USA,USA,Million Cubic Feet,MMcf,200402,134281
USA,USA,Million Cubic Feet,MMcf,200401,-66341
USA,USA,Million Cubic Feet,MMcf,200312,-117899
USA,USA,Million Cubic Feet,MMcf,200311,-135623
USA,USA,Million Cubic Feet,MMcf,200310,-49115
USA,USA,Million Cubic Feet,MMcf,200309,11671
USA,USA,Million Cubic Feet,MMcf,200308,57301
USA,USA,Million Cubic Feet,MMcf,200307,80113
USA,USA,Million Cubic Feet,MMcf,200306,16325
USA,USA,Million Cubic Feet,MMcf,200305,29671
USA,USA,Million Cubic Feet,MMcf,200304,42839
USA,USA,Million Cubic Feet,MMcf,200303,117834
USA,USA,Million Cubic Feet,MMcf,200302,76412
USA,USA,Million Cubic Feet,MMcf,200301,-85911
USA,USA,Million Cubic Feet,MMcf,200212,-128599
USA,USA,Million Cubic Feet,MMcf,200211,-126334
USA,USA,Million Cubic Feet,MMcf,200210,-124023
USA,USA,Million Cubic Feet,MMcf,200209,7788
USA,USA,Million Cubic Feet,MMcf,200208,49349
USA,USA,Million Cubic Feet,MMcf,200207,54263
USA,USA,Million Cubic Feet,MMcf,200206,94698
USA,USA,Million Cubic Feet,MMcf,200205,28047
USA,USA,Million Cubic Feet,MMcf,200204,164421
USA,USA,Million Cubic Feet,MMcf,200203,11261
USA,USA,Million Cubic Feet,MMcf,200202,38079
USA,USA,Million Cubic Feet,MMcf,200201,-4043
USA,USA,Million Cubic Feet,MMcf,200112,-161019
