iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,4839393
USA,USA,Million Cubic Feet,MMcf,2018,3632704
USA,USA,Million Cubic Feet,MMcf,2017,3153931
USA,USA,Million Cubic Feet,MMcf,2016,2339998
USA,USA,Million Cubic Feet,MMcf,2015,1788675
USA,USA,Million Cubic Feet,MMcf,2014,1549405
USA,USA,Million Cubic Feet,MMcf,2013,1613727
USA,USA,Million Cubic Feet,MMcf,2012,1622167
USA,USA,Million Cubic Feet,MMcf,2011,1579881
USA,USA,Million Cubic Feet,MMcf,2010,1462073
USA,USA,Million Cubic Feet,MMcf,2009,1381276
USA,USA,Million Cubic Feet,MMcf,2008,1375317
USA,USA,Million Cubic Feet,MMcf,2007,1284392
USA,USA,Million Cubic Feet,MMcf,2006,1210815
USA,USA,Million Cubic Feet,MMcf,2005,1187746
USA,USA,Million Cubic Feet,MMcf,2004,1353042
USA,USA,Million Cubic Feet,MMcf,2003,1328187
USA,USA,Million Cubic Feet,MMcf,2002,1046696
USA,USA,Million Cubic Feet,MMcf,2001,948149
USA,USA,Million Cubic Feet,MMcf,2000,760281
USA,USA,Million Cubic Feet,MMcf,1999,657959
USA,USA,Million Cubic Feet,MMcf,1998,618468
USA,USA,Million Cubic Feet,MMcf,1997,673625
USA,USA,Million Cubic Feet,MMcf,1996,689725
USA,USA,Million Cubic Feet,MMcf,1995,646600
USA,USA,Million Cubic Feet,MMcf,1994,634238
USA,USA,Million Cubic Feet,MMcf,1993,464276
USA,USA,Million Cubic Feet,MMcf,1992,702442
USA,USA,Million Cubic Feet,MMcf,1991,491832
USA,USA,Million Cubic Feet,MMcf,1990,441253
USA,USA,Million Cubic Feet,MMcf,1989,453682
USA,USA,Million Cubic Feet,MMcf,1988,426988
USA,USA,Million Cubic Feet,MMcf,1987,374464
USA,USA,Million Cubic Feet,MMcf,1986,389030
USA,USA,Million Cubic Feet,MMcf,1985,325376
USA,USA,Million Cubic Feet,MMcf,1984,341489
USA,USA,Million Cubic Feet,MMcf,1983,291393
USA,USA,Million Cubic Feet,MMcf,1982,321611
USA,USA,Million Cubic Feet,MMcf,1981,364724
USA,USA,Million Cubic Feet,MMcf,1980,330080
USA,USA,Million Cubic Feet,MMcf,1979,55673
USA,USA,Million Cubic Feet,MMcf,1978,52532
USA,USA,Million Cubic Feet,MMcf,1977,55626
USA,USA,Million Cubic Feet,MMcf,1976,64711
USA,USA,Million Cubic Feet,MMcf,1975,72675
USA,USA,Million Cubic Feet,MMcf,1974,76789
USA,USA,Million Cubic Feet,MMcf,1973,77169
USA,USA,Million Cubic Feet,MMcf,1972,78013
USA,USA,Million Cubic Feet,MMcf,1971,80212
USA,USA,Million Cubic Feet,MMcf,1970,69813
USA,USA,Million Cubic Feet,MMcf,1969,51304
USA,USA,Million Cubic Feet,MMcf,1968,93745
USA,USA,Million Cubic Feet,MMcf,1967,81614
USA,USA,Million Cubic Feet,MMcf,1966,24639
USA,USA,Million Cubic Feet,MMcf,1965,26132
USA,USA,Million Cubic Feet,MMcf,1964,19603
USA,USA,Million Cubic Feet,MMcf,1963,16957
USA,USA,Million Cubic Feet,MMcf,1962,15814
USA,USA,Million Cubic Feet,MMcf,1961,10747
USA,USA,Million Cubic Feet,MMcf,1960,11332
USA,USA,Million Cubic Feet,MMcf,1959,18413
USA,USA,Million Cubic Feet,MMcf,1958,38719
USA,USA,Million Cubic Feet,MMcf,1957,41655
USA,USA,Million Cubic Feet,MMcf,1956,35963
USA,USA,Million Cubic Feet,MMcf,1955,31029
USA,USA,Million Cubic Feet,MMcf,1954,28726
USA,USA,Million Cubic Feet,MMcf,1953,28322
USA,USA,Million Cubic Feet,MMcf,1952,27456
USA,USA,Million Cubic Feet,MMcf,1951,24163
USA,USA,Million Cubic Feet,MMcf,1950,25727
USA,USA,Million Cubic Feet,MMcf,1949,20054
USA,USA,Million Cubic Feet,MMcf,1948,18704
USA,USA,Million Cubic Feet,MMcf,1947,18149
USA,USA,Million Cubic Feet,MMcf,1946,17675
USA,USA,Million Cubic Feet,MMcf,1945,18207
USA,USA,Million Cubic Feet,MMcf,1944,14576
USA,USA,Million Cubic Feet,MMcf,1943,11210
USA,USA,Million Cubic Feet,MMcf,1942,8702
USA,USA,Million Cubic Feet,MMcf,1941,7466
USA,USA,Million Cubic Feet,MMcf,1940,5563
USA,USA,Million Cubic Feet,MMcf,1939,3122
USA,USA,Million Cubic Feet,MMcf,1938,1837
USA,USA,Million Cubic Feet,MMcf,1937,4868
USA,USA,Million Cubic Feet,MMcf,1936,7436
USA,USA,Million Cubic Feet,MMcf,1935,6800
USA,USA,Million Cubic Feet,MMcf,1934,5801
USA,USA,Million Cubic Feet,MMcf,1933,2158
USA,USA,Million Cubic Feet,MMcf,1932,1693
USA,USA,Million Cubic Feet,MMcf,1931,2231
