iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,2417461.0
USA,USA,Million Cubic Feet,MMcf,202101,2861361.0
USA,USA,Million Cubic Feet,MMcf,202012,2868681.0
USA,USA,Million Cubic Feet,MMcf,202011,2759638.0
USA,USA,Million Cubic Feet,MMcf,202010,2757113.0
USA,USA,Million Cubic Feet,MMcf,202009,2683947.0
USA,USA,Million Cubic Feet,MMcf,202008,2797271.0
USA,USA,Million Cubic Feet,MMcf,202007,2782750.0
USA,USA,Million Cubic Feet,MMcf,202006,2650551.0
USA,USA,Million Cubic Feet,MMcf,202005,2721712.0
USA,USA,Million Cubic Feet,MMcf,202004,2788327.0
USA,USA,Million Cubic Feet,MMcf,202003,2931241.0
USA,USA,Million Cubic Feet,MMcf,202002,2746681.0
USA,USA,Million Cubic Feet,MMcf,202001,2947865.0
USA,USA,Million Cubic Feet,MMcf,201912,3006929.0
USA,USA,Million Cubic Feet,MMcf,201911,2901937.0
USA,USA,Million Cubic Feet,MMcf,201910,2976723.0
USA,USA,Million Cubic Feet,MMcf,201909,2840561.0
USA,USA,Million Cubic Feet,MMcf,201908,2938973.0
USA,USA,Million Cubic Feet,MMcf,201907,2868627.0
USA,USA,Million Cubic Feet,MMcf,201906,2761431.0
USA,USA,Million Cubic Feet,MMcf,201905,2842299.0
USA,USA,Million Cubic Feet,MMcf,201904,2729033.0
USA,USA,Million Cubic Feet,MMcf,201903,2808730.0
USA,USA,Million Cubic Feet,MMcf,201902,2519756.0
USA,USA,Million Cubic Feet,MMcf,201901,2772558.0
USA,USA,Million Cubic Feet,MMcf,201812,2774454.0
USA,USA,Million Cubic Feet,MMcf,201811,2698177.0
USA,USA,Million Cubic Feet,MMcf,201810,2740273.0
USA,USA,Million Cubic Feet,MMcf,201809,2618670.0
USA,USA,Million Cubic Feet,MMcf,201808,2662285.0
USA,USA,Million Cubic Feet,MMcf,201807,2609653.0
USA,USA,Million Cubic Feet,MMcf,201806,2476154.0
USA,USA,Million Cubic Feet,MMcf,201805,2545810.0
USA,USA,Million Cubic Feet,MMcf,201804,2435681.0
USA,USA,Million Cubic Feet,MMcf,201803,2521151.0
USA,USA,Million Cubic Feet,MMcf,201802,2250905.0
USA,USA,Million Cubic Feet,MMcf,201801,2441063.0
USA,USA,Million Cubic Feet,MMcf,201712,2491914.0
USA,USA,Million Cubic Feet,MMcf,201711,2392537.0
USA,USA,Million Cubic Feet,MMcf,201710,2397665.0
USA,USA,Million Cubic Feet,MMcf,201709,2279811.0
USA,USA,Million Cubic Feet,MMcf,201708,2315312.0
USA,USA,Million Cubic Feet,MMcf,201707,2316614.0
USA,USA,Million Cubic Feet,MMcf,201706,2219000.0
USA,USA,Million Cubic Feet,MMcf,201705,2270953.0
USA,USA,Million Cubic Feet,MMcf,201704,2197733.0
USA,USA,Million Cubic Feet,MMcf,201703,2268204.0
USA,USA,Million Cubic Feet,MMcf,201702,2003393.0
USA,USA,Million Cubic Feet,MMcf,201701,2187447.0
USA,USA,Million Cubic Feet,MMcf,201612,2207475.0
USA,USA,Million Cubic Feet,MMcf,201611,2160600.0
USA,USA,Million Cubic Feet,MMcf,201610,2214145.0
USA,USA,Million Cubic Feet,MMcf,201609,2151150.0
USA,USA,Million Cubic Feet,MMcf,201608,2237678.0
USA,USA,Million Cubic Feet,MMcf,201607,2255564.0
USA,USA,Million Cubic Feet,MMcf,201606,2165089.0
USA,USA,Million Cubic Feet,MMcf,201605,2258898.0
USA,USA,Million Cubic Feet,MMcf,201604,2211218.0
USA,USA,Million Cubic Feet,MMcf,201603,2286521.0
USA,USA,Million Cubic Feet,MMcf,201602,2163435.0
USA,USA,Million Cubic Feet,MMcf,201601,2280340.0
USA,USA,Million Cubic Feet,MMcf,201512,2290495.0
USA,USA,Million Cubic Feet,MMcf,201511,2216479.0
USA,USA,Million Cubic Feet,MMcf,201510,2300017.0
USA,USA,Million Cubic Feet,MMcf,201509,2242155.0
USA,USA,Million Cubic Feet,MMcf,201508,2302361.0
USA,USA,Million Cubic Feet,MMcf,201507,2299745.0
USA,USA,Million Cubic Feet,MMcf,201506,2218529.0
USA,USA,Million Cubic Feet,MMcf,201505,2297826.0
USA,USA,Million Cubic Feet,MMcf,201504,2256179.0
USA,USA,Million Cubic Feet,MMcf,201503,2298208.0
USA,USA,Million Cubic Feet,MMcf,201502,2066675.0
USA,USA,Million Cubic Feet,MMcf,201501,2276791.0
