iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,25026
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,33963
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,35430
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,27737
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,27191
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,33004
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,34286
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,17966
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,21195
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,22766
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,23026
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,21020
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,31208
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,20009
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,20604
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,15572
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,12734
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,10190
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,3785
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,3913
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,2022
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,2646
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,2220
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,2022
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,3349
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,1375
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,694
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,434
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,410
USA-AL,USA-AL,Million Cubic Feet,MMcf,1973,1070
USA-AL,USA-AL,Million Cubic Feet,MMcf,1972,568
USA-AL,USA-AL,Million Cubic Feet,MMcf,1971,992
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,1153
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,577
USA-AL,USA-AL,Million Cubic Feet,MMcf,1968,536
USA-AR,USA-AR,Million Cubic Feet,MMcf,2020,5453
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,5012
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,5505
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,4560
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,4477
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,3318
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,3398
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,3112
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,2848
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,4628
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,4672
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,4108
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,5023
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,5695
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,4789
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,4394
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,4457
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,5757
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,3210
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,5806
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,3943
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,5784
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,6951
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,6665
