iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,67386740
USA,USA,Million Cubic Feet,MMcf,2018,68412554
USA,USA,Million Cubic Feet,MMcf,2017,62226822
USA,USA,Million Cubic Feet,MMcf,2016,59691076
USA,USA,Million Cubic Feet,MMcf,2015,60547697
USA,USA,Million Cubic Feet,MMcf,2014,62505636
USA,USA,Million Cubic Feet,MMcf,2013,64110541
USA,USA,Million Cubic Feet,MMcf,2012,70195570
USA,USA,Million Cubic Feet,MMcf,2011,74661629
USA,USA,Million Cubic Feet,MMcf,2010,74778078
USA,USA,Million Cubic Feet,MMcf,2009,72022602
USA,USA,Million Cubic Feet,MMcf,2008,70305954
USA,USA,Million Cubic Feet,MMcf,2007,66858134
USA,USA,Million Cubic Feet,MMcf,2006,61863323
USA,USA,Million Cubic Feet,MMcf,2005,63027775
USA,USA,Million Cubic Feet,MMcf,2004,64423388
USA,USA,Million Cubic Feet,MMcf,2003,65793961
USA,USA,Million Cubic Feet,MMcf,2002,63389468
USA,USA,Million Cubic Feet,MMcf,2001,65774849
USA,USA,Million Cubic Feet,MMcf,2000,58570289
USA,USA,Million Cubic Feet,MMcf,1999,57326720
USA,USA,Million Cubic Feet,MMcf,1998,55139674
USA,USA,Million Cubic Feet,MMcf,1997,61199549
USA,USA,Million Cubic Feet,MMcf,1996,62953877
USA,USA,Million Cubic Feet,MMcf,1995,61167051
USA,USA,Million Cubic Feet,MMcf,1994,57969941
USA,USA,Million Cubic Feet,MMcf,1993,52674053
USA,USA,Million Cubic Feet,MMcf,1992,52574795
USA,USA,Million Cubic Feet,MMcf,1991,49708414
USA,USA,Million Cubic Feet,MMcf,1990,51022894
USA,USA,Million Cubic Feet,MMcf,1989,50697415
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,3442685
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,3868493
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,3502274
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,3400219
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,3135805
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,2755405
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,2748740
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,3247526
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,3425792
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,3327743
