iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,2960074
USA,USA,Million Cubic Feet,MMcf,2018,2901988
USA,USA,Million Cubic Feet,MMcf,2017,3046886
USA,USA,Million Cubic Feet,MMcf,2016,3080691
USA,USA,Million Cubic Feet,MMcf,2015,2779821
USA,USA,Million Cubic Feet,MMcf,2014,2757351
USA,USA,Million Cubic Feet,MMcf,2013,2978196
USA,USA,Million Cubic Feet,MMcf,2012,3197843
USA,USA,Million Cubic Feet,MMcf,2011,3579433
USA,USA,Million Cubic Feet,MMcf,2010,4057157
USA,USA,Million Cubic Feet,MMcf,2009,4046150
USA,USA,Million Cubic Feet,MMcf,2008,4365088
USA,USA,Million Cubic Feet,MMcf,2007,5063271
USA,USA,Million Cubic Feet,MMcf,2006,4700734
USA,USA,Million Cubic Feet,MMcf,2005,4898150
USA,USA,Million Cubic Feet,MMcf,2004,4848076
USA,USA,Million Cubic Feet,MMcf,2003,4674127
USA,USA,Million Cubic Feet,MMcf,2002,4604165
USA,USA,Million Cubic Feet,MMcf,2001,4513702
USA,USA,Million Cubic Feet,MMcf,2000,4221546
USA,USA,Million Cubic Feet,MMcf,1999,4060604
USA,USA,Million Cubic Feet,MMcf,1998,3633638
USA,USA,Million Cubic Feet,MMcf,1997,3542173
USA,USA,Million Cubic Feet,MMcf,1996,3473745
USA,USA,Million Cubic Feet,MMcf,1995,3333530
USA,USA,Million Cubic Feet,MMcf,1994,3111599
USA,USA,Million Cubic Feet,MMcf,1993,2674207
USA,USA,Million Cubic Feet,MMcf,1992,2623667
USA,USA,Million Cubic Feet,MMcf,1991,2136174
USA,USA,Million Cubic Feet,MMcf,1990,1888660
USA,USA,Million Cubic Feet,MMcf,1989,1728333
USA,USA,Million Cubic Feet,MMcf,1988,1646579
USA,USA,Million Cubic Feet,MMcf,1987,1312612
USA,USA,Million Cubic Feet,MMcf,1986,1079508
USA,USA,Million Cubic Feet,MMcf,1985,1219463
USA,USA,Million Cubic Feet,MMcf,1984,1129705
USA,USA,Million Cubic Feet,MMcf,1983,1155993
USA,USA,Million Cubic Feet,MMcf,1982,1203052
USA,USA,Million Cubic Feet,MMcf,1981,1209493
USA,USA,Million Cubic Feet,MMcf,1980,1266116
USA,USA,Million Cubic Feet,MMcf,1979,1253383
USA,USA,Million Cubic Feet,MMcf,1978,965545
USA,USA,Million Cubic Feet,MMcf,1977,1011002
USA,USA,Million Cubic Feet,MMcf,1976,963768
USA,USA,Million Cubic Feet,MMcf,1975,953008
USA,USA,Million Cubic Feet,MMcf,1974,959284
USA,USA,Million Cubic Feet,MMcf,1973,1032901
USA,USA,Million Cubic Feet,MMcf,1972,1019496
USA,USA,Million Cubic Feet,MMcf,1971,934548
USA,USA,Million Cubic Feet,MMcf,1970,820780
USA,USA,Million Cubic Feet,MMcf,1969,726951
USA,USA,Million Cubic Feet,MMcf,1968,651885
USA,USA,Million Cubic Feet,MMcf,1967,564226
USA,USA,Million Cubic Feet,MMcf,1966,479780
USA,USA,Million Cubic Feet,MMcf,1965,456394
USA,USA,Million Cubic Feet,MMcf,1964,443326
USA,USA,Million Cubic Feet,MMcf,1963,406204
USA,USA,Million Cubic Feet,MMcf,1962,401534
USA,USA,Million Cubic Feet,MMcf,1961,218860
USA,USA,Million Cubic Feet,MMcf,1960,155646
USA,USA,Million Cubic Feet,MMcf,1959,133990
USA,USA,Million Cubic Feet,MMcf,1958,135797
USA,USA,Million Cubic Feet,MMcf,1957,37941
USA,USA,Million Cubic Feet,MMcf,1956,10380
USA,USA,Million Cubic Feet,MMcf,1955,10888
USA,USA,Million Cubic Feet,MMcf,1954,6847
USA,USA,Million Cubic Feet,MMcf,1953,9225
USA,USA,Million Cubic Feet,MMcf,1952,7807
USA,USA,Million Cubic Feet,MMcf,1951,0
USA,USA,Million Cubic Feet,MMcf,1950,0
USA,USA,Million Cubic Feet,MMcf,1949,0
USA,USA,Million Cubic Feet,MMcf,1948,0
USA,USA,Million Cubic Feet,MMcf,1947,0
USA,USA,Million Cubic Feet,MMcf,1946,0
USA,USA,Million Cubic Feet,MMcf,1945,0
USA,USA,Million Cubic Feet,MMcf,1944,0
USA,USA,Million Cubic Feet,MMcf,1943,0
USA,USA,Million Cubic Feet,MMcf,1942,0
USA,USA,Million Cubic Feet,MMcf,1941,0
USA,USA,Million Cubic Feet,MMcf,1940,0
USA,USA,Million Cubic Feet,MMcf,1939,131
USA,USA,Million Cubic Feet,MMcf,1938,372
USA,USA,Million Cubic Feet,MMcf,1937,289
USA,USA,Million Cubic Feet,MMcf,1936,152
USA,USA,Million Cubic Feet,MMcf,1935,106
USA,USA,Million Cubic Feet,MMcf,1934,68
USA,USA,Million Cubic Feet,MMcf,1933,83
USA,USA,Million Cubic Feet,MMcf,1932,38
USA,USA,Million Cubic Feet,MMcf,1931,44
USA,USA,Million Cubic Feet,MMcf,1930,21
USA-DE,USA-DE,Million Cubic Feet,MMcf,2019,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2018,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2017,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2016,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2015,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2014,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2013,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2012,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2011,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2010,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2009,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2008,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2007,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2006,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2005,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2004,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2003,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2002,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2001,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2000,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1999,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1998,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1997,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1996,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1995,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1994,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1993,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1992,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1991,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1990,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1989,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1988,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1987,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1986,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1985,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1984,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1983,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1982,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1981,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1980,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1979,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1978,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1977,224
USA-DE,USA-DE,Million Cubic Feet,MMcf,1976,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1975,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1974,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1973,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1972,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1971,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1970,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1969,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1968,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1967,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,2019,5648
USA-GA,USA-GA,Million Cubic Feet,MMcf,2018,14500
USA-GA,USA-GA,Million Cubic Feet,MMcf,2017,6514
USA-GA,USA-GA,Million Cubic Feet,MMcf,2016,8673
USA-GA,USA-GA,Million Cubic Feet,MMcf,2015,11786
USA-GA,USA-GA,Million Cubic Feet,MMcf,2014,7155
USA-GA,USA-GA,Million Cubic Feet,MMcf,2013,15575
USA-GA,USA-GA,Million Cubic Feet,MMcf,2012,59266
USA-GA,USA-GA,Million Cubic Feet,MMcf,2011,75641
USA-GA,USA-GA,Million Cubic Feet,MMcf,2010,106454
USA-GA,USA-GA,Million Cubic Feet,MMcf,2009,142244
USA-GA,USA-GA,Million Cubic Feet,MMcf,2008,135711
USA-GA,USA-GA,Million Cubic Feet,MMcf,2007,170243
USA-GA,USA-GA,Million Cubic Feet,MMcf,2006,146766
USA-GA,USA-GA,Million Cubic Feet,MMcf,2005,132062
USA-GA,USA-GA,Million Cubic Feet,MMcf,2004,105203
USA-GA,USA-GA,Million Cubic Feet,MMcf,2003,43927
USA-GA,USA-GA,Million Cubic Feet,MMcf,2002,16837
USA-GA,USA-GA,Million Cubic Feet,MMcf,2001,2563
USA-GA,USA-GA,Million Cubic Feet,MMcf,2000,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1999,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1998,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1997,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1996,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1995,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1994,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1993,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1992,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1991,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1990,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1989,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1988,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1987,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1986,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1985,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1984,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1983,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1982,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1981,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1980,24603
USA-GA,USA-GA,Million Cubic Feet,MMcf,1979,87729
USA-GA,USA-GA,Million Cubic Feet,MMcf,1978,22358
USA-GA,USA-GA,Million Cubic Feet,MMcf,1977,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1976,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1975,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1974,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1973,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1972,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1971,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1970,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1969,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1968,0
USA-GA,USA-GA,Million Cubic Feet,MMcf,1967,0
USA-ID,USA-ID,Million Cubic Feet,MMcf,2019,818374
USA-ID,USA-ID,Million Cubic Feet,MMcf,2018,822536
USA-ID,USA-ID,Million Cubic Feet,MMcf,2017,760451
USA-ID,USA-ID,Million Cubic Feet,MMcf,2016,728183
USA-ID,USA-ID,Million Cubic Feet,MMcf,2015,673531
USA-ID,USA-ID,Million Cubic Feet,MMcf,2014,608147
USA-ID,USA-ID,Million Cubic Feet,MMcf,2013,686449
USA-ID,USA-ID,Million Cubic Feet,MMcf,2012,634194
USA-ID,USA-ID,Million Cubic Feet,MMcf,2011,606099
USA-ID,USA-ID,Million Cubic Feet,MMcf,2010,708806
USA-ID,USA-ID,Million Cubic Feet,MMcf,2009,693892
USA-ID,USA-ID,Million Cubic Feet,MMcf,2008,688782
USA-ID,USA-ID,Million Cubic Feet,MMcf,2007,726365
USA-ID,USA-ID,Million Cubic Feet,MMcf,2006,690781
USA-ID,USA-ID,Million Cubic Feet,MMcf,2005,634982
USA-ID,USA-ID,Million Cubic Feet,MMcf,2004,708356
USA-ID,USA-ID,Million Cubic Feet,MMcf,2003,655746
USA-ID,USA-ID,Million Cubic Feet,MMcf,2002,759647
USA-ID,USA-ID,Million Cubic Feet,MMcf,2001,824248
USA-ID,USA-ID,Million Cubic Feet,MMcf,2000,830351
USA-ID,USA-ID,Million Cubic Feet,MMcf,1999,800345
USA-ID,USA-ID,Million Cubic Feet,MMcf,1998,879840
USA-ID,USA-ID,Million Cubic Feet,MMcf,1997,856503
USA-ID,USA-ID,Million Cubic Feet,MMcf,1996,842114
USA-ID,USA-ID,Million Cubic Feet,MMcf,1995,823478
USA-ID,USA-ID,Million Cubic Feet,MMcf,1994,723071
USA-ID,USA-ID,Million Cubic Feet,MMcf,1993,511727
USA-ID,USA-ID,Million Cubic Feet,MMcf,1992,496451
USA-ID,USA-ID,Million Cubic Feet,MMcf,1991,496967
USA-ID,USA-ID,Million Cubic Feet,MMcf,1990,514597
USA-ID,USA-ID,Million Cubic Feet,MMcf,1989,501477
USA-ID,USA-ID,Million Cubic Feet,MMcf,1988,503451
USA-ID,USA-ID,Million Cubic Feet,MMcf,1987,483547
USA-ID,USA-ID,Million Cubic Feet,MMcf,1986,348307
USA-ID,USA-ID,Million Cubic Feet,MMcf,1985,411380
USA-ID,USA-ID,Million Cubic Feet,MMcf,1984,299360
USA-ID,USA-ID,Million Cubic Feet,MMcf,1983,310811
USA-ID,USA-ID,Million Cubic Feet,MMcf,1982,338147
USA-ID,USA-ID,Million Cubic Feet,MMcf,1981,303936
USA-ID,USA-ID,Million Cubic Feet,MMcf,1980,352015
USA-ID,USA-ID,Million Cubic Feet,MMcf,1979,431334
USA-ID,USA-ID,Million Cubic Feet,MMcf,1978,384536
USA-ID,USA-ID,Million Cubic Feet,MMcf,1977,390095
USA-ID,USA-ID,Million Cubic Feet,MMcf,1976,440276
USA-ID,USA-ID,Million Cubic Feet,MMcf,1975,380232
USA-ID,USA-ID,Million Cubic Feet,MMcf,1974,405499
USA-ID,USA-ID,Million Cubic Feet,MMcf,1973,437857
USA-ID,USA-ID,Million Cubic Feet,MMcf,1972,434836
USA-ID,USA-ID,Million Cubic Feet,MMcf,1971,405219
USA-ID,USA-ID,Million Cubic Feet,MMcf,1970,353640
USA-ID,USA-ID,Million Cubic Feet,MMcf,1969,312096
USA-ID,USA-ID,Million Cubic Feet,MMcf,1968,291801
USA-ID,USA-ID,Million Cubic Feet,MMcf,1967,253707
USA-LA,USA-LA,Million Cubic Feet,MMcf,2019,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2018,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2017,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2016,0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2015,8911
USA-LA,USA-LA,Million Cubic Feet,MMcf,2014,5880
USA-LA,USA-LA,Million Cubic Feet,MMcf,2013,5750
USA-LA,USA-LA,Million Cubic Feet,MMcf,2012,20132
USA-LA,USA-LA,Million Cubic Feet,MMcf,2011,60554
USA-LA,USA-LA,Million Cubic Feet,MMcf,2010,90867
USA-LA,USA-LA,Million Cubic Feet,MMcf,2009,70099
USA-LA,USA-LA,Million Cubic Feet,MMcf,2008,18110
