iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,63619.0
USA,USA,Million Cubic Feet,MMcf,2019,61565.0
USA,USA,Million Cubic Feet,MMcf,2018,69343.0
USA,USA,Million Cubic Feet,MMcf,2017,65696.0
USA,USA,Million Cubic Feet,MMcf,2016,57188.0
USA,USA,Million Cubic Feet,MMcf,2015,58625.0
USA,USA,Million Cubic Feet,MMcf,2014,59642.0
USA,USA,Million Cubic Feet,MMcf,2013,54650.0
USA,USA,Million Cubic Feet,MMcf,2012,61366.0
USA,USA,Million Cubic Feet,MMcf,2011,60088.0
USA,USA,Million Cubic Feet,MMcf,2010,64575.0
USA,USA,Million Cubic Feet,MMcf,2009,65259.0
USA,USA,Million Cubic Feet,MMcf,2008,60889.0
USA,USA,Million Cubic Feet,MMcf,2007,63132.0
USA,USA,Million Cubic Feet,MMcf,2006,66058.0
USA,USA,Million Cubic Feet,MMcf,2005,63691.0
USA,USA,Million Cubic Feet,MMcf,2004,60365.0
USA,USA,Million Cubic Feet,MMcf,2003,67706.0
USA,USA,Million Cubic Feet,MMcf,2002,67980.0
USA,USA,Million Cubic Feet,MMcf,2001,86312.0
USA,USA,Million Cubic Feet,MMcf,2000,90000.0
USA,USA,Million Cubic Feet,MMcf,1999,98249.0
USA,USA,Million Cubic Feet,MMcf,1998,102189.0
USA,USA,Million Cubic Feet,MMcf,1997,103153.0
USA,USA,Million Cubic Feet,MMcf,1996,109455.0
USA,USA,Million Cubic Feet,MMcf,1995,110290.0
USA,USA,Million Cubic Feet,MMcf,1994,110826.0
USA,USA,Million Cubic Feet,MMcf,1993,118999.0
USA,USA,Million Cubic Feet,MMcf,1992,117919.0
USA,USA,Million Cubic Feet,MMcf,1991,112606.0
USA,USA,Million Cubic Feet,MMcf,1990,122806.0
USA,USA,Million Cubic Feet,MMcf,1989,106745.0
USA,USA,Million Cubic Feet,MMcf,1988,101134.0
USA,USA,Million Cubic Feet,MMcf,1987,101382.0
USA,USA,Million Cubic Feet,MMcf,1986,113189.0
USA,USA,Million Cubic Feet,MMcf,1985,126363.0
