iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,5701
USA,USA,Million Cubic Feet,MMcf,202101,5320
USA,USA,Million Cubic Feet,MMcf,202012,5761
USA,USA,Million Cubic Feet,MMcf,202011,5424
USA,USA,Million Cubic Feet,MMcf,202010,5133
USA,USA,Million Cubic Feet,MMcf,202009,4474
USA,USA,Million Cubic Feet,MMcf,202008,3720
USA,USA,Million Cubic Feet,MMcf,202007,5579
USA,USA,Million Cubic Feet,MMcf,202006,5182
USA,USA,Million Cubic Feet,MMcf,202005,4941
USA,USA,Million Cubic Feet,MMcf,202004,5727
USA,USA,Million Cubic Feet,MMcf,202003,5803
USA,USA,Million Cubic Feet,MMcf,202002,6199
USA,USA,Million Cubic Feet,MMcf,202001,5677
USA,USA,Million Cubic Feet,MMcf,201912,5450
USA,USA,Million Cubic Feet,MMcf,201911,5260
USA,USA,Million Cubic Feet,MMcf,201910,5395
USA,USA,Million Cubic Feet,MMcf,201909,5148
USA,USA,Million Cubic Feet,MMcf,201908,5327
USA,USA,Million Cubic Feet,MMcf,201907,5199
USA,USA,Million Cubic Feet,MMcf,201906,5005
USA,USA,Million Cubic Feet,MMcf,201905,5152
USA,USA,Million Cubic Feet,MMcf,201904,4946
USA,USA,Million Cubic Feet,MMcf,201903,5091
USA,USA,Million Cubic Feet,MMcf,201902,4567
USA,USA,Million Cubic Feet,MMcf,201901,5025
USA,USA,Million Cubic Feet,MMcf,201812,6252
USA,USA,Million Cubic Feet,MMcf,201811,6080
USA,USA,Million Cubic Feet,MMcf,201810,6175
USA,USA,Million Cubic Feet,MMcf,201809,5901
USA,USA,Million Cubic Feet,MMcf,201808,5999
USA,USA,Million Cubic Feet,MMcf,201807,5880
USA,USA,Million Cubic Feet,MMcf,201806,5579
USA,USA,Million Cubic Feet,MMcf,201805,5736
USA,USA,Million Cubic Feet,MMcf,201804,5488
USA,USA,Million Cubic Feet,MMcf,201803,5681
USA,USA,Million Cubic Feet,MMcf,201802,5072
USA,USA,Million Cubic Feet,MMcf,201801,5500
USA,USA,Million Cubic Feet,MMcf,201712,5913
USA,USA,Million Cubic Feet,MMcf,201711,5756
USA,USA,Million Cubic Feet,MMcf,201710,5769
USA,USA,Million Cubic Feet,MMcf,201709,5485
USA,USA,Million Cubic Feet,MMcf,201708,5570
USA,USA,Million Cubic Feet,MMcf,201707,5574
USA,USA,Million Cubic Feet,MMcf,201706,5339
USA,USA,Million Cubic Feet,MMcf,201705,5464
USA,USA,Million Cubic Feet,MMcf,201704,5288
USA,USA,Million Cubic Feet,MMcf,201703,5457
USA,USA,Million Cubic Feet,MMcf,201702,4820
USA,USA,Million Cubic Feet,MMcf,201701,5263
USA,USA,Million Cubic Feet,MMcf,201612,4747
USA,USA,Million Cubic Feet,MMcf,201611,4646
USA,USA,Million Cubic Feet,MMcf,201610,4762
USA,USA,Million Cubic Feet,MMcf,201609,4626
USA,USA,Million Cubic Feet,MMcf,201608,4812
USA,USA,Million Cubic Feet,MMcf,201607,4851
USA,USA,Million Cubic Feet,MMcf,201606,4656
USA,USA,Million Cubic Feet,MMcf,201605,4858
USA,USA,Million Cubic Feet,MMcf,201604,4755
USA,USA,Million Cubic Feet,MMcf,201603,4917
USA,USA,Million Cubic Feet,MMcf,201602,4653
USA,USA,Million Cubic Feet,MMcf,201601,4904
USA,USA,Million Cubic Feet,MMcf,201512,4961
USA,USA,Million Cubic Feet,MMcf,201511,4801
USA,USA,Million Cubic Feet,MMcf,201510,4982
USA,USA,Million Cubic Feet,MMcf,201509,4857
USA,USA,Million Cubic Feet,MMcf,201508,4987
USA,USA,Million Cubic Feet,MMcf,201507,4981
USA,USA,Million Cubic Feet,MMcf,201506,4805
