iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,23286
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,29283
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,38089
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,31307
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,28210
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,29187
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,28683
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,22968
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,23651
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,15408
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,16740
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,23298
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,26756
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,19868
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,12127
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,15356
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,13867
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,6025
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,3631
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,2414
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,2452
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,2482
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,1774
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,1860
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,2125
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,1448
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,55
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,532
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,621
USA-AL,USA-AL,Million Cubic Feet,MMcf,1973,516
USA-AL,USA-AL,Million Cubic Feet,MMcf,1972,439
USA-AL,USA-AL,Million Cubic Feet,MMcf,1971,809
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,587
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,435
USA-AL,USA-AL,Million Cubic Feet,MMcf,1968,509
USA-AR,USA-AR,Million Cubic Feet,MMcf,2020,5418
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,4942
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,4852
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,3931
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,2811
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,2272
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,3866
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,3964
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,2960
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,4409
