iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,8667.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,3479.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,3546.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,927.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,2836.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,675.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,2287.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,2023.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,2121.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,1655.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,671.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,627.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,3789.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,2127.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,1491.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,775.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,1902.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,1803.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,2924.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,4053.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,2140.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,1017.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,369.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,4087.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,4229.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,4494.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,2054.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,2659.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,1213.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,4931.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,3964.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,3925.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,2649.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,811.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,1036.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,1188.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,1687.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,11974.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,3878.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,1807.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,1571.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,2319.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,4351.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,4044.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,2397.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,2873.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,1573.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,2598.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,1406.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,2491.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,3979.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,308.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,702.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,1032.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,3220.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,3670.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,3062.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,1500.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,424.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,1898.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,2367.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,6047.0
