iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,10450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,10450.0
