iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,2502213
USA,USA,Million Cubic Feet,MMcf,2019,2688436
USA,USA,Million Cubic Feet,MMcf,2018,2812036
USA,USA,Million Cubic Feet,MMcf,2017,2954870
USA,USA,Million Cubic Feet,MMcf,2016,2917831
USA,USA,Million Cubic Feet,MMcf,2015,2626291
USA,USA,Million Cubic Feet,MMcf,2014,2635801
USA,USA,Million Cubic Feet,MMcf,2013,2786496
USA,USA,Million Cubic Feet,MMcf,2012,2963140
USA,USA,Million Cubic Feet,MMcf,2011,3119753
USA,USA,Million Cubic Feet,MMcf,2010,3309747
USA,USA,Million Cubic Feet,MMcf,2009,3299402
USA,USA,Million Cubic Feet,MMcf,2008,3632403
USA,USA,Million Cubic Feet,MMcf,2007,3836770
USA,USA,Million Cubic Feet,MMcf,2006,3602744
USA,USA,Million Cubic Feet,MMcf,2005,3709774
USA,USA,Million Cubic Feet,MMcf,2004,3606543
USA,USA,Million Cubic Feet,MMcf,2003,3437230
USA,USA,Million Cubic Feet,MMcf,2002,3786733
USA,USA,Million Cubic Feet,MMcf,2001,3738814
USA,USA,Million Cubic Feet,MMcf,2000,3555567
USA,USA,Million Cubic Feet,MMcf,1999,3422075
USA,USA,Million Cubic Feet,MMcf,1998,3066605
USA,USA,Million Cubic Feet,MMcf,1997,2916394
USA,USA,Million Cubic Feet,MMcf,1996,2897138
USA,USA,Million Cubic Feet,MMcf,1995,2823130
USA,USA,Million Cubic Feet,MMcf,1994,2573061
USA,USA,Million Cubic Feet,MMcf,1993,2268429
USA,USA,Million Cubic Feet,MMcf,1992,2094387
USA,USA,Million Cubic Feet,MMcf,1991,1709716
USA,USA,Million Cubic Feet,MMcf,1990,1448065
USA,USA,Million Cubic Feet,MMcf,1989,1339357
USA,USA,Million Cubic Feet,MMcf,1988,1276322
USA,USA,Million Cubic Feet,MMcf,1987,992532
USA,USA,Million Cubic Feet,MMcf,1986,748780
USA,USA,Million Cubic Feet,MMcf,1985,926056
