iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,266223
USA,USA,Million Cubic Feet,MMcf,202101,277687
USA,USA,Million Cubic Feet,MMcf,202012,261105
USA,USA,Million Cubic Feet,MMcf,202011,208945
USA,USA,Million Cubic Feet,MMcf,202010,199175
USA,USA,Million Cubic Feet,MMcf,202009,173081
USA,USA,Million Cubic Feet,MMcf,202008,208486
USA,USA,Million Cubic Feet,MMcf,202007,206349
USA,USA,Million Cubic Feet,MMcf,202006,182606
USA,USA,Million Cubic Feet,MMcf,202005,183718
USA,USA,Million Cubic Feet,MMcf,202004,186838
USA,USA,Million Cubic Feet,MMcf,202003,210288
USA,USA,Million Cubic Feet,MMcf,202002,232757
USA,USA,Million Cubic Feet,MMcf,202001,248865
USA,USA,Million Cubic Feet,MMcf,201912,245539
USA,USA,Million Cubic Feet,MMcf,201911,220952
USA,USA,Million Cubic Feet,MMcf,201910,204977
USA,USA,Million Cubic Feet,MMcf,201909,208264
USA,USA,Million Cubic Feet,MMcf,201908,217167
USA,USA,Million Cubic Feet,MMcf,201907,227550
USA,USA,Million Cubic Feet,MMcf,201906,201133
USA,USA,Million Cubic Feet,MMcf,201905,207613
USA,USA,Million Cubic Feet,MMcf,201904,203685
USA,USA,Million Cubic Feet,MMcf,201903,249443
USA,USA,Million Cubic Feet,MMcf,201902,225750
USA,USA,Million Cubic Feet,MMcf,201901,276363
USA,USA,Million Cubic Feet,MMcf,201812,242347
USA,USA,Million Cubic Feet,MMcf,201811,209652
USA,USA,Million Cubic Feet,MMcf,201810,209023
USA,USA,Million Cubic Feet,MMcf,201809,210896
USA,USA,Million Cubic Feet,MMcf,201808,231529
USA,USA,Million Cubic Feet,MMcf,201807,241382
USA,USA,Million Cubic Feet,MMcf,201806,225537
USA,USA,Million Cubic Feet,MMcf,201805,224488
USA,USA,Million Cubic Feet,MMcf,201804,239095
USA,USA,Million Cubic Feet,MMcf,201803,264248
USA,USA,Million Cubic Feet,MMcf,201802,230617
USA,USA,Million Cubic Feet,MMcf,201801,283223
USA,USA,Million Cubic Feet,MMcf,201712,263583
USA,USA,Million Cubic Feet,MMcf,201711,233906
USA,USA,Million Cubic Feet,MMcf,201710,238859
USA,USA,Million Cubic Feet,MMcf,201709,226769
USA,USA,Million Cubic Feet,MMcf,201708,239997
USA,USA,Million Cubic Feet,MMcf,201707,245292
USA,USA,Million Cubic Feet,MMcf,201706,234140
USA,USA,Million Cubic Feet,MMcf,201705,238831
USA,USA,Million Cubic Feet,MMcf,201704,233077
USA,USA,Million Cubic Feet,MMcf,201703,275656
USA,USA,Million Cubic Feet,MMcf,201702,246094
USA,USA,Million Cubic Feet,MMcf,201701,278666
USA,USA,Million Cubic Feet,MMcf,201612,271910
USA,USA,Million Cubic Feet,MMcf,201611,221949
USA,USA,Million Cubic Feet,MMcf,201610,225671
USA,USA,Million Cubic Feet,MMcf,201609,235594
USA,USA,Million Cubic Feet,MMcf,201608,253883
USA,USA,Million Cubic Feet,MMcf,201607,259224
USA,USA,Million Cubic Feet,MMcf,201606,234229
USA,USA,Million Cubic Feet,MMcf,201605,243088
USA,USA,Million Cubic Feet,MMcf,201604,236522
USA,USA,Million Cubic Feet,MMcf,201603,232164
USA,USA,Million Cubic Feet,MMcf,201602,242019
USA,USA,Million Cubic Feet,MMcf,201601,261521
USA,USA,Million Cubic Feet,MMcf,201512,221613
USA,USA,Million Cubic Feet,MMcf,201511,210704
USA,USA,Million Cubic Feet,MMcf,201510,217576
USA,USA,Million Cubic Feet,MMcf,201509,203150
USA,USA,Million Cubic Feet,MMcf,201508,202649
USA,USA,Million Cubic Feet,MMcf,201507,209779
USA,USA,Million Cubic Feet,MMcf,201506,203656
USA,USA,Million Cubic Feet,MMcf,201505,202623
USA,USA,Million Cubic Feet,MMcf,201504,202209
USA,USA,Million Cubic Feet,MMcf,201503,242585
USA,USA,Million Cubic Feet,MMcf,201502,241996
USA,USA,Million Cubic Feet,MMcf,201501,267751
USA,USA,Million Cubic Feet,MMcf,201412,245694
USA,USA,Million Cubic Feet,MMcf,201411,227457
USA,USA,Million Cubic Feet,MMcf,201410,213858
USA,USA,Million Cubic Feet,MMcf,201409,195856
USA,USA,Million Cubic Feet,MMcf,201408,204968
USA,USA,Million Cubic Feet,MMcf,201407,194850
USA,USA,Million Cubic Feet,MMcf,201406,191829
USA,USA,Million Cubic Feet,MMcf,201405,203841
USA,USA,Million Cubic Feet,MMcf,201404,197634
USA,USA,Million Cubic Feet,MMcf,201403,231458
USA,USA,Million Cubic Feet,MMcf,201402,241571
USA,USA,Million Cubic Feet,MMcf,201401,286787
USA,USA,Million Cubic Feet,MMcf,201312,270453
USA,USA,Million Cubic Feet,MMcf,201311,216001
USA,USA,Million Cubic Feet,MMcf,201310,214871
USA,USA,Million Cubic Feet,MMcf,201309,226931
USA,USA,Million Cubic Feet,MMcf,201308,227439
USA,USA,Million Cubic Feet,MMcf,201307,228087
USA,USA,Million Cubic Feet,MMcf,201306,228644
USA,USA,Million Cubic Feet,MMcf,201305,228558
USA,USA,Million Cubic Feet,MMcf,201304,215438
USA,USA,Million Cubic Feet,MMcf,201303,239999
USA,USA,Million Cubic Feet,MMcf,201302,225497
USA,USA,Million Cubic Feet,MMcf,201301,264580
USA,USA,Million Cubic Feet,MMcf,201212,235180
USA,USA,Million Cubic Feet,MMcf,201211,219643
USA,USA,Million Cubic Feet,MMcf,201210,243051
USA,USA,Million Cubic Feet,MMcf,201209,246489
USA,USA,Million Cubic Feet,MMcf,201208,262250
USA,USA,Million Cubic Feet,MMcf,201207,265808
USA,USA,Million Cubic Feet,MMcf,201206,251476
USA,USA,Million Cubic Feet,MMcf,201205,242811
USA,USA,Million Cubic Feet,MMcf,201204,235466
USA,USA,Million Cubic Feet,MMcf,201203,245881
USA,USA,Million Cubic Feet,MMcf,201202,249762
USA,USA,Million Cubic Feet,MMcf,201201,265323
USA,USA,Million Cubic Feet,MMcf,201112,272133
USA,USA,Million Cubic Feet,MMcf,201111,233640
USA,USA,Million Cubic Feet,MMcf,201110,251450
USA,USA,Million Cubic Feet,MMcf,201109,231467
USA,USA,Million Cubic Feet,MMcf,201108,250028
USA,USA,Million Cubic Feet,MMcf,201107,273250
USA,USA,Million Cubic Feet,MMcf,201106,239270
USA,USA,Million Cubic Feet,MMcf,201105,236032
USA,USA,Million Cubic Feet,MMcf,201104,244811
USA,USA,Million Cubic Feet,MMcf,201103,276870
USA,USA,Million Cubic Feet,MMcf,201102,279147
USA,USA,Million Cubic Feet,MMcf,201101,331655
USA,USA,Million Cubic Feet,MMcf,201012,323054
USA,USA,Million Cubic Feet,MMcf,201011,241582
USA,USA,Million Cubic Feet,MMcf,201010,260680
USA,USA,Million Cubic Feet,MMcf,201009,252926
USA,USA,Million Cubic Feet,MMcf,201008,283321
USA,USA,Million Cubic Feet,MMcf,201007,292383
USA,USA,Million Cubic Feet,MMcf,201006,249738
USA,USA,Million Cubic Feet,MMcf,201005,260993
USA,USA,Million Cubic Feet,MMcf,201004,256909
USA,USA,Million Cubic Feet,MMcf,201003,281677
