iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202102,7.71
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202101,7.43
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202012,7.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202011,7.83
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202010,7.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202009,8.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202008,8.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202007,12.3
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202006,8.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202005,8.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202004,8.19
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202003,8.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202002,8.36
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202001,8.31
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201912,8.83
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201911,8.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201910,7.62
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201909,8.38
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201908,8.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201907,8.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201906,8.53
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201905,8.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201904,8.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201903,8.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201902,8.49
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201901,7.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201812,6.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201811,6.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201810,6.73
