iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2019,9.89
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,9.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,9.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2016,8.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2015,8.01
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2014,8.3
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2013,8.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2011,8.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,8.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,9.51
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.66
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.57
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,4.75
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,4.93
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,4.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,3.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,3.16
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,2.06
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.41
