iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202102,9.65
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202101,9.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202012,9.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202011,9.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202010,9.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202009,10.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202008,10.57
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202007,10.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202006,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202005,10.3
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202004,9.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202003,9.8
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202002,9.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202001,9.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201912,9.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201911,10.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201910,10.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201909,10.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201908,11.19
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201907,11.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201906,10.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201905,9.69
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201904,9.56
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201903,9.53
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201902,9.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201901,9.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201812,9.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201811,9.6
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201810,9.89
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201809,10.62
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201808,10.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201807,11.45
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201806,10.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201805,10.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201804,10.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201803,9.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201802,9.9
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201801,9.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201712,9.89
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201711,10.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201710,10.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201709,11.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201708,11.5
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201707,11.62
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201706,11.02
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201705,9.75
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201704,9.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201703,9.12
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201702,9.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201701,9.16
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201612,8.75
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201611,8.68
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201610,8.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201609,8.71
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201608,8.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201607,9.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201606,8.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201605,8.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201604,7.9
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201603,7.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201602,7.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201601,7.88
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201512,7.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201511,7.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201510,7.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201509,7.21
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201508,8.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201507,8.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201506,8.62
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201505,7.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201504,8.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201503,8.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201502,8.43
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201501,8.7
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201412,8.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201411,8.51
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201410,8.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201409,8.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201408,9.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201407,9.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201406,8.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201405,6.71
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201404,6.47
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201403,6.98
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201402,9.15
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201401,9.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201312,8.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201311,7.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201310,8.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201309,8.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201308,8.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201307,8.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201306,8.44
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201305,8.24
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201304,8.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201303,8.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201302,8.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201301,8.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201212,8.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201211,7.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201210,7.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201209,7.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201208,7.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201207,8.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201206,7.88
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201205,7.93
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201204,7.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201203,8.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201202,8.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201201,8.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201112,7.88
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201111,7.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201110,8.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201109,8.04
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201108,7.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201107,7.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201106,7.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201105,8.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201104,8.38
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201103,8.22
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201102,8.26
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201101,8.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201012,8.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201011,8.92
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201010,8.97
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201009,8.68
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201008,8.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201007,8.22
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201006,8.42
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201005,8.46
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201004,8.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201003,8.93
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201002,8.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201001,8.8
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200912,9.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200911,10.15
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200910,9.52
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200909,9.24
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200908,8.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200907,8.52
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200906,8.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200905,8.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200904,9.5
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200903,9.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200902,9.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200901,10.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200812,9.95
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200811,8.94
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200810,8.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200809,7.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200808,7.97
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200807,7.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200806,7.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200805,7.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200804,8.45
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200803,8.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200802,8.57
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200801,8.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200712,7.89
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200711,7.9
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200710,7.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200709,7.21
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200708,7.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200707,6.2
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200706,6.96
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200705,6.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200704,7.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200703,7.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200702,7.8
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200701,7.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200612,5.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200611,4.55
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200610,4.46
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200609,4.25
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200608,4.01
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200607,4.28
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200606,4.37
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200605,4.46
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200604,4.61
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200603,4.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200602,4.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200601,4.92
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200512,5.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200511,5.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200510,4.97
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200509,4.6
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200508,4.54
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200507,4.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200506,4.25
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200505,4.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200504,4.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200503,4.71
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200502,4.95
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200501,5.01
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200412,4.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200411,4.65
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200410,4.24
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200409,4.1
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200408,3.89
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200407,3.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200406,3.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200405,3.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200404,3.94
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200403,4.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200402,4.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200401,4.21
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200312,3.95
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200311,3.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200310,4.17
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200309,3.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200308,3.26
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200307,3.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200306,2.98
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200305,3.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200304,3.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200303,3.9
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200302,3.88
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200301,3.49
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200212,3.28
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200211,3.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200210,3.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200209,3.55
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200208,3.51
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200207,3.42
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200206,2.24
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200205,3.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200204,3.75
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200203,3.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200202,3.73
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200201,3.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200112,3.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200111,3.3
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200110,3.31
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200109,3.2
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200108,3.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200107,3.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200106,2.94
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200105,2.98
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200104,2.9
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200103,3.1
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200102,3.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200101,3.1
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200012,2.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200011,2.12
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200010,1.98
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200009,1.93
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200008,1.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200007,1.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200006,2.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200005,1.9
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200004,1.97
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200003,2.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200002,2.13
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,200001,2.17
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199912,2.17
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199911,2.16
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199910,2.15
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199909,1.96
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199908,1.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199907,1.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199906,1.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199905,1.97
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199904,2.31
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199903,2.37
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199902,2.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199901,2.47
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199812,2.46
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199811,2.48
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199810,2.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199809,3.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199808,2.15
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199807,2.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199806,2.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199805,2.24
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199804,2.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199803,2.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199802,2.46
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199801,2.5
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199712,2.55
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199711,2.53
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199710,2.52
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199709,2.28
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199708,2.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,199707,2.24
