iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,2149.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,1991.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,2116.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,1898.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,1336.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,749.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,560.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,470.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,2045.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,2216.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,2653.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,1947.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,1609.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,1109.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,721.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,495.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,471.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,539.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,881.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,1219.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,1334.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,2134.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,2111.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,2017.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,1509.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,993.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,636.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,558.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,438.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,593.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,819.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,1197.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,1739.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,1968.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,2021.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,1977.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,1831.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,1189.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,709.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,550.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,500.0
