iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,8017.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,7799.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,8057.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,7220.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,6573.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,5094.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,4931.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,4994.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,8006.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,8461.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,10194.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,9041.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,7765.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,6824.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,5839.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,5718.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,5687.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,4410.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,4433.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,5831.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,7379.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,8148.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,9298.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,7487.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,6303.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,4477.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,3914.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,3660.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,3522.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,3606.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,4368.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,5006.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,6761.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,7394.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,7886.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,7583.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,7406.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,5181.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,3963.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,3770.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,3640.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,3758.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,4526.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,5275.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,7782.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,7340.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,8664.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,8236.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,7263.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,5708.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,4284.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,3624.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,3704.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,3778.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,4356.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,5063.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,6175.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,6395.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,7660.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,8211.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,7225.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,5306.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,4434.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,3876.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,3917.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,4014.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,4742.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,5893.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,7926.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,7753.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,8828.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,7957.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,7281.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,6422.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,4398.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,4267.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,4368.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,4694.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,4710.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,5674.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,7369.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,7767.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,7551.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,9136.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,7944.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,5478.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,4773.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,4217.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,4068.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,4020.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,5395.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,6714.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,7858.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,7144.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,9180.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,9304.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,9197.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,7371.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,5489.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,5119.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201207,5115.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201206,5199.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201205,5786.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201204,6590.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201203,8560.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201202,8376.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201201,11296.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201112,9222.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201111,9543.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201110,7018.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201109,5973.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201108,5403.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201107,4989.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201106,5058.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201105,5714.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201104,7431.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201103,8536.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201102,9201.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201101,10091.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201012,9659.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201011,7354.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201010,6881.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201009,5311.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201008,5278.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201007,4766.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201006,4436.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201005,5620.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201004,6889.0
