iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,33435777.0
USA,USA,Million Cubic Feet,MMcf,2019,33967557.0
USA,USA,Million Cubic Feet,MMcf,2018,30774274.0
USA,USA,Million Cubic Feet,MMcf,2017,27340583.0
USA,USA,Million Cubic Feet,MMcf,2016,26592115.0
USA,USA,Million Cubic Feet,MMcf,2015,27065460.0
USA,USA,Million Cubic Feet,MMcf,2014,25889605.0
USA,USA,Million Cubic Feet,MMcf,2013,24205523.0
USA,USA,Million Cubic Feet,MMcf,2012,24033266.0
USA,USA,Million Cubic Feet,MMcf,2011,22901879.0
USA,USA,Million Cubic Feet,MMcf,2010,21315507.0
USA,USA,Million Cubic Feet,MMcf,2009,20623854.0
USA,USA,Million Cubic Feet,MMcf,2008,20158602.0
USA,USA,Million Cubic Feet,MMcf,2007,19266026.0
USA,USA,Million Cubic Feet,MMcf,2006,18503605.0
USA,USA,Million Cubic Feet,MMcf,2005,18050598.0
USA,USA,Million Cubic Feet,MMcf,2004,18590891.0
USA,USA,Million Cubic Feet,MMcf,2003,19098544.0
USA,USA,Million Cubic Feet,MMcf,2002,18927788.0
USA,USA,Million Cubic Feet,MMcf,2001,19616311.0
USA,USA,Million Cubic Feet,MMcf,2000,19181980.0
USA,USA,Million Cubic Feet,MMcf,1999,18832232.0
USA,USA,Million Cubic Feet,MMcf,1998,19023564.0
USA,USA,Million Cubic Feet,MMcf,1997,18902389.0
USA,USA,Million Cubic Feet,MMcf,1996,18854063.0
USA,USA,Million Cubic Feet,MMcf,1995,18598679.0
USA,USA,Million Cubic Feet,MMcf,1994,18821025.0
USA,USA,Million Cubic Feet,MMcf,1993,18095460.0
USA,USA,Million Cubic Feet,MMcf,1992,17839903.0
USA,USA,Million Cubic Feet,MMcf,1991,17697802.0
USA,USA,Million Cubic Feet,MMcf,1990,17809674.0
USA,USA,Million Cubic Feet,MMcf,1989,17310645.0
USA,USA,Million Cubic Feet,MMcf,1988,17102621.0
USA,USA,Million Cubic Feet,MMcf,1987,16620581.0
USA,USA,Million Cubic Feet,MMcf,1986,16059030.0
USA,USA,Million Cubic Feet,MMcf,1985,16453853.0
USA,USA,Million Cubic Feet,MMcf,1984,17466477.0
USA,USA,Million Cubic Feet,MMcf,1983,16094463.0
USA,USA,Million Cubic Feet,MMcf,1982,17820057.0
USA,USA,Million Cubic Feet,MMcf,1981,19181261.0
USA,USA,Million Cubic Feet,MMcf,1980,19403119.0
USA,USA,Million Cubic Feet,MMcf,1979,19663415.0
USA,USA,Million Cubic Feet,MMcf,1978,19121903.0
USA,USA,Million Cubic Feet,MMcf,1977,19162900.0
USA,USA,Million Cubic Feet,MMcf,1976,19098352.0
USA,USA,Million Cubic Feet,MMcf,1975,19236379.0
USA,USA,Million Cubic Feet,MMcf,1974,20713032.0
USA,USA,Million Cubic Feet,MMcf,1973,21730998.0
USA,USA,Million Cubic Feet,MMcf,1972,21623705.0
USA,USA,Million Cubic Feet,MMcf,1971,21609885.0
USA,USA,Million Cubic Feet,MMcf,1970,21014229.0
USA,USA,Million Cubic Feet,MMcf,1969,19831680.0
USA,USA,Million Cubic Feet,MMcf,1968,18494523.0
USA,USA,Million Cubic Feet,MMcf,1967,17386791.0
USA,USA,Million Cubic Feet,MMcf,1966,16467320.0
USA,USA,Million Cubic Feet,MMcf,1965,15286280.0
USA,USA,Million Cubic Feet,MMcf,1964,14824027.0
USA,USA,Million Cubic Feet,MMcf,1963,14076412.0
USA,USA,Million Cubic Feet,MMcf,1962,13253006.0
USA,USA,Million Cubic Feet,MMcf,1961,12661579.0
USA,USA,Million Cubic Feet,MMcf,1960,12228148.0
USA,USA,Million Cubic Feet,MMcf,1959,11547658.0
USA,USA,Million Cubic Feet,MMcf,1958,10572208.0
USA,USA,Million Cubic Feet,MMcf,1957,10246622.0
USA,USA,Million Cubic Feet,MMcf,1956,9663910.0
USA,USA,Million Cubic Feet,MMcf,1955,9028665.0
USA,USA,Million Cubic Feet,MMcf,1954,8388198.0
USA,USA,Million Cubic Feet,MMcf,1953,8056848.0
USA,USA,Million Cubic Feet,MMcf,1952,7694299.0
USA,USA,Million Cubic Feet,MMcf,1951,7164959.0
USA,USA,Million Cubic Feet,MMcf,1950,6022198.0
USA,USA,Million Cubic Feet,MMcf,1949,5195404.0
USA,USA,Million Cubic Feet,MMcf,1948,4938512.0
USA,USA,Million Cubic Feet,MMcf,1947,4393439.0
USA,USA,Million Cubic Feet,MMcf,1946,3987488.0
USA,USA,Million Cubic Feet,MMcf,1945,3882066.0
USA,USA,Million Cubic Feet,MMcf,1944,3672156.0
USA,USA,Million Cubic Feet,MMcf,1943,3393743.0
USA,USA,Million Cubic Feet,MMcf,1942,3026694.0
USA,USA,Million Cubic Feet,MMcf,1941,2778061.0
USA,USA,Million Cubic Feet,MMcf,1940,2654293.0
USA,USA,Million Cubic Feet,MMcf,1939,2464637.0
USA,USA,Million Cubic Feet,MMcf,1938,2284863.0
USA,USA,Million Cubic Feet,MMcf,1937,2403273.0
USA,USA,Million Cubic Feet,MMcf,1936,2164413.0
USA,USA,Million Cubic Feet,MMcf,1935,1913475.0
USA,USA,Million Cubic Feet,MMcf,1934,1763606.0
USA,USA,Million Cubic Feet,MMcf,1933,1548393.0
USA,USA,Million Cubic Feet,MMcf,1932,1541982.0
USA,USA,Million Cubic Feet,MMcf,1931,1659614.0
USA,USA,Million Cubic Feet,MMcf,1930,1903771.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,309504.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,321494.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,325082.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,315233.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,326157.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,326876.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,317503.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,329789.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,334671.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,353391.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,374152.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,374105.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,407153.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,420086.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,459326.0
