iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,34996.0
USA,USA,Billion Cubic Feet,Bcf,2018,31988.0
USA,USA,Billion Cubic Feet,Bcf,2017,28634.0
USA,USA,Billion Cubic Feet,Bcf,2016,27558.0
USA,USA,Billion Cubic Feet,Bcf,2015,27818.0
USA,USA,Billion Cubic Feet,Bcf,2014,26611.0
USA,USA,Billion Cubic Feet,Bcf,2013,25233.0
USA,USA,Billion Cubic Feet,Bcf,2012,24912.0
USA,USA,Billion Cubic Feet,Bcf,2011,23555.0
USA,USA,Billion Cubic Feet,Bcf,2010,22239.0
USA,USA,Billion Cubic Feet,Bcf,2009,21594.0
USA,USA,Billion Cubic Feet,Bcf,2008,20523.0
USA,USA,Billion Cubic Feet,Bcf,2007,19466.0
USA,USA,Billion Cubic Feet,Bcf,2006,18545.0
USA,USA,Billion Cubic Feet,Bcf,2005,18458.0
USA,USA,Billion Cubic Feet,Bcf,2004,19168.0
USA,USA,Billion Cubic Feet,Bcf,2003,19425.0
USA,USA,Billion Cubic Feet,Bcf,2002,19353.0
USA,USA,Billion Cubic Feet,Bcf,2001,19779.0
USA,USA,Billion Cubic Feet,Bcf,2000,19219.0
USA,USA,Billion Cubic Feet,Bcf,1999,18928.0
USA,USA,Billion Cubic Feet,Bcf,1998,18720.0
USA,USA,Billion Cubic Feet,Bcf,1997,19211.0
USA,USA,Billion Cubic Feet,Bcf,1996,18861.0
USA,USA,Billion Cubic Feet,Bcf,1995,17966.0
USA,USA,Billion Cubic Feet,Bcf,1994,18322.0
USA,USA,Billion Cubic Feet,Bcf,1993,17789.0
USA,USA,Billion Cubic Feet,Bcf,1992,17423.0
USA,USA,Billion Cubic Feet,Bcf,1991,17202.0
USA,USA,Billion Cubic Feet,Bcf,1990,17233.0
USA,USA,Billion Cubic Feet,Bcf,1989,16983.0
USA,USA,Billion Cubic Feet,Bcf,1988,16670.0
USA,USA,Billion Cubic Feet,Bcf,1987,16114.0
USA,USA,Billion Cubic Feet,Bcf,1986,15610.0
USA,USA,Billion Cubic Feet,Bcf,1985,15985.0
USA,USA,Billion Cubic Feet,Bcf,1984,17193.0
USA,USA,Billion Cubic Feet,Bcf,1983,15788.0
USA,USA,Billion Cubic Feet,Bcf,1982,17506.0
USA,USA,Billion Cubic Feet,Bcf,1981,18737.0
USA,USA,Billion Cubic Feet,Bcf,1980,18699.0
USA,USA,Billion Cubic Feet,Bcf,1979,19257.0
USA,USA,Billion Cubic Feet,Bcf,1978,18805.0
USA,USA,Billion Cubic Feet,Bcf,1977,18843.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,297.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,325.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,341.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,307.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,295.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,304.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,285.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2012,299.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2011,327.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2010,317.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2009,358.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2008,354.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2007,388.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2006,408.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2005,469.0
