iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,214902
USA,USA,Million Cubic Feet,MMcf,202101,257114
USA,USA,Million Cubic Feet,MMcf,202012,247535
USA,USA,Million Cubic Feet,MMcf,202011,246368
USA,USA,Million Cubic Feet,MMcf,202010,258632
USA,USA,Million Cubic Feet,MMcf,202009,244279
USA,USA,Million Cubic Feet,MMcf,202008,246677
USA,USA,Million Cubic Feet,MMcf,202007,252930
USA,USA,Million Cubic Feet,MMcf,202006,229442
USA,USA,Million Cubic Feet,MMcf,202005,212994
USA,USA,Million Cubic Feet,MMcf,202004,210266
USA,USA,Million Cubic Feet,MMcf,202003,253130
USA,USA,Million Cubic Feet,MMcf,202002,228432
USA,USA,Million Cubic Feet,MMcf,202001,260108
USA,USA,Million Cubic Feet,MMcf,201912,260483
USA,USA,Million Cubic Feet,MMcf,201911,250722
USA,USA,Million Cubic Feet,MMcf,201910,247781
USA,USA,Million Cubic Feet,MMcf,201909,234222
USA,USA,Million Cubic Feet,MMcf,201908,246391
USA,USA,Million Cubic Feet,MMcf,201907,236515
USA,USA,Million Cubic Feet,MMcf,201906,218249
USA,USA,Million Cubic Feet,MMcf,201905,223633
USA,USA,Million Cubic Feet,MMcf,201904,211083
USA,USA,Million Cubic Feet,MMcf,201903,242696
USA,USA,Million Cubic Feet,MMcf,201902,227074
USA,USA,Million Cubic Feet,MMcf,201901,237813
USA,USA,Million Cubic Feet,MMcf,201812,240989
USA,USA,Million Cubic Feet,MMcf,201811,230180
USA,USA,Million Cubic Feet,MMcf,201810,216758
USA,USA,Million Cubic Feet,MMcf,201809,220355
USA,USA,Million Cubic Feet,MMcf,201808,219909
USA,USA,Million Cubic Feet,MMcf,201807,207736
USA,USA,Million Cubic Feet,MMcf,201806,188431
USA,USA,Million Cubic Feet,MMcf,201805,177289
USA,USA,Million Cubic Feet,MMcf,201804,193227
USA,USA,Million Cubic Feet,MMcf,201803,199901
USA,USA,Million Cubic Feet,MMcf,201802,201968
USA,USA,Million Cubic Feet,MMcf,201801,227758
USA,USA,Million Cubic Feet,MMcf,201712,217521
USA,USA,Million Cubic Feet,MMcf,201711,207607
USA,USA,Million Cubic Feet,MMcf,201710,199576
USA,USA,Million Cubic Feet,MMcf,201709,194183
USA,USA,Million Cubic Feet,MMcf,201708,201833
USA,USA,Million Cubic Feet,MMcf,201707,195201
USA,USA,Million Cubic Feet,MMcf,201706,200844
USA,USA,Million Cubic Feet,MMcf,201705,188062
USA,USA,Million Cubic Feet,MMcf,201704,191732
USA,USA,Million Cubic Feet,MMcf,201703,229765
USA,USA,Million Cubic Feet,MMcf,201702,201167
USA,USA,Million Cubic Feet,MMcf,201701,218600
USA,USA,Million Cubic Feet,MMcf,201612,208993
USA,USA,Million Cubic Feet,MMcf,201611,194922
USA,USA,Million Cubic Feet,MMcf,201610,173455
USA,USA,Million Cubic Feet,MMcf,201609,185222
USA,USA,Million Cubic Feet,MMcf,201608,187458
USA,USA,Million Cubic Feet,MMcf,201607,172923
USA,USA,Million Cubic Feet,MMcf,201606,166551
USA,USA,Million Cubic Feet,MMcf,201605,178375
USA,USA,Million Cubic Feet,MMcf,201604,167789
USA,USA,Million Cubic Feet,MMcf,201603,184816
USA,USA,Million Cubic Feet,MMcf,201602,159426
USA,USA,Million Cubic Feet,MMcf,201601,168470
USA,USA,Million Cubic Feet,MMcf,201512,158555
USA,USA,Million Cubic Feet,MMcf,201511,152750
USA,USA,Million Cubic Feet,MMcf,201510,155744
USA,USA,Million Cubic Feet,MMcf,201509,159806
USA,USA,Million Cubic Feet,MMcf,201508,142117
USA,USA,Million Cubic Feet,MMcf,201507,141027
USA,USA,Million Cubic Feet,MMcf,201506,135382
USA,USA,Million Cubic Feet,MMcf,201505,131477
USA,USA,Million Cubic Feet,MMcf,201504,130283
USA,USA,Million Cubic Feet,MMcf,201503,163925
USA,USA,Million Cubic Feet,MMcf,201502,142190
USA,USA,Million Cubic Feet,MMcf,201501,141663
USA,USA,Million Cubic Feet,MMcf,201412,136932
USA,USA,Million Cubic Feet,MMcf,201411,120814
USA,USA,Million Cubic Feet,MMcf,201410,112156
USA,USA,Million Cubic Feet,MMcf,201409,116987
USA,USA,Million Cubic Feet,MMcf,201408,112513
USA,USA,Million Cubic Feet,MMcf,201407,124462
USA,USA,Million Cubic Feet,MMcf,201406,119828
USA,USA,Million Cubic Feet,MMcf,201405,112175
USA,USA,Million Cubic Feet,MMcf,201404,121877
USA,USA,Million Cubic Feet,MMcf,201403,149455
USA,USA,Million Cubic Feet,MMcf,201402,135827
USA,USA,Million Cubic Feet,MMcf,201401,134746
USA,USA,Million Cubic Feet,MMcf,201312,117281
USA,USA,Million Cubic Feet,MMcf,201311,110912
USA,USA,Million Cubic Feet,MMcf,201310,122381
USA,USA,Million Cubic Feet,MMcf,201309,122410
USA,USA,Million Cubic Feet,MMcf,201308,130312
USA,USA,Million Cubic Feet,MMcf,201307,128589
USA,USA,Million Cubic Feet,MMcf,201306,133778
USA,USA,Million Cubic Feet,MMcf,201305,142032
USA,USA,Million Cubic Feet,MMcf,201304,125749
USA,USA,Million Cubic Feet,MMcf,201303,148521
USA,USA,Million Cubic Feet,MMcf,201302,132981
USA,USA,Million Cubic Feet,MMcf,201301,154430
