iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,426632
USA,USA,Million Cubic Feet,MMcf,202101,562309
USA,USA,Million Cubic Feet,MMcf,202012,551827
USA,USA,Million Cubic Feet,MMcf,202011,527085
USA,USA,Million Cubic Feet,MMcf,202010,481621
USA,USA,Million Cubic Feet,MMcf,202009,395424
USA,USA,Million Cubic Feet,MMcf,202008,359159
USA,USA,Million Cubic Feet,MMcf,202007,349167
USA,USA,Million Cubic Feet,MMcf,202006,338486
USA,USA,Million Cubic Feet,MMcf,202005,395347
USA,USA,Million Cubic Feet,MMcf,202004,420767
USA,USA,Million Cubic Feet,MMcf,202003,497437
USA,USA,Million Cubic Feet,MMcf,202002,454252
USA,USA,Million Cubic Feet,MMcf,202001,510446
USA,USA,Million Cubic Feet,MMcf,201912,481006
USA,USA,Million Cubic Feet,MMcf,201911,441362
USA,USA,Million Cubic Feet,MMcf,201910,425775
USA,USA,Million Cubic Feet,MMcf,201909,394511
USA,USA,Million Cubic Feet,MMcf,201908,384983
USA,USA,Million Cubic Feet,MMcf,201907,393400
USA,USA,Million Cubic Feet,MMcf,201906,360226
USA,USA,Million Cubic Feet,MMcf,201905,368568
USA,USA,Million Cubic Feet,MMcf,201904,338213
USA,USA,Million Cubic Feet,MMcf,201903,373539
USA,USA,Million Cubic Feet,MMcf,201902,329954
USA,USA,Million Cubic Feet,MMcf,201901,364787
USA,USA,Million Cubic Feet,MMcf,201812,363806
USA,USA,Million Cubic Feet,MMcf,201811,337789
USA,USA,Million Cubic Feet,MMcf,201810,306653
USA,USA,Million Cubic Feet,MMcf,201809,301742
USA,USA,Million Cubic Feet,MMcf,201808,311449
USA,USA,Million Cubic Feet,MMcf,201807,305997
USA,USA,Million Cubic Feet,MMcf,201806,261995
USA,USA,Million Cubic Feet,MMcf,201805,272116
USA,USA,Million Cubic Feet,MMcf,201804,278941
USA,USA,Million Cubic Feet,MMcf,201803,291468
USA,USA,Million Cubic Feet,MMcf,201802,275652
USA,USA,Million Cubic Feet,MMcf,201801,300234
USA,USA,Million Cubic Feet,MMcf,201712,300138
