iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,24036.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,30941.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,33532.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,36063.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,35535.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,36971.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,33711.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,34367.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,34551.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,34439.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,33770.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,29369.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,27886.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,31355.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,31792.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,30497.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,27394.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,23957.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,22900.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,24679.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,26670.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,26789.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,25742.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,21201.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,22681.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,25958.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,27112.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,23075.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,22521.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,19097.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,22833.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,25903.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,28781.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,29976.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,26386.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,23585.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,21394.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,22279.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,29801.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,32249.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,31012.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,27382.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,26821.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,30450.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,33835.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,34333.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,34499.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,33206.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,34626.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,33621.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,33367.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,36829.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,34669.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,29301.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,28704.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,30954.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,34065.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,35551.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,34015.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,30632.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,30309.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,29595.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201512,34382.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201511,34133.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201510,32916.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201509,32501.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201508,30084.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201507,31141.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201506,30170.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201505,29436.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201504,23752.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201503,17593.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201502,17350.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201501,25790.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201412,30564.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201411,29218.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201410,29539.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201409,26312.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201408,25552.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201407,26044.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201406,26006.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201405,25714.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201404,20605.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201403,15345.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201402,15406.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201401,18642.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201312,25090.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201311,27718.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201310,28384.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201309,29312.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201308,28018.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201307,28657.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201306,28160.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201305,28958.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201304,28455.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201303,26574.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201302,27348.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201301,29281.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201212,30102.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201211,29893.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201210,31155.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201209,26459.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201208,28053.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201207,29557.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201206,29175.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201205,27960.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201204,28324.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201203,28313.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201202,25971.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201201,29969.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201112,32494.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201111,32446.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201110,30929.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201109,27256.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201108,25681.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201107,25822.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201106,25746.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201105,23403.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201104,21888.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201103,22004.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201102,22092.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201101,24030.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201012,25076.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201011,27384.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201010,25595.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201009,22923.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201008,22970.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201007,22273.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201006,22447.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201005,21193.0
