iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,908512.0
USA,USA,Million Cubic Feet,MMcf,2018,980730.0
USA,USA,Million Cubic Feet,MMcf,2017,985653.0
USA,USA,Million Cubic Feet,MMcf,2016,1071062.0
USA,USA,Million Cubic Feet,MMcf,2015,1186420.0
USA,USA,Million Cubic Feet,MMcf,2014,1307072.0
USA,USA,Million Cubic Feet,MMcf,2013,1425783.0
USA,USA,Million Cubic Feet,MMcf,2012,1539395.0
USA,USA,Million Cubic Feet,MMcf,2011,1779055.0
USA,USA,Million Cubic Feet,MMcf,2010,1916762.0
USA,USA,Million Cubic Feet,MMcf,2009,2010171.0
USA,USA,Million Cubic Feet,MMcf,2008,2022228.0
USA,USA,Million Cubic Feet,MMcf,2007,1999748.0
USA,USA,Million Cubic Feet,MMcf,2006,1304493.0
USA,USA,Million Cubic Feet,MMcf,2005,1224943.0
USA,USA,Million Cubic Feet,MMcf,2004,1216108.0
USA,USA,Million Cubic Feet,MMcf,2003,188749.0
USA,USA,Million Cubic Feet,MMcf,2002,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,52300.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,56557.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,62313.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,67043.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,70542.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,77347.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,84690.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,90325.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,95727.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,103060.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,107699.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,112222.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,114994.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,115990.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,115899.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,120784.0
