iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,
USA,USA,Million Cubic Feet,MMcf,202101,
USA,USA,Million Cubic Feet,MMcf,202012,
USA,USA,Million Cubic Feet,MMcf,202011,
USA,USA,Million Cubic Feet,MMcf,202010,
USA,USA,Million Cubic Feet,MMcf,202009,
USA,USA,Million Cubic Feet,MMcf,202008,
USA,USA,Million Cubic Feet,MMcf,202007,
USA,USA,Million Cubic Feet,MMcf,202006,
USA,USA,Million Cubic Feet,MMcf,202005,
USA,USA,Million Cubic Feet,MMcf,202004,
USA,USA,Million Cubic Feet,MMcf,202003,
USA,USA,Million Cubic Feet,MMcf,202002,
USA,USA,Million Cubic Feet,MMcf,202001,
USA,USA,Million Cubic Feet,MMcf,201912,74389.0
USA,USA,Million Cubic Feet,MMcf,201911,73046.0
USA,USA,Million Cubic Feet,MMcf,201910,76682.0
USA,USA,Million Cubic Feet,MMcf,201909,72879.0
USA,USA,Million Cubic Feet,MMcf,201908,78433.0
USA,USA,Million Cubic Feet,MMcf,201907,77248.0
USA,USA,Million Cubic Feet,MMcf,201906,75141.0
USA,USA,Million Cubic Feet,MMcf,201905,78380.0
USA,USA,Million Cubic Feet,MMcf,201904,75988.0
USA,USA,Million Cubic Feet,MMcf,201903,77755.0
USA,USA,Million Cubic Feet,MMcf,201902,70383.0
USA,USA,Million Cubic Feet,MMcf,201901,78188.0
USA,USA,Million Cubic Feet,MMcf,201812,80384.0
USA,USA,Million Cubic Feet,MMcf,201811,78835.0
USA,USA,Million Cubic Feet,MMcf,201810,82749.0
USA,USA,Million Cubic Feet,MMcf,201809,80209.0
USA,USA,Million Cubic Feet,MMcf,201808,83182.0
USA,USA,Million Cubic Feet,MMcf,201807,82679.0
USA,USA,Million Cubic Feet,MMcf,201806,80350.0
USA,USA,Million Cubic Feet,MMcf,201805,83743.0
USA,USA,Million Cubic Feet,MMcf,201804,80805.0
USA,USA,Million Cubic Feet,MMcf,201803,84925.0
USA,USA,Million Cubic Feet,MMcf,201802,76900.0
USA,USA,Million Cubic Feet,MMcf,201801,85970.0
USA,USA,Million Cubic Feet,MMcf,201712,82449.0
USA,USA,Million Cubic Feet,MMcf,201711,78694.0
USA,USA,Million Cubic Feet,MMcf,201710,83147.0
USA,USA,Million Cubic Feet,MMcf,201709,80726.0
USA,USA,Million Cubic Feet,MMcf,201708,82362.0
USA,USA,Million Cubic Feet,MMcf,201707,83293.0
USA,USA,Million Cubic Feet,MMcf,201706,81506.0
USA,USA,Million Cubic Feet,MMcf,201705,84237.0
USA,USA,Million Cubic Feet,MMcf,201704,82638.0
