iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,5555.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,5364.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,5736.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,5297.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,5154.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,5391.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,5243.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,5622.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,5673.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,5511.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,4917.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,5549.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,6212.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,6539.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,6076.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,5673.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,5847.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,5862.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,5675.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,5741.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,5727.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,6245.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,5947.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,6482.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,12497.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,12016.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,12937.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,12304.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,11660.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,11426.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,11977.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,13850.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,13426.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,13520.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,12223.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,13416.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,7648.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,7139.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,6600.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,6333.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,6471.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,6522.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,6696.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,7136.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,7431.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,7647.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,7543.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,7882.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,8464.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,7909.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,7997.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,8261.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,8229.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,8214.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,7891.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,8375.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,7872.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,7558.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,7713.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,8924.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,8828.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,8166.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,9635.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,9504.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,10035.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,9708.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,8141.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,8310.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,7994.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,8227.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,7588.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,8082.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,8077.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,7467.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,7680.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,7440.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,6282.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,5495.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,5839.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,6925.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,8380.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,9644.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,9103.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,9354.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,9409.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,8787.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,9071.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,8442.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,8183.0
