iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,3185340.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,3182687.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,3099518.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,3145147.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,3077894.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,3064327.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,3123671.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,3056918.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,3050654.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,3069683.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,3174747.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,3265401.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,3313666.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,3012097.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,3435864.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,3441201.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,3381317.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,3283239.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,3233855.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,3352577.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,3184441.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,3195855.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,3201416.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,3189837.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,3190433.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,2905261.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,2588202.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,2427110.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,2181393.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,1849231.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,1770751.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,1746493.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,1509528.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,1193928.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,1138304.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,1007161.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,968015.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,894933.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,761499.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,726152.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,560709.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,430891.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,223382.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,126167.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,115074.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,104614.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,99302.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,96707.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,103003.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,87363.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,71831.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,50370.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,23129.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,5269.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,7595.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,8929.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,9303.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,8409.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,7939.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,8794.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,10978.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,5975.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,6195.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,5758.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,6368.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,6096.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,6459.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,5728.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,5153.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,5580.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,5802.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,6066.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,6501.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,7048.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,8414.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,10463.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,11394.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,11935.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,12722.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,11255.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,9766.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,5731.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,5219.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,5955.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,6570.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,6905.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,8423.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,6556.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,5555.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,5172.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,5090.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,5962.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,6389.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1979,6793.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1978,6987.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1977,6423.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1976,5768.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,5261.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,5387.0
