iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,294162.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,281933.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,263626.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,237358.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,219132.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,229270.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,248563.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,280199.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,283859.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,279919.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,262602.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,304716.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,298469.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,284276.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,264974.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,249938.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,237028.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,228174.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,223358.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,276999.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,276987.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,289555.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,262653.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,290276.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,282724.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,270573.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,270256.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,243057.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,209919.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,194281.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,236852.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,272829.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,273537.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,294591.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,262822.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,288077.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,300876.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,287012.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,265320.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,242942.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,243910.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,232920.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,227119.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,262071.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,238699.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,287588.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,265755.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,290934.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,295591.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,281851.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,271440.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,252898.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,195841.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,213120.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,215116.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,252999.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,276829.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,292429.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,246775.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,283004.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,292812.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,274184.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,261837.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,250351.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,180301.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,185461.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,244320.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,254139.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,269217.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,290759.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,262684.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,298263.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,299893.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,272581.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,253671.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,240087.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,224994.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,236415.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,228459.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,254100.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,273635.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,284013.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,259958.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,295866.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,295039.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,279333.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,280511.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,221524.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,116528.0
